"Asthma hospitalisations by Sex, LHD and Risk group",,,,,,
Sex,LHD,Risk group,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Males,Sydney LHD,5-34 years,1-Feb,123.6,100.8,149.7
Males,Sydney LHD,5-34 years,2-Mar,112.8,91.3,137.5
Males,Sydney LHD,5-34 years,3-Apr,120,97.9,145.5
Males,Sydney LHD,5-34 years,4-May,124.6,101.8,150.8
Males,Sydney LHD,5-34 years,5-Jun,117.6,95.3,143.4
Males,Sydney LHD,5-34 years,6-Jul,109.5,87.8,134.6
Males,Sydney LHD,5-34 years,7-Aug,84.1,65.6,105.8
Males,Sydney LHD,5-34 years,8-Sep,100.7,80.5,124.1
Males,Sydney LHD,5-34 years,9-Oct,153.1,128,181.4
Males,Sydney LHD,5-34 years,10-Nov,93.4,74.4,115.6
Males,Sydney LHD,5-34 years,11-Dec,127.9,105.5,153.5
Males,Sydney LHD,5-34 years,Dec-13,137.5,114.3,163.6
Males,Sydney LHD,5-34 years,13/14,160.3,135.8,187.7
Males,Sydney LHD,5-34 years,14/15,105.6,86.1,127.9
Males,Sydney LHD,5-34 years,15/16,125,104.4,148.2
Males,Sydney LHD,5-34 years,16/17,125.3,104.7,148.5
Males,Sydney LHD,5-34 years,17/18,140.4,118.3,165.1
Males,Sydney LHD,5-34 years,18/19,143.4,121.2,168.3
Males,Sydney LHD,5-34 years,19/20,155.9,132.1,182.5
Males,Sydney LHD,5-34 years,20/21,134.8,112.6,160
Males,Sydney LHD,5-34 years,21/22,99.7,80.9,121.2
Males,Sydney LHD,35-64 years,1-Feb,35,24,49.1
Males,Sydney LHD,35-64 years,2-Mar,29.6,19.8,42.6
Males,Sydney LHD,35-64 years,3-Apr,31.1,21.1,44.2
Males,Sydney LHD,35-64 years,4-May,35.7,24.8,49.7
Males,Sydney LHD,35-64 years,5-Jun,40.8,29.2,55.4
Males,Sydney LHD,35-64 years,6-Jul,34.6,24.2,47.9
Males,Sydney LHD,35-64 years,7-Aug,31.6,21.7,44.4
Males,Sydney LHD,35-64 years,8-Sep,29.5,20,41.9
Males,Sydney LHD,35-64 years,9-Oct,30.7,21.1,43.1
Males,Sydney LHD,35-64 years,10-Nov,37.2,26.6,50.5
Males,Sydney LHD,35-64 years,11-Dec,41.3,30.3,55
Males,Sydney LHD,35-64 years,Dec-13,42.3,31.3,56
Males,Sydney LHD,35-64 years,13/14,35.4,25.4,48.1
Males,Sydney LHD,35-64 years,14/15,30.6,21.4,42.4
Males,Sydney LHD,35-64 years,15/16,40.7,30,54
Males,Sydney LHD,35-64 years,16/17,52.9,40.7,67.6
Males,Sydney LHD,35-64 years,17/18,49.3,37.6,63.5
Males,Sydney LHD,35-64 years,18/19,56.2,43.9,71
Males,Sydney LHD,35-64 years,19/20,43.2,32.4,56.4
Males,Sydney LHD,35-64 years,20/21,26.4,18.1,37.2
Males,Sydney LHD,35-64 years,21/22,20.5,13.2,30.3
Males,Sydney LHD,65+ years,1-Feb,64.6,36.6,105.5
Males,Sydney LHD,65+ years,2-Mar,56.8,29.7,98
Males,Sydney LHD,65+ years,3-Apr,89,53.2,139.4
Males,Sydney LHD,65+ years,4-May,77.6,46.4,122.2
Males,Sydney LHD,65+ years,5-Jun,84.8,53,128.8
Males,Sydney LHD,65+ years,6-Jul,49.5,27,83.4
Males,Sydney LHD,65+ years,7-Aug,75,46.9,113.9
Males,Sydney LHD,65+ years,8-Sep,59.2,34.4,94.9
Males,Sydney LHD,65+ years,9-Oct,39.9,20.5,69.8
Males,Sydney LHD,65+ years,10-Nov,42,22.3,71.9
Males,Sydney LHD,65+ years,11-Dec,48.8,27.3,80.6
Males,Sydney LHD,65+ years,Dec-13,72.6,46.3,108.3
Males,Sydney LHD,65+ years,13/14,65.1,40.2,99.6
Males,Sydney LHD,65+ years,14/15,57.2,34.8,88.6
Males,Sydney LHD,65+ years,15/16,82.8,55.3,119.2
Males,Sydney LHD,65+ years,16/17,89.7,61.2,126.8
Males,Sydney LHD,65+ years,17/18,101.3,71.9,138.9
Males,Sydney LHD,65+ years,18/19,82.9,56.2,117.7
Males,Sydney LHD,65+ years,19/20,45.5,26.9,72.1
Males,Sydney LHD,65+ years,20/21,53.1,32.8,81.2
Males,Sydney LHD,65+ years,21/22,41.5,24.6,65.8
Males,Sydney LHD,All ages,1-Feb,150.9,134.9,168.3
Males,Sydney LHD,All ages,2-Mar,134.4,119.4,150.8
Males,Sydney LHD,All ages,3-Apr,144.8,129.2,161.8
Males,Sydney LHD,All ages,4-May,151.7,135.8,169
Males,Sydney LHD,All ages,5-Jun,150.7,135,167.8
Males,Sydney LHD,All ages,6-Jul,149.1,133.6,165.9
Males,Sydney LHD,All ages,7-Aug,142.7,128,158.6
Males,Sydney LHD,All ages,8-Sep,147.6,132.8,163.7
Males,Sydney LHD,All ages,9-Oct,158.1,142.6,174.8
Males,Sydney LHD,All ages,10-Nov,128.9,115.4,143.6
Males,Sydney LHD,All ages,11-Dec,136.4,122.3,151.7
Males,Sydney LHD,All ages,Dec-13,158,143,174.1
Males,Sydney LHD,All ages,13/14,150.4,135.8,166.1
Males,Sydney LHD,All ages,14/15,130.1,116.8,144.4
Males,Sydney LHD,All ages,15/16,117.8,105.2,131.5
Males,Sydney LHD,All ages,16/17,121.7,108.9,135.4
Males,Sydney LHD,All ages,17/18,118.8,106.1,132.5
Males,Sydney LHD,All ages,18/19,116.1,103.5,129.7
Males,Sydney LHD,All ages,19/20,99.2,87.2,112.2
Males,Sydney LHD,All ages,20/21,84.8,73.6,97
Males,Sydney LHD,All ages,21/22,68.6,58.8,79.6
Males,South Western Sydney LHD,5-34 years,1-Feb,135.9,119.9,153.6
Males,South Western Sydney LHD,5-34 years,2-Mar,107.9,93.7,123.6
Males,South Western Sydney LHD,5-34 years,3-Apr,119.2,104.3,135.7
Males,South Western Sydney LHD,5-34 years,4-May,109.5,95.2,125.5
Males,South Western Sydney LHD,5-34 years,5-Jun,135.3,119.2,152.9
Males,South Western Sydney LHD,5-34 years,6-Jul,157.7,140.2,176.7
Males,South Western Sydney LHD,5-34 years,7-Aug,139.5,123.2,157.4
Males,South Western Sydney LHD,5-34 years,8-Sep,130.3,114.6,147.6
Males,South Western Sydney LHD,5-34 years,9-Oct,149.7,132.9,168.1
Males,South Western Sydney LHD,5-34 years,10-Nov,138.9,122.8,156.6
Males,South Western Sydney LHD,5-34 years,11-Dec,182,163.6,201.9
Males,South Western Sydney LHD,5-34 years,Dec-13,155.3,138.5,173.6
Males,South Western Sydney LHD,5-34 years,13/14,157.1,140.4,175.3
Males,South Western Sydney LHD,5-34 years,14/15,144.9,129,162.2
Males,South Western Sydney LHD,5-34 years,15/16,183.4,165.6,202.5
Males,South Western Sydney LHD,5-34 years,16/17,184.8,167.2,203.7
Males,South Western Sydney LHD,5-34 years,17/18,165.9,149.4,183.8
Males,South Western Sydney LHD,5-34 years,18/19,189,171.5,207.7
Males,South Western Sydney LHD,5-34 years,19/20,161,145,178.2
Males,South Western Sydney LHD,5-34 years,20/21,134.3,119.9,150.1
