Asthma-like illness emergency department presentations (monthly) by Sex and LHD,,,,,
Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Males,Sydney LHD,2014-07,22.6,17.4,28.8
Males,Sydney LHD,2014-08,28.9,22.6,36.2
Males,Sydney LHD,2014-09,15.7,11.4,21.2
Males,Sydney LHD,2014-10,19.2,14.2,25.3
Males,Sydney LHD,2014-11,19.7,14.8,25.8
Males,Sydney LHD,2014-12,24.9,19.2,31.7
Males,Sydney LHD,2015-01,15.1,10.9,20.3
Males,Sydney LHD,2015-02,27.8,21.8,35
Males,Sydney LHD,2015-03,29.5,23.3,36.9
Males,Sydney LHD,2015-04,24.7,19.3,31.3
Males,Sydney LHD,2015-05,27.6,21.6,34.7
Males,Sydney LHD,2015-06,26.5,20.5,33.5
Males,Sydney LHD,2015-07,27.2,21.4,34.1
Males,Sydney LHD,2015-08,28.4,22.4,35.5
Males,Sydney LHD,2015-09,17.9,13.3,23.7
Males,Sydney LHD,2015-10,21.7,16.6,28
Males,Sydney LHD,2015-11,19.5,14.4,25.7
Males,Sydney LHD,2015-12,15,10.8,20.3
Males,Sydney LHD,2016-01,14.6,10.5,19.9
Males,Sydney LHD,2016-02,35.2,28.3,43.3
Males,Sydney LHD,2016-03,29.5,23.3,36.9
Males,Sydney LHD,2016-04,21.1,16.1,27.1
Males,Sydney LHD,2016-05,28.3,22.3,35.5
Males,Sydney LHD,2016-06,28.1,22.1,35.2
Males,Sydney LHD,2016-07,24,18.5,30.6
Males,Sydney LHD,2016-08,20,15.1,26
Males,Sydney LHD,2016-09,19.2,14.3,25.3
Males,Sydney LHD,2016-10,18.7,13.9,24.6
Males,Sydney LHD,2016-11,16.3,11.9,21.9
Males,Sydney LHD,2016-12,16,11.5,21.5
Males,Sydney LHD,2017-01,12.6,9,17.3
Males,Sydney LHD,2017-02,22.2,16.9,28.7
Males,Sydney LHD,2017-03,26.7,20.9,33.5
Males,Sydney LHD,2017-04,26.6,20.7,33.5
Males,Sydney LHD,2017-05,36,29.1,43.9
Males,Sydney LHD,2017-06,24.5,19,31.1
Males,Sydney LHD,2017-07,16.7,12.2,22.3
Males,Sydney LHD,2017-08,16.8,12.4,22.3
Males,Sydney LHD,2017-09,16.5,12,22
Males,Sydney LHD,2017-10,19.1,14.3,25.1
Males,Sydney LHD,2017-11,14.1,10,19.4
Males,Sydney LHD,2017-12,18.6,13.8,24.5
Males,Sydney LHD,2018-01,10.3,7,14.6
Males,Sydney LHD,2018-02,22.5,17.2,29
Males,Sydney LHD,2018-03,21.2,16,27.5
Males,Sydney LHD,2018-04,18,13.4,23.7
Males,Sydney LHD,2018-05,34.3,27.6,42
Males,Sydney LHD,2018-06,21.3,16,27.6
Males,Sydney LHD,2018-07,12.6,8.8,17.5
Males,Sydney LHD,2018-08,17.2,12.7,22.7
Males,Sydney LHD,2018-09,24.4,19,31
Males,Sydney LHD,2018-10,16.3,12,21.8
Males,Sydney LHD,2018-11,19.8,14.7,26.1
Males,Sydney LHD,2018-12,11.8,8.1,16.7
Males,Sydney LHD,2019-01,14.8,10.6,20
Males,Sydney LHD,2019-02,30.2,23.9,37.6
Males,Sydney LHD,2019-03,24.5,18.9,31.1
Males,Sydney LHD,2019-04,22.8,17.5,29.1
Males,Sydney LHD,2019-05,26.4,20.6,33.3
Males,Sydney LHD,2019-06,23.5,18.1,30
Males,Sydney LHD,2019-07,15.6,11.2,21
Males,Sydney LHD,2019-08,17.2,12.6,22.9
Males,Sydney LHD,2019-09,20.3,15.2,26.5
Males,Sydney LHD,2019-10,14.4,10.1,19.7
Males,Sydney LHD,2019-11,20.4,15.2,26.7
Males,Sydney LHD,2019-12,22.5,17.2,28.9
Males,Sydney LHD,2020-01,13.5,9.6,18.5
Males,Sydney LHD,2020-02,23.5,18,30.2
Males,Sydney LHD,2020-03,24.5,19.1,31
Males,Sydney LHD,2020-04,5.9,3.6,9.2
Males,Sydney LHD,2020-05,6.2,3.8,9.7
Males,Sydney LHD,2020-06,19.1,14.1,25.2
Males,Sydney LHD,2020-07,11.5,7.8,16.2
Males,Sydney LHD,2020-08,20.2,15.1,26.4
Males,Sydney LHD,2020-09,11.1,7.5,15.7
Males,Sydney LHD,2020-10,15.2,10.8,20.6
Males,Sydney LHD,2020-11,15.3,10.9,20.8
Males,Sydney LHD,2020-12,15.4,11,20.8
Males,Sydney LHD,2021-01,8.4,5.4,12.6
Males,Sydney LHD,2021-02,15.9,11.4,21.6
Males,Sydney LHD,2021-03,19.7,14.6,25.8
Males,Sydney LHD,2021-04,18.7,13.8,24.6
Males,Sydney LHD,2021-05,23.6,18.1,30.3
Males,Sydney LHD,2021-06,18.5,13.7,24.4
Males,Sydney LHD,2021-07,8.2,5.2,12.2
Males,Sydney LHD,2021-08,5.6,3.1,9.1
Males,Sydney LHD,2021-09,3,1.4,5.7
Males,Sydney LHD,2021-10,6.5,3.9,10.1
Males,Sydney LHD,2021-11,8.2,5.1,12.4
Males,Sydney LHD,2021-12,9.1,5.8,13.5
Males,Sydney LHD,2022-01,11.2,7.5,15.9
Males,Sydney LHD,2022-02,11.2,7.5,15.9
Males,Sydney LHD,2022-03,24.4,18.7,31.2
Males,Sydney LHD,2022-04,24.2,18.6,30.8
Males,Sydney LHD,2022-05,28.4,22.4,35.5
Males,Sydney LHD,2022-06,17,12.5,22.5
Males,Sydney LHD,2022-07,16.5,12,22
Males,Sydney LHD,2022-08,27.1,21,34.3
Males,Sydney LHD,2022-09,18.9,14,24.8
Males,Sydney LHD,2022-10,15.5,11.2,20.8
Males,Sydney LHD,2022-11,13.9,9.8,19.1
Males,Sydney LHD,2022-12,11.1,7.7,15.6
Males,Sydney LHD,2023-01,9.5,6.3,13.7
Males,Sydney LHD,2023-02,15.3,10.9,20.7
Males,Sydney LHD,2023-03,12.6,8.8,17.4
Males,Sydney LHD,2023-04,18.6,13.8,24.3
Males,Sydney LHD,2023-05,19.9,14.9,25.9
Males,Sydney LHD,2023-06,14.4,10.3,19.6
Males,South Western Sydney LHD,2014-07,27.4,23,32.6
Males,South Western Sydney LHD,2014-08,25.3,21,30.3
Males,South Western Sydney LHD,2014-09,25.9,21.6,30.9
Males,South Western Sydney LHD,2014-10,24.3,20.1,29.1
