"Respiratory disease hospitalisations by Disease type, Sex and LHD"
"Disease type","Sex","LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Influenza and pneumonia","Males","Sydney LHD","01/02","345.0","319.8","371.7"
"Influenza and pneumonia","Males","Sydney LHD","02/03","349.1","323.2","376.6"
"Influenza and pneumonia","Males","Sydney LHD","03/04","362.4","335.1","391.3"
"Influenza and pneumonia","Males","Sydney LHD","04/05","364.8","337.5","393.7"
"Influenza and pneumonia","Males","Sydney LHD","05/06","285.2","262.7","309.0"
"Influenza and pneumonia","Males","Sydney LHD","06/07","301.6","279.1","325.3"
"Influenza and pneumonia","Males","Sydney LHD","07/08","291.4","269.6","314.4"
"Influenza and pneumonia","Males","Sydney LHD","08/09","249.4","229.7","270.3"
"Influenza and pneumonia","Males","Sydney LHD","09/10","257.6","238.0","278.5"
"Influenza and pneumonia","Males","Sydney LHD","10/11","279.2","258.8","300.7"
"Influenza and pneumonia","Males","Sydney LHD","11/12","311.2","289.9","333.6"
"Influenza and pneumonia","Males","Sydney LHD","12/13","284.5","264.4","305.6"
"Influenza and pneumonia","Males","Sydney LHD","13/14","265.5","246.4","285.6"
"Influenza and pneumonia","Males","Sydney LHD","14/15","336.0","314.8","358.2"
"Influenza and pneumonia","Males","Sydney LHD","15/16","337.7","316.8","359.7"
"Influenza and pneumonia","Males","Sydney LHD","16/17","378.7","356.7","401.7"
"Influenza and pneumonia","Males","Sydney LHD","17/18","426.5","403.4","450.7"
"Influenza and pneumonia","Males","Sydney LHD","18/19","395.2","373.1","418.3"
"Influenza and pneumonia","Males","Sydney LHD","19/20","398.3","376.3","421.3"
"Influenza and pneumonia","Males","Sydney LHD","20/21","233.6","216.9","251.2"
"Influenza and pneumonia","Males","Sydney LHD","21/22","479.9","456.4","504.2"
"Influenza and pneumonia","Males","South Western Sydney LHD","01/02","343.3","321.9","365.7"
"Influenza and pneumonia","Males","South Western Sydney LHD","02/03","326.7","306.3","348.1"
"Influenza and pneumonia","Males","South Western Sydney LHD","03/04","342.7","322.2","364.3"
"Influenza and pneumonia","Males","South Western Sydney LHD","04/05","302.8","283.7","322.8"
"Influenza and pneumonia","Males","South Western Sydney LHD","05/06","255.1","237.9","273.3"
