"Acute respiratory infection hospitalisations by Acute respiratory infection, Age (years), Sex and LHD",,,,,,,
Acute respiratory infection,Age (years),Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Influenza and pneumonia,0-4 years,Males,Sydney LHD,1-Feb,817.3,678.7,975.8
Influenza and pneumonia,0-4 years,Males,Sydney LHD,2-Mar,720.5,591.6,869.1
Influenza and pneumonia,0-4 years,Males,Sydney LHD,3-Apr,786,652.2,939.2
Influenza and pneumonia,0-4 years,Males,Sydney LHD,4-May,596.6,481.6,730.9
Influenza and pneumonia,0-4 years,Males,Sydney LHD,5-Jun,418.3,323.5,532.2
Influenza and pneumonia,0-4 years,Males,Sydney LHD,6-Jul,433.9,338.9,547.3
Influenza and pneumonia,0-4 years,Males,Sydney LHD,7-Aug,469.9,373.2,584
Influenza and pneumonia,0-4 years,Males,Sydney LHD,8-Sep,418.1,328.8,524
Influenza and pneumonia,0-4 years,Males,Sydney LHD,9-Oct,496.8,400.5,609.3
Influenza and pneumonia,0-4 years,Males,Sydney LHD,10-Nov,504,407.8,616.1
Influenza and pneumonia,0-4 years,Males,Sydney LHD,11-Dec,504.7,409.3,615.8
Influenza and pneumonia,0-4 years,Males,Sydney LHD,Dec-13,427.7,341.1,529.5
Influenza and pneumonia,0-4 years,Males,Sydney LHD,13/14,353.1,275.3,446.1
Influenza and pneumonia,0-4 years,Males,Sydney LHD,14/15,494.6,401.6,602.8
Influenza and pneumonia,0-4 years,Males,Sydney LHD,15/16,551.7,453,665.5
Influenza and pneumonia,0-4 years,Males,Sydney LHD,16/17,472,381.4,577.6
Influenza and pneumonia,0-4 years,Males,Sydney LHD,17/18,643.1,536.9,764.1
Influenza and pneumonia,0-4 years,Males,Sydney LHD,18/19,595.3,493.5,711.8
Influenza and pneumonia,0-4 years,Males,Sydney LHD,19/20,567.2,467.8,681.3
Influenza and pneumonia,0-4 years,Males,Sydney LHD,20/21,444.5,356.1,548.3
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,1-Feb,924,820.2,"1,037.30"
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,2-Mar,891.3,788.7,"1,003.60"
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,3-Apr,887,784.3,999.3
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,4-May,665.8,577.4,764
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,5-Jun,499.1,423.4,584.5
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,6-Jul,539.1,460.9,626.8
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,7-Aug,675.9,588.4,772.8
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,8-Sep,583,502.2,673
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,9-Oct,779.2,685.7,881.8
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,10-Nov,627.4,544.1,719.9
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,11-Dec,703.3,615.1,800.5
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,Dec-13,663.4,578.4,757.3
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,13/14,675.3,590.3,769.1
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,14/15,585.7,507.7,672.3
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,15/16,702.3,618,795
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,16/17,721.1,636.5,813.7
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,17/18,905.5,811.1,"1,007.80"
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,18/19,795.5,707.9,891
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,19/20,749,664.6,841.2
Influenza and pneumonia,0-4 years,Males,South Western Sydney LHD,20/21,448.4,383.4,521.4
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,1-Feb,594.4,497.3,704.8
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,2-Mar,656.7,554.5,772.3
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,3-Apr,682.1,578,799.6
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,4-May,500.2,411.9,601.9
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,5-Jun,472.4,387.2,570.9
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,6-Jul,450.1,368.1,544.8
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,7-Aug,432.7,353.9,523.8
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,8-Sep,450.5,371.3,541.7
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,9-Oct,374.2,303.1,457
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,10-Nov,456.7,378,546.9
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,11-Dec,419.5,344.8,505.6
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,Dec-13,305.5,242.9,379.2
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,13/14,343.5,277.2,420.8
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,14/15,399.7,327.8,482.5
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,15/16,373.4,304.2,453.7
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,16/17,342.7,276.6,419.9
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,17/18,404.4,332,487.8
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,18/19,596.7,507.5,697
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,19/20,405.2,332,489.6
Influenza and pneumonia,0-4 years,Males,South Eastern Sydney LHD,20/21,304.8,241.3,379.9
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,1-Feb,541.5,417.9,690.2
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,2-Mar,397.5,292.1,528.6
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,3-Apr,526,402.3,675.6
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,4-May,501.4,379.7,649.6
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,5-Jun,471.3,353,616.5
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,6-Jul,424.9,313.3,563.4
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,7-Aug,610.2,475.7,771
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,8-Sep,506.1,385.3,652.8
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,9-Oct,557.2,430.9,708.9
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,10-Nov,468.1,353.6,607.8
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,11-Dec,399.4,294.5,529.5
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,Dec-13,404.5,299.2,534.7
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,13/14,385.2,283,512.2
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,14/15,707.6,566.8,872.9
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,15/16,545.8,423.9,692
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,16/17,408.2,303.9,536.7
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,17/18,530.7,410.4,675.1
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,18/19,457.9,346.8,593.2
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,19/20,386.3,284.9,512.2
Influenza and pneumonia,0-4 years,Males,Illawarra Shoalhaven LHD,20/21,454.3,343.2,590
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,1-Feb,769.6,669.1,881.1
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,2-Mar,720.2,623.4,827.8
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,3-Apr,894,786.1,"1,012.40"
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,4-May,600.5,513.1,698.5
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,5-Jun,560.8,477,655
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,6-Jul,519.9,440.3,609.8
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,7-Aug,645,557.5,742.5
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,8-Sep,570.1,489.5,660.3
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,9-Oct,685.7,598.3,782.3
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,10-Nov,573.6,494.7,661.4
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,11-Dec,578.6,500.2,665.8
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,Dec-13,544.5,469.6,627.9
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,13/14,633.2,553.3,721.3
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,14/15,520.5,449.1,600
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,15/16,616.2,539,701.4
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,16/17,517.7,447.8,595.5
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,17/18,750,665.9,841.9
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,18/19,720.6,638.5,810.3
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,19/20,703.7,622.9,792.2
Influenza and pneumonia,0-4 years,Males,Western Sydney LHD,20/21,421.8,359.3,492
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,1-Feb,708.3,570.3,869.6
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,2-Mar,711.8,571.7,876
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,3-Apr,892.6,733.6,"1,075.90"
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,4-May,614.1,483,769.7
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,5-Jun,621,488.4,778.4
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,6-Jul,844.9,688.9,"1,025.60"
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,7-Aug,907.5,746.5,"1,092.80"
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,8-Sep,677.8,540.6,839.1
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,9-Oct,656.8,522.4,815.3
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,10-Nov,702.7,562.9,866.8
Influenza and pneumonia,0-4 years,Males,Nepean Blue Mountains LHD,11-Dec,510.7,392.5,653.5
