financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm
2000/2001,Central Coast,0.06549295774647888,0.21418439716312057,0.39078014184397164,1.762142857142857,15.595070422535212,0.07
2001/2002,Central Coast,0.06549295774647888,0.21418439716312057,0.39078014184397164,1.762142857142857,15.595070422535212,0.07
2002/2003,Central Coast,0.06549295774647888,0.21418439716312057,0.39078014184397164,1.762142857142857,15.595070422535212,0.07
2003/2004,Central Coast,0.06549295774647888,0.21418439716312057,0.39078014184397164,1.762142857142857,15.595070422535212,0.07
2004/2005,Central Coast,0.06549295774647888,0.21418439716312057,0.39078014184397164,1.762142857142857,15.595070422535212,0.07
2005/2006,Central Coast,0.06549295774647888,0.21418439716312057,0.39078014184397164,1.762142857142857,15.595070422535212,0.07
2006/2007,Central Coast,0.06549295774647888,0.21418439716312057,0.39078014184397164,1.762142857142857,15.59507042253521,0.07
2007/2008,Central Coast,0.06549295774647888,0.21418439716312057,0.39078014184397164,1.762142857142857,15.595070422535212,0.07
2009/2010,Central Coast,0.06549295774647888,0.21418439716312057,0.39078014184397164,1.762142857142857,15.595070422535212,0.07
2010/2011,Central Coast,0.06549295774647888,0.21418439716312057,0.39078014184397164,1.762142857142857,15.595070422535212,0.07
2011/2012,Central Coast,0.06549295774647888,0.2141843971631206,0.39078014184397164,1.762142857142857,15.595070422535212,0.07
2012/2013,Central Coast,0.08849765258215964,0.19361702127659575,0.3747044917257683,1.742936507936508,17.687245696400627,0.09000000000000001
2013/2014,Central Coast,0.1,0.2222222222222222,0.5222222222222223,1.7444444444444445,15.233333333333333,0.08888888888888889
2014/2015,Central Coast,0.1,0.16666666666666666,0.4444444444444444,1.9222222222222223,16.233333333333334,0.044444444444444446
2015/2016,Central Coast,0.1,0.18888888888888888,0.4444444444444444,1.7555555555555555,15.833333333333334,0.06666666666666668
2016/2017,Central Coast,0.1,0.18,0.45,1.8699999999999999,16.1,0.07
2017/2018,Central Coast,0.1,0.1285714285714286,0.39999999999999997,2.0285714285714285,17.985714285714288,0.08571428571428573
2018/2019,Central Coast,0.1,0.15000000000000002,0.325,1.925,17.725,0.1
2019/2020,Central Coast,0.15000000000000002,0.25,0.4,1.5,12.899999999999999,0.05
2020/2021,Central Coast,0.15000000000000002,0.175,0.325,1.8,16.975,0.07500000000000001
2023/2024,Central Coast,-0.1,0.15000000000000002,0.15000000000000002,1.55,14.45,0.05
2000/2001,Hunter New England,0.225,0.6428652165776647,0.7335377435851258,1.9098001217532468,22.29196901087179,0.16070495947567542
2001/2002,Hunter New England,0.2375,0.7029829099687395,0.7572918904507835,1.8582126506586938,22.528876500587916,0.15911902941379027
2002/2003,Hunter New England,0.3,0.7904671350428927,0.8066092863509131,1.8467532467532468,22.438018570027815,0.1803211279539363
2003/2004,Hunter New England,0.26,0.7507845953603528,0.7788315085731353,1.9074675324675323,23.24604706444445,0.178535413668222
2004/2005,Hunter New England,0.15714285714285717,0.6339843657953216,0.7232547076405496,1.9088165450941659,22.990679695112515,0.17046734948602738
2005/2006,Hunter New England,0.125,0.6210226905984482,0.7288315085731354,2.001069793515837,22.412404014771752,0.15732800868788124
2006/2007,Hunter New England,0.18999999999999997,0.6614549183247189,0.7384902885107493,1.8519488402784265,22.746275533190442,0.1590391203529967
2007/2008,Hunter New England,0.285,0.6719073844506311,0.723766406627477,1.7520657467532468,21.93015256532051,0.168238083956448
2009/2010,Hunter New England,0.22999999999999998,0.6981139453512999,0.7519831773521806,1.7780032467532467,22.09320485992839,0.16782070941780824
2010/2011,Hunter New England,0.10285714285714286,0.6416591200751818,0.7414424084463926,1.8624007287676352,20.400753263905365,0.16189011227437713
2011/2012,Hunter New England,0.08,0.5873051730809307,0.7152583353999622,1.8767532467532468,20.421161427170674,0.17544767440623116
2012/2013,Hunter New England,0.06666666666666668,0.5946004407186571,0.7408181644305137,1.9347828230921758,23.556901877196836,0.15575217298375604
2013/2014,Hunter New England,0.12222222222222223,0.6680271915022297,0.7740818956508606,1.849034992784993,22.375150555061868,0.16180448441927917
2014/2015,Hunter New England,0.2466666666666667,0.46511463844797185,0.7071880036792318,1.9911976911976912,22.876567124024753,0.15556752873563218
2015/2016,Hunter New England,0.37777777777777777,0.564935064935065,0.7265512265512266,1.843975468975469,22.83650793650794,0.17083333333333334
2016/2017,Hunter New England,0.15,0.5104906204906206,0.6976623376623377,1.9417532467532468,22.41857142857143,0.19
2017/2018,Hunter New England,0.2571428571428572,0.4666750181035895,0.6665343011207673,2.0507884972170687,24.893877551020406,0.16964285714285715
