lhd,financial year,"rate per 100,000 population"
Central Coast,2011/2012,0.6
Central Coast,2012/2013,0.6
Central Coast,2013/2014,0.6
Central Coast,2014/2015,0.675
Central Coast,2015/2016,0.725
Central Coast,2016/2017,0.7
Central Coast,2017/2018,0.675
Central Coast,2018/2019,0.675
Central Coast,2019/2020,0.6499999999999999
Central Coast,2020/2021,0.6
Hunter New England,2011/2012,0.55
Hunter New England,2012/2013,0.575
Hunter New England,2013/2014,0.6499999999999999
Hunter New England,2014/2015,0.825
Hunter New England,2015/2016,1.025
Hunter New England,2016/2017,1.05
Hunter New England,2017/2018,0.975
Hunter New England,2018/2019,0.875
Hunter New England,2019/2020,0.8
Hunter New England,2020/2021,0.8
Illawarra Shoalhaven,2011/2012,0.7
Illawarra Shoalhaven,2012/2013,0.725
Illawarra Shoalhaven,2013/2014,0.7
Illawarra Shoalhaven,2014/2015,0.65
Illawarra Shoalhaven,2015/2016,0.7
Illawarra Shoalhaven,2016/2017,0.75
Illawarra Shoalhaven,2017/2018,0.725
Illawarra Shoalhaven,2018/2019,0.625
Illawarra Shoalhaven,2019/2020,0.55
Illawarra Shoalhaven,2020/2021,0.55
Mid North Coast,2011/2012,0.95
Mid North Coast,2012/2013,1.0499999999999998
Mid North Coast,2013/2014,0.975
Mid North Coast,2014/2015,0.75
Mid North Coast,2015/2016,0.55
Mid North Coast,2016/2017,0.42500000000000004
Mid North Coast,2017/2018,0.525
Mid North Coast,2018/2019,0.725
Mid North Coast,2019/2020,0.85
Mid North Coast,2020/2021,0.85
Murrumbidgee,2011/2012,0.9
Murrumbidgee,2012/2013,0.9
Murrumbidgee,2013/2014,0.925
Murrumbidgee,2014/2015,0.975
Murrumbidgee,2015/2016,1.05
Murrumbidgee,2016/2017,1.2000000000000002
Murrumbidgee,2017/2018,1.3250000000000002
Murrumbidgee,2018/2019,1.425
Murrumbidgee,2019/2020,1.425
Murrumbidgee,2020/2021,1.35
Nepean Blue Mountains,2011/2012,1.0
Nepean Blue Mountains,2012/2013,0.925
Nepean Blue Mountains,2013/2014,0.95
Nepean Blue Mountains,2014/2015,1.0
Nepean Blue Mountains,2015/2016,1.0
Nepean Blue Mountains,2016/2017,1.15
Nepean Blue Mountains,2017/2018,1.2
Nepean Blue Mountains,2018/2019,1.075
Nepean Blue Mountains,2019/2020,0.775
Nepean Blue Mountains,2020/2021,0.55
Northern NSW,2011/2012,0.95
Northern NSW,2012/2013,0.95
Northern NSW,2013/2014,0.925
Northern NSW,2014/2015,0.825
Northern NSW,2015/2016,0.825
Northern NSW,2016/2017,0.95
Northern NSW,2017/2018,1.175
Northern NSW,2018/2019,1.35
Northern NSW,2019/2020,1.175
Northern NSW,2020/2021,1.0
Northern Sydney,2011/2012,0.4
Northern Sydney,2012/2013,0.35
Northern Sydney,2013/2014,0.4
Northern Sydney,2014/2015,0.55
Northern Sydney,2015/2016,0.6499999999999999
Northern Sydney,2016/2017,0.625
Northern Sydney,2017/2018,0.45
Northern Sydney,2018/2019,0.3
Northern Sydney,2019/2020,0.3
Northern Sydney,2020/2021,0.35
South Eastern Sydney,2011/2012,0.6
South Eastern Sydney,2012/2013,0.575
South Eastern Sydney,2013/2014,0.525
South Eastern Sydney,2014/2015,0.5
South Eastern Sydney,2015/2016,0.55
South Eastern Sydney,2016/2017,0.6499999999999999
South Eastern Sydney,2017/2018,0.675
South Eastern Sydney,2018/2019,0.65
South Eastern Sydney,2019/2020,0.6000000000000001
South Eastern Sydney,2020/2021,0.55
South Western Sydney,2011/2012,0.75
South Western Sydney,2012/2013,0.725
South Western Sydney,2013/2014,0.725
South Western Sydney,2014/2015,0.75
South Western Sydney,2015/2016,0.875
South Western Sydney,2016/2017,1.025
South Western Sydney,2017/2018,1.1
South Western Sydney,2018/2019,1.025
South Western Sydney,2019/2020,0.8500000000000001
South Western Sydney,2020/2021,0.8
Southern NSW,2011/2012,0.75
Southern NSW,2012/2013,0.95
Southern NSW,2013/2014,1.025
Southern NSW,2014/2015,0.9
Southern NSW,2015/2016,0.875
Southern NSW,2016/2017,0.8
Southern NSW,2017/2018,0.7
Southern NSW,2018/2019,0.625
Southern NSW,2019/2020,0.55
Southern NSW,2020/2021,0.5
Sydney,2011/2012,0.8
Sydney,2012/2013,1.0
Sydney,2013/2014,1.075
Sydney,2014/2015,0.85
Sydney,2015/2016,0.575
Sydney,2016/2017,0.375
Sydney,2017/2018,0.425
Sydney,2018/2019,0.525
Sydney,2019/2020,0.6000000000000001
Sydney,2020/2021,0.65
Western NSW,2011/2012,1.0
Western NSW,2012/2013,1.075
Western NSW,2013/2014,1.275
Western NSW,2014/2015,1.4
Western NSW,2015/2016,1.25
Western NSW,2016/2017,1.2000000000000002
Western NSW,2017/2018,1.25
Western NSW,2018/2019,1.2999999999999998
Western NSW,2019/2020,1.325
Western NSW,2020/2021,1.25
Western Sydney,2011/2012,0.8
Western Sydney,2012/2013,0.825
Western Sydney,2013/2014,0.825
Western Sydney,2014/2015,0.9
Western Sydney,2015/2016,1.0
Western Sydney,2016/2017,1.025
Western Sydney,2017/2018,0.9
Western Sydney,2018/2019,0.725
Western Sydney,2019/2020,0.675
Western Sydney,2020/2021,0.65
