sex,lhd,date,"rate per 100,000 population"
Males,Sydney,2014-07,22.6
Males,Sydney,2014-08,28.9
Males,Sydney,2014-09,15.7
Males,Sydney,2014-10,19.2
Males,Sydney,2014-11,19.7
Males,Sydney,2014-12,24.9
Males,Sydney,2015-01,15.1
Males,Sydney,2015-02,27.8
Males,Sydney,2015-03,29.5
Males,Sydney,2015-04,24.7
Males,Sydney,2015-05,27.6
Males,Sydney,2015-06,26.5
Males,Sydney,2015-07,27.2
Males,Sydney,2015-08,28.4
Males,Sydney,2015-09,17.9
Males,Sydney,2015-10,21.7
Males,Sydney,2015-11,19.5
Males,Sydney,2015-12,15.0
Males,Sydney,2016-01,14.6
Males,Sydney,2016-02,35.2
Males,Sydney,2016-03,29.5
Males,Sydney,2016-04,21.1
Males,Sydney,2016-05,28.3
Males,Sydney,2016-06,28.1
Males,Sydney,2016-07,24.0
Males,Sydney,2016-08,20.0
Males,Sydney,2016-09,19.2
Males,Sydney,2016-10,18.7
Males,Sydney,2016-11,16.3
Males,Sydney,2016-12,16.0
Males,Sydney,2017-01,12.6
Males,Sydney,2017-02,22.2
Males,Sydney,2017-03,26.7
Males,Sydney,2017-04,26.6
Males,Sydney,2017-05,36.0
Males,Sydney,2017-06,24.5
Males,Sydney,2017-07,16.7
Males,Sydney,2017-08,16.8
Males,Sydney,2017-09,16.5
Males,Sydney,2017-10,19.1
Males,Sydney,2017-11,14.1
Males,Sydney,2017-12,18.6
Males,Sydney,2018-01,10.3
Males,Sydney,2018-02,22.5
Males,Sydney,2018-03,21.2
Males,Sydney,2018-04,18.0
Males,Sydney,2018-05,34.3
Males,Sydney,2018-06,21.3
Males,Sydney,2018-07,12.6
Males,Sydney,2018-08,17.2
Males,Sydney,2018-09,24.4
Males,Sydney,2018-10,16.3
Males,Sydney,2018-11,19.8
Males,Sydney,2018-12,11.8
Males,Sydney,2019-01,14.8
Males,Sydney,2019-02,30.2
Males,Sydney,2019-03,24.5
Males,Sydney,2019-04,22.8
Males,Sydney,2019-05,26.4
Males,Sydney,2019-06,23.5
Males,Sydney,2019-07,15.6
Males,Sydney,2019-08,17.2
Males,Sydney,2019-09,20.3
Males,Sydney,2019-10,14.4
Males,Sydney,2019-11,20.4
Males,Sydney,2019-12,22.5
Males,Sydney,2020-01,13.5
Males,Sydney,2020-02,23.5
Males,Sydney,2020-03,24.5
Males,Sydney,2020-04,5.9
Males,Sydney,2020-05,6.2
