sex,lhd,financial year,"rate per 100,000 population"
Males,Sydney,2014/2015,283.1
Males,Sydney,2015/2016,287.6
Males,Sydney,2016/2017,263.7
Males,Sydney,2017/2018,229.5
Males,Sydney,2018/2019,244.4
Males,Sydney,2019/2020,202.8
Males,Sydney,2020/2021,191.9
Males,Sydney,2021/2022,160.1
Males,Sydney,2022/2023,193.3
Males,South Western Sydney,2014/2015,364.8
Males,South Western Sydney,2015/2016,366.2
Males,South Western Sydney,2016/2017,322.1
Males,South Western Sydney,2017/2018,280.8
Males,South Western Sydney,2018/2019,311.3
Males,South Western Sydney,2019/2020,240.6
Males,South Western Sydney,2020/2021,211.7
Males,South Western Sydney,2021/2022,207.4
Males,South Western Sydney,2022/2023,248.3
Males,South Eastern Sydney,2014/2015,308.4
Males,South Eastern Sydney,2015/2016,274.9
Males,South Eastern Sydney,2016/2017,269.2
Males,South Eastern Sydney,2017/2018,234.7
Males,South Eastern Sydney,2018/2019,237.8
Males,South Eastern Sydney,2019/2020,205.6
Males,South Eastern Sydney,2020/2021,174.3
Males,South Eastern Sydney,2021/2022,158.6
Males,South Eastern Sydney,2022/2023,190.0
Males,Illawarra Shoalhaven,2014/2015,383.6
Males,Illawarra Shoalhaven,2015/2016,392.5
Males,Illawarra Shoalhaven,2016/2017,381.6
Males,Illawarra Shoalhaven,2017/2018,397.7
Males,Illawarra Shoalhaven,2018/2019,338.5
Males,Illawarra Shoalhaven,2019/2020,280.4
Males,Illawarra Shoalhaven,2020/2021,247.6
Males,Illawarra Shoalhaven,2021/2022,246.5
Males,Illawarra Shoalhaven,2022/2023,269.5
Males,Western Sydney,2014/2015,321.1
Males,Western Sydney,2015/2016,312.8
Males,Western Sydney,2016/2017,307.5
Males,Western Sydney,2017/2018,263.4
Males,Western Sydney,2018/2019,257.9
Males,Western Sydney,2019/2020,203.2
Males,Western Sydney,2020/2021,188.5
Males,Western Sydney,2021/2022,184.0
Males,Western Sydney,2022/2023,209.3
Males,Nepean Blue Mountains,2014/2015,379.1
Males,Nepean Blue Mountains,2015/2016,347.5
Males,Nepean Blue Mountains,2016/2017,365.9
Males,Nepean Blue Mountains,2017/2018,320.8
Males,Nepean Blue Mountains,2018/2019,332.5
Males,Nepean Blue Mountains,2019/2020,275.4
