Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Males,Sydney LHD,14/15,283.1,263.1,304.1
Males,Sydney LHD,15/16,287.6,267.5,308.7
Males,Sydney LHD,16/17,263.7,244.7,283.8
Males,Sydney LHD,17/18,229.5,211.8,248.4
Males,Sydney LHD,18/19,244.4,226.1,263.7
Males,Sydney LHD,19/20,202.8,186.1,220.6
Males,Sydney LHD,20/21,191.9,175.5,209.4
Males,Sydney LHD,21/22,160.1,145.1,176.1
Males,Sydney LHD,22/23,193.3,177,210.6
Males,South Western Sydney LHD,14/15,364.8,348.1,382.2
Males,South Western Sydney LHD,15/16,366.2,349.6,383.4
Males,South Western Sydney LHD,16/17,322.1,306.7,338
Males,South Western Sydney LHD,17/18,280.8,266.6,295.6
Males,South Western Sydney LHD,18/19,311.3,296.4,326.7
Males,South Western Sydney LHD,19/20,240.6,227.6,254.1
Males,South Western Sydney LHD,20/21,211.7,199.7,224.3
Males,South Western Sydney LHD,21/22,207.4,195.5,219.9
Males,South Western Sydney LHD,22/23,248.3,235.2,262
Males,South Eastern Sydney LHD,14/15,308.4,291.1,326.4
Males,South Eastern Sydney LHD,15/16,274.9,258.6,291.9
Males,South Eastern Sydney LHD,16/17,269.2,253.1,285.9
Males,South Eastern Sydney LHD,17/18,234.7,219.8,250.3
Males,South Eastern Sydney LHD,18/19,237.8,222.8,253.6
Males,South Eastern Sydney LHD,19/20,205.6,191.6,220.2
Males,South Eastern Sydney LHD,20/21,174.3,161.2,188.1
Males,South Eastern Sydney LHD,21/22,158.6,146.3,171.8
Males,South Eastern Sydney LHD,22/23,190,176.4,204.3
Males,Illawarra Shoalhaven LHD,14/15,383.6,355.9,412.9
Males,Illawarra Shoalhaven LHD,15/16,392.5,364.6,421.9
Males,Illawarra Shoalhaven LHD,16/17,381.6,354.2,410.5
Males,Illawarra Shoalhaven LHD,17/18,397.7,369.8,427.2
Males,Illawarra Shoalhaven LHD,18/19,338.5,312.7,365.9
Males,Illawarra Shoalhaven LHD,19/20,280.4,256.9,305.3
Males,Illawarra Shoalhaven LHD,20/21,247.6,225.8,270.9
Males,Illawarra Shoalhaven LHD,21/22,246.5,224.9,269.7
Males,Illawarra Shoalhaven LHD,22/23,269.5,246.9,293.5
Males,Western Sydney LHD,14/15,321.1,305.3,337.6
Males,Western Sydney LHD,15/16,312.8,297.4,328.9
Males,Western Sydney LHD,16/17,307.5,292.3,323.3
Males,Western Sydney LHD,17/18,263.4,249.5,277.9
Males,Western Sydney LHD,18/19,257.9,244.2,272.1
Males,Western Sydney LHD,19/20,203.2,191.3,215.7
Males,Western Sydney LHD,20/21,188.5,177.1,200.4
Males,Western Sydney LHD,21/22,184,172.7,195.9
Males,Western Sydney LHD,22/23,209.3,197.2,222
Males,Nepean Blue Mountains LHD,14/15,379.1,351.4,408.5
Males,Nepean Blue Mountains LHD,15/16,347.5,321.1,375.4
Males,Nepean Blue Mountains LHD,16/17,365.9,339,394.5
Males,Nepean Blue Mountains LHD,17/18,320.8,295.7,347.5
Males,Nepean Blue Mountains LHD,18/19,332.5,307,359.4
Males,Nepean Blue Mountains LHD,19/20,275.4,252.1,300.2
Males,Nepean Blue Mountains LHD,20/21,235.1,213.7,257.9
Males,Nepean Blue Mountains LHD,21/22,236.5,215.1,259.6
Males,Nepean Blue Mountains LHD,22/23,260.8,238.2,285
Males,Northern Sydney LHD,14/15,283,267.3,299.4
Males,Northern Sydney LHD,15/16,263.9,248.8,279.7
Males,Northern Sydney LHD,16/17,243.2,228.8,258.3
Males,Northern Sydney LHD,17/18,216.7,203.1,230.9
Males,Northern Sydney LHD,18/19,223,209.3,237.5
Males,Northern Sydney LHD,19/20,183.5,171,196.7
Males,Northern Sydney LHD,20/21,146.1,134.8,158.1
Males,Northern Sydney LHD,21/22,131.2,120.6,142.5
Males,Northern Sydney LHD,22/23,163.4,151.5,175.8
Males,Central Coast LHD,14/15,354.3,325.3,385.1
Males,Central Coast LHD,15/16,350.7,322,381.3
Males,Central Coast LHD,16/17,339.7,311.5,369.7
Males,Central Coast LHD,17/18,344,315.8,374
Males,Central Coast LHD,18/19,349,320.6,379.2
Males,Central Coast LHD,19/20,319.8,292.6,348.9
Males,Central Coast LHD,20/21,286.1,260.3,313.6
Males,Central Coast LHD,21/22,251,226.9,276.8
Males,Central Coast LHD,22/23,308.1,281.5,336.5
Males,Hunter New England LHD,14/15,445.5,425.8,465.9
Males,Hunter New England LHD,15/16,459.5,439.6,480.1
Males,Hunter New England LHD,16/17,495.8,475.1,517.2
Males,Hunter New England LHD,17/18,437.2,417.9,457.2
Males,Hunter New England LHD,18/19,423.3,404.2,442.9
Males,Hunter New England LHD,19/20,407.8,389.1,427.1
Males,Hunter New England LHD,20/21,366,348.3,384.4
Males,Hunter New England LHD,21/22,367.1,349.3,385.5
Males,Hunter New England LHD,22/23,416.7,397.8,436.3
Males,Northern NSW LHD,14/15,569.8,528.7,613.1
Males,Northern NSW LHD,15/16,649.9,605.9,696
Males,Northern NSW LHD,16/17,544.5,504.3,586.8
Males,Northern NSW LHD,17/18,580.1,538.8,623.6
Males,Northern NSW LHD,18/19,496.5,458.5,536.6
Males,Northern NSW LHD,19/20,460.8,423.9,499.9
Males,Northern NSW LHD,20/21,375.9,342.8,411.1
Males,Northern NSW LHD,21/22,389.2,355.2,425.4
Males,Northern NSW LHD,22/23,449.9,413.3,488.8
Males,Mid North Coast LHD,14/15,478.8,434.7,526
Males,Mid North Coast LHD,15/16,517.4,471.7,566.2
Males,Mid North Coast LHD,16/17,511.6,466.2,560
Males,Mid North Coast LHD,17/18,471.1,427.5,517.7
Males,Mid North Coast LHD,18/19,429.7,388.6,473.7
Males,Mid North Coast LHD,19/20,409.8,369.7,452.9
Males,Mid North Coast LHD,20/21,324.7,289.3,363.2
Males,Mid North Coast LHD,21/22,334.9,298.6,374.2
Males,Mid North Coast LHD,22/23,330.1,293.9,369.3
Males,Southern NSW LHD,14/15,403.3,363,446.7
Males,Southern NSW LHD,15/16,414.6,374.2,458.2
Males,Southern NSW LHD,16/17,453.7,411.2,499.2
Males,Southern NSW LHD,17/18,425,384.1,468.9
Males,Southern NSW LHD,18/19,427.8,387.1,471.4
Males,Southern NSW LHD,19/20,370.3,332.4,411.2
Males,Southern NSW LHD,20/21,331.7,296,370.4
Males,Southern NSW LHD,21/22,310.5,275.5,348.4
Males,Southern NSW LHD,22/23,418.8,378.3,462.2
