sex,lhd,financial year,"rate per 100,000 population"
Males,Sydney,2001/2002,150.9
Males,Sydney,2002/2003,134.4
Males,Sydney,2003/2004,144.8
Males,Sydney,2004/2005,151.7
Males,Sydney,2005/2006,150.7
Males,Sydney,2006/2007,149.1
Males,Sydney,2007/2008,142.7
Males,Sydney,2008/2009,147.6
Males,Sydney,2009/2010,158.1
Males,Sydney,2010/2011,128.9
Males,Sydney,2011/2012,136.4
Males,Sydney,2012/2013,158.0
Males,Sydney,2013/2014,150.4
Males,Sydney,2014/2015,130.1
Males,Sydney,2015/2016,117.8
Males,Sydney,2016/2017,121.7
Males,Sydney,2017/2018,118.8
Males,Sydney,2018/2019,116.1
Males,Sydney,2019/2020,99.2
Males,Sydney,2020/2021,84.8
Males,Sydney,2021/2022,68.6
Males,South Western Sydney,2001/2002,162.4
Males,South Western Sydney,2002/2003,156.5
Males,South Western Sydney,2003/2004,139.6
Males,South Western Sydney,2004/2005,149.4
Males,South Western Sydney,2005/2006,179.8
Males,South Western Sydney,2006/2007,177.7
Males,South Western Sydney,2007/2008,170.5
Males,South Western Sydney,2008/2009,174.0
Males,South Western Sydney,2009/2010,183.7
Males,South Western Sydney,2010/2011,170.5
Males,South Western Sydney,2011/2012,204.8
Males,South Western Sydney,2012/2013,175.2
Males,South Western Sydney,2013/2014,174.0
Males,South Western Sydney,2014/2015,178.8
Males,South Western Sydney,2015/2016,181.0
Males,South Western Sydney,2016/2017,167.7
Males,South Western Sydney,2017/2018,150.1
Males,South Western Sydney,2018/2019,171.9
Males,South Western Sydney,2019/2020,125.2
Males,South Western Sydney,2020/2021,100.9
Males,South Western Sydney,2021/2022,96.7
Males,South Eastern Sydney,2001/2002,167.6
Males,South Eastern Sydney,2002/2003,149.8
Males,South Eastern Sydney,2003/2004,136.2
Males,South Eastern Sydney,2004/2005,150.1
Males,South Eastern Sydney,2005/2006,148.8
Males,South Eastern Sydney,2006/2007,163.0
Males,South Eastern Sydney,2007/2008,155.6
Males,South Eastern Sydney,2008/2009,140.0
Males,South Eastern Sydney,2009/2010,145.7
Males,South Eastern Sydney,2010/2011,139.6
Males,South Eastern Sydney,2011/2012,135.8
Males,South Eastern Sydney,2012/2013,140.9
Males,South Eastern Sydney,2013/2014,146.5
Males,South Eastern Sydney,2014/2015,145.4
Males,South Eastern Sydney,2015/2016,118.6
Males,South Eastern Sydney,2016/2017,116.0
Males,South Eastern Sydney,2017/2018,110.3
Males,South Eastern Sydney,2018/2019,119.1
Males,South Eastern Sydney,2019/2020,95.5
Males,South Eastern Sydney,2020/2021,69.7
Males,South Eastern Sydney,2021/2022,74.5
Males,Illawarra Shoalhaven,2001/2002,121.4
Males,Illawarra Shoalhaven,2002/2003,105.1
Males,Illawarra Shoalhaven,2003/2004,109.9
Males,Illawarra Shoalhaven,2004/2005,125.4
Males,Illawarra Shoalhaven,2005/2006,122.0
Males,Illawarra Shoalhaven,2006/2007,160.2
Males,Illawarra Shoalhaven,2007/2008,176.2
Males,Illawarra Shoalhaven,2008/2009,149.7
Males,Illawarra Shoalhaven,2009/2010,153.9
Males,Illawarra Shoalhaven,2010/2011,145.2
Males,Illawarra Shoalhaven,2011/2012,122.3
Males,Illawarra Shoalhaven,2012/2013,115.3
Males,Illawarra Shoalhaven,2013/2014,112.8
Males,Illawarra Shoalhaven,2014/2015,102.6
Males,Illawarra Shoalhaven,2015/2016,116.5
Males,Illawarra Shoalhaven,2016/2017,118.6
Males,Illawarra Shoalhaven,2017/2018,105.0
Males,Illawarra Shoalhaven,2018/2019,89.1
Males,Illawarra Shoalhaven,2019/2020,58.7
Males,Illawarra Shoalhaven,2020/2021,47.4
Males,Illawarra Shoalhaven,2021/2022,52.7
Males,Western Sydney,2001/2002,143.6
Males,Western Sydney,2002/2003,116.6
Males,Western Sydney,2003/2004,114.9
Males,Western Sydney,2004/2005,104.4
Males,Western Sydney,2005/2006,121.4
Males,Western Sydney,2006/2007,152.3
Males,Western Sydney,2007/2008,142.5
Males,Western Sydney,2008/2009,170.7
Males,Western Sydney,2009/2010,180.2
Males,Western Sydney,2010/2011,154.1
Males,Western Sydney,2011/2012,166.6
Males,Western Sydney,2012/2013,160.5
Males,Western Sydney,2013/2014,180.9
Males,Western Sydney,2014/2015,177.7
Males,Western Sydney,2015/2016,161.5
Males,Western Sydney,2016/2017,154.4
Males,Western Sydney,2017/2018,148.8
Males,Western Sydney,2018/2019,150.2
Males,Western Sydney,2019/2020,117.6
Males,Western Sydney,2020/2021,137.7
Males,Western Sydney,2021/2022,113.6
Males,Nepean Blue Mountains,2001/2002,161.1
Males,Nepean Blue Mountains,2002/2003,134.7
Males,Nepean Blue Mountains,2003/2004,135.2
Males,Nepean Blue Mountains,2004/2005,175.5
Males,Nepean Blue Mountains,2005/2006,174.7
Males,Nepean Blue Mountains,2006/2007,198.7
Males,Nepean Blue Mountains,2007/2008,179.5
Males,Nepean Blue Mountains,2008/2009,193.9
Males,Nepean Blue Mountains,2009/2010,182.3
Males,Nepean Blue Mountains,2010/2011,174.9
Males,Nepean Blue Mountains,2011/2012,163.4
Males,Nepean Blue Mountains,2012/2013,180.3
Males,Nepean Blue Mountains,2013/2014,172.9
Males,Nepean Blue Mountains,2014/2015,176.4
Males,Nepean Blue Mountains,2015/2016,166.3
Males,Nepean Blue Mountains,2016/2017,160.3
Males,Nepean Blue Mountains,2017/2018,150.3
Males,Nepean Blue Mountains,2018/2019,143.1
Males,Nepean Blue Mountains,2019/2020,109.2
Males,Nepean Blue Mountains,2020/2021,94.1
Males,Nepean Blue Mountains,2021/2022,85.1
Males,Northern Sydney,2001/2002,119.9
Males,Northern Sydney,2002/2003,110.1
Males,Northern Sydney,2003/2004,121.9
Males,Northern Sydney,2004/2005,148.7
Males,Northern Sydney,2005/2006,128.8
Males,Northern Sydney,2006/2007,134.9
Males,Northern Sydney,2007/2008,143.1
Males,Northern Sydney,2008/2009,149.1
Males,Northern Sydney,2009/2010,162.7
Males,Northern Sydney,2010/2011,145.1
Males,Northern Sydney,2011/2012,159.2
Males,Northern Sydney,2012/2013,160.8
Males,Northern Sydney,2013/2014,167.3
Males,Northern Sydney,2014/2015,127.3
Males,Northern Sydney,2015/2016,127.2
Males,Northern Sydney,2016/2017,124.4
Males,Northern Sydney,2017/2018,101.2
Males,Northern Sydney,2018/2019,118.1
Males,Northern Sydney,2019/2020,84.4
Males,Northern Sydney,2020/2021,69.9
Males,Northern Sydney,2021/2022,58.3
Males,Central Coast,2001/2002,204.6
Males,Central Coast,2002/2003,167.2
Males,Central Coast,2003/2004,154.1
Males,Central Coast,2004/2005,184.7
Males,Central Coast,2005/2006,173.0
Males,Central Coast,2006/2007,131.1
Males,Central Coast,2007/2008,118.8
Males,Central Coast,2008/2009,123.0
Males,Central Coast,2009/2010,143.3
Males,Central Coast,2010/2011,136.6
Males,Central Coast,2011/2012,142.0
Males,Central Coast,2012/2013,169.3
Males,Central Coast,2013/2014,138.9
Males,Central Coast,2014/2015,148.5
Males,Central Coast,2015/2016,157.4
Males,Central Coast,2016/2017,149.1
Males,Central Coast,2017/2018,141.6
Males,Central Coast,2018/2019,122.9
Males,Central Coast,2019/2020,100.6
Males,Central Coast,2020/2021,69.8
Males,Central Coast,2021/2022,79.8
Males,Hunter New England,2001/2002,176.9
Males,Hunter New England,2002/2003,152.4
Males,Hunter New England,2003/2004,142.6
Males,Hunter New England,2004/2005,146.6
Males,Hunter New England,2005/2006,146.7
Males,Hunter New England,2006/2007,154.6
Males,Hunter New England,2007/2008,150.7
Males,Hunter New England,2008/2009,148.4
Males,Hunter New England,2009/2010,146.1
Males,Hunter New England,2010/2011,134.5
Males,Hunter New England,2011/2012,144.4
Males,Hunter New England,2012/2013,138.8
Males,Hunter New England,2013/2014,144.2
Males,Hunter New England,2014/2015,136.0
Males,Hunter New England,2015/2016,158.5
Males,Hunter New England,2016/2017,174.9
Males,Hunter New England,2017/2018,163.6
Males,Hunter New England,2018/2019,169.8
Males,Hunter New England,2019/2020,154.7
Males,Hunter New England,2020/2021,115.6
Males,Hunter New England,2021/2022,96.3
Males,Northern NSW,2001/2002,226.6
Males,Northern NSW,2002/2003,180.3
Males,Northern NSW,2003/2004,169.6
Males,Northern NSW,2004/2005,204.7
Males,Northern NSW,2005/2006,183.8
Males,Northern NSW,2006/2007,180.7
Males,Northern NSW,2007/2008,201.8
Males,Northern NSW,2008/2009,212.4
Males,Northern NSW,2009/2010,181.8
Males,Northern NSW,2010/2011,158.1
Males,Northern NSW,2011/2012,148.0
Males,Northern NSW,2012/2013,168.6
Males,Northern NSW,2013/2014,165.9
Males,Northern NSW,2014/2015,153.1
Males,Northern NSW,2015/2016,164.1
Males,Northern NSW,2016/2017,140.5
Males,Northern NSW,2017/2018,146.8
Males,Northern NSW,2018/2019,111.7
Males,Northern NSW,2019/2020,96.1
Males,Northern NSW,2020/2021,84.1
Males,Northern NSW,2021/2022,59.9
Males,Mid North Coast,2001/2002,199.1
Males,Mid North Coast,2002/2003,179.0
Males,Mid North Coast,2003/2004,144.1
Males,Mid North Coast,2004/2005,163.4
Males,Mid North Coast,2005/2006,123.2
Males,Mid North Coast,2006/2007,168.5
Males,Mid North Coast,2007/2008,142.3
Males,Mid North Coast,2008/2009,129.6
Males,Mid North Coast,2009/2010,145.5
Males,Mid North Coast,2010/2011,144.4
Males,Mid North Coast,2011/2012,122.2
Males,Mid North Coast,2012/2013,155.3
Males,Mid North Coast,2013/2014,135.7
Males,Mid North Coast,2014/2015,167.6
Males,Mid North Coast,2015/2016,145.2
Males,Mid North Coast,2016/2017,167.8
Males,Mid North Coast,2017/2018,169.5
Males,Mid North Coast,2018/2019,139.0
Males,Mid North Coast,2019/2020,124.2
Males,Mid North Coast,2020/2021,86.2
Males,Mid North Coast,2021/2022,88.2
Males,Southern NSW,2001/2002,160.5
Males,Southern NSW,2002/2003,125.3
Males,Southern NSW,2003/2004,120.7
Males,Southern NSW,2004/2005,110.8
Males,Southern NSW,2005/2006,108.8
Males,Southern NSW,2006/2007,119.6
Males,Southern NSW,2007/2008,106.0
Males,Southern NSW,2008/2009,119.3
Males,Southern NSW,2009/2010,140.9
Males,Southern NSW,2010/2011,145.7
Males,Southern NSW,2011/2012,151.0
Males,Southern NSW,2012/2013,153.5
Males,Southern NSW,2013/2014,125.8
Males,Southern NSW,2014/2015,111.4
Males,Southern NSW,2015/2016,104.9
Males,Southern NSW,2016/2017,129.1
Males,Southern NSW,2017/2018,133.9
Males,Southern NSW,2018/2019,160.1
Males,Southern NSW,2019/2020,93.5
Males,Southern NSW,2020/2021,73.2
Males,Southern NSW,2021/2022,47.6
Males,Murrumbidgee,2001/2002,228.8
Males,Murrumbidgee,2002/2003,187.4
Males,Murrumbidgee,2003/2004,199.2
Males,Murrumbidgee,2004/2005,219.0
Males,Murrumbidgee,2005/2006,247.2
Males,Murrumbidgee,2006/2007,185.1
Males,Murrumbidgee,2007/2008,195.3
Males,Murrumbidgee,2008/2009,210.7
Males,Murrumbidgee,2009/2010,189.4
Males,Murrumbidgee,2010/2011,216.4
Males,Murrumbidgee,2011/2012,238.7
Males,Murrumbidgee,2012/2013,214.8
Males,Murrumbidgee,2013/2014,218.7
Males,Murrumbidgee,2014/2015,189.1
Males,Murrumbidgee,2015/2016,177.4
Males,Murrumbidgee,2016/2017,198.5
Males,Murrumbidgee,2017/2018,163.7
Males,Murrumbidgee,2018/2019,155.8
Males,Murrumbidgee,2019/2020,110.5
Males,Murrumbidgee,2020/2021,93.6
Males,Murrumbidgee,2021/2022,103.4
Males,Western NSW,2001/2002,260.5
Males,Western NSW,2002/2003,228.8
Males,Western NSW,2003/2004,229.8
Males,Western NSW,2004/2005,204.4
Males,Western NSW,2005/2006,229.2
Males,Western NSW,2006/2007,164.9
Males,Western NSW,2007/2008,186.7
Males,Western NSW,2008/2009,178.6
Males,Western NSW,2009/2010,159.4
Males,Western NSW,2010/2011,160.8
Males,Western NSW,2011/2012,146.5
Males,Western NSW,2012/2013,137.2
Males,Western NSW,2013/2014,97.3
Males,Western NSW,2014/2015,116.5
Males,Western NSW,2015/2016,121.7
Males,Western NSW,2016/2017,137.6
Males,Western NSW,2017/2018,116.2
Males,Western NSW,2018/2019,105.5
Males,Western NSW,2019/2020,101.6
Males,Western NSW,2020/2021,95.3
Males,Western NSW,2021/2022,82.3
Males,Far West,2001/2002,321.1
Males,Far West,2002/2003,188.7
Males,Far West,2003/2004,221.4
Males,Far West,2004/2005,125.9
Males,Far West,2005/2006,206.1
Males,Far West,2006/2007,248.7
Males,Far West,2007/2008,184.4
Males,Far West,2008/2009,186.3
Males,Far West,2009/2010,234.8
