financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population"
2001/2002,Central Coast,235.4,348.2
2001/2002,Far West,241.6,362.2
2001/2002,Hunter New England,210.8,319.9
2001/2002,Illawarra Shoalhaven,190.9,301.5
2001/2002,Mid North Coast,268.1,351.3
2001/2002,Murrumbidgee,335.6,634.5
2001/2002,Nepean Blue Mountains,196.5,379.6
2001/2002,Northern NSW,180.0,277.8
2001/2002,Northern Sydney,127.8,160.9
2001/2002,South Eastern Sydney,151.6,255.2
2001/2002,South Western Sydney,222.3,370.2
2001/2002,Southern NSW,237.0,356.9
2001/2002,Sydney,161.0,313.6
2001/2002,Western NSW,396.6,580.2
2001/2002,Western Sydney,199.8,308.5
2002/2003,Central Coast,228.1,334.0
2002/2003,Far West,421.1,550.0
2002/2003,Hunter New England,212.2,323.3
2002/2003,Illawarra Shoalhaven,203.6,291.2
2002/2003,Mid North Coast,230.2,351.9
2002/2003,Murrumbidgee,396.5,696.5
2002/2003,Nepean Blue Mountains,237.8,347.6
2002/2003,Northern NSW,195.0,311.0
2002/2003,Northern Sydney,112.8,129.2
2002/2003,South Eastern Sydney,138.2,271.2
2002/2003,South Western Sydney,221.0,347.9
2002/2003,Southern NSW,227.6,357.4
2002/2003,Sydney,150.9,282.3
2002/2003,Western NSW,375.7,592.7
2002/2003,Western Sydney,188.3,313.7
2003/2004,Central Coast,219.0,377.1
2003/2004,Far West,275.5,600.9
2003/2004,Hunter New England,207.4,312.4
2003/2004,Illawarra Shoalhaven,220.2,325.9
2003/2004,Mid North Coast,244.9,394.6
2003/2004,Murrumbidgee,428.8,726.4
2003/2004,Nepean Blue Mountains,222.7,307.2
2003/2004,Northern NSW,241.3,279.4
2003/2004,Northern Sydney,106.9,134.4
2003/2004,South Eastern Sydney,147.3,231.4
2003/2004,South Western Sydney,230.6,315.1
2003/2004,Southern NSW,206.3,337.1
2003/2004,Sydney,176.0,298.8
2003/2004,Western NSW,422.3,563.3
2003/2004,Western Sydney,192.6,296.2
2004/2005,Central Coast,251.2,390.6
2004/2005,Far West,258.2,480.7
2004/2005,Hunter New England,199.7,283.1
2004/2005,Illawarra Shoalhaven,203.5,287.4
2004/2005,Mid North Coast,206.8,366.0
2004/2005,Murrumbidgee,423.9,677.0
2004/2005,Nepean Blue Mountains,239.6,290.6
2004/2005,Northern NSW,210.0,256.0
2004/2005,Northern Sydney,104.7,142.2
2004/2005,South Eastern Sydney,136.4,229.2
2004/2005,South Western Sydney,216.5,318.8
2004/2005,Southern NSW,249.5,342.5
2004/2005,Sydney,150.3,326.7
2004/2005,Western NSW,359.2,574.6
2004/2005,Western Sydney,173.3,296.5
2005/2006,Central Coast,237.8,368.5
2005/2006,Far West,325.1,578.4
2005/2006,Hunter New England,188.4,311.4
2005/2006,Illawarra Shoalhaven,202.8,226.4
2005/2006,Mid North Coast,202.0,340.3
2005/2006,Murrumbidgee,408.8,567.4
2005/2006,Nepean Blue Mountains,222.2,315.5
2005/2006,Northern NSW,237.5,275.5
2005/2006,Northern Sydney,96.1,127.8
2005/2006,South Eastern Sydney,126.7,192.6
2005/2006,South Western Sydney,202.9,298.0
2005/2006,Southern NSW,246.6,286.6
2005/2006,Sydney,137.7,283.7
2005/2006,Western NSW,357.7,551.9
2005/2006,Western Sydney,171.6,294.8
2006/2007,Central Coast,254.3,362.3
2006/2007,Far West,311.2,519.4
2006/2007,Hunter New England,193.0,290.8
2006/2007,Illawarra Shoalhaven,199.4,250.5
2006/2007,Mid North Coast,169.9,292.5
2006/2007,Murrumbidgee,343.1,466.1
2006/2007,Nepean Blue Mountains,267.4,358.9
2006/2007,Northern NSW,190.6,248.4
2006/2007,Northern Sydney,91.7,117.1
2006/2007,South Eastern Sydney,115.3,203.0
2006/2007,South Western Sydney,203.5,303.9
2006/2007,Southern NSW,190.2,260.6
2006/2007,Sydney,148.3,275.6
2006/2007,Western NSW,329.1,444.5
2006/2007,Western Sydney,182.9,289.1
2007/2008,Central Coast,274.0,360.6
2007/2008,Far West,302.8,389.2
2007/2008,Hunter New England,226.4,318.8
2007/2008,Illawarra Shoalhaven,194.9,251.1
2007/2008,Mid North Coast,237.9,287.0
2007/2008,Murrumbidgee,361.8,537.2
2007/2008,Nepean Blue Mountains,227.9,351.1
2007/2008,Northern NSW,212.6,288.3
2007/2008,Northern Sydney,111.5,142.4
2007/2008,South Eastern Sydney,130.0,220.0
2007/2008,South Western Sydney,243.3,295.3
2007/2008,Southern NSW,216.1,266.5
2007/2008,Sydney,163.6,283.1
2007/2008,Western NSW,359.1,478.9
2007/2008,Western Sydney,168.7,283.9
2008/2009,Central Coast,275.5,340.9
2008/2009,Far West,348.4,453.8
2008/2009,Hunter New England,212.0,303.9
2008/2009,Illawarra Shoalhaven,198.6,275.6
2008/2009,Mid North Coast,266.2,318.7
2008/2009,Murrumbidgee,400.7,446.9
2008/2009,Nepean Blue Mountains,243.7,288.9
2008/2009,Northern NSW,245.7,334.0
2008/2009,Northern Sydney,104.3,127.0
2008/2009,South Eastern Sydney,131.2,202.4
2008/2009,South Western Sydney,238.7,300.1
2008/2009,Southern NSW,264.9,246.3
2008/2009,Sydney,171.8,340.0
2008/2009,Western NSW,320.0,544.7
2008/2009,Western Sydney,203.3,277.2
2009/2010,Central Coast,263.1,313.1
2009/2010,Far West,300.5,435.5
2009/2010,Hunter New England,234.3,291.8
2009/2010,Illawarra Shoalhaven,234.9,284.0
2009/2010,Mid North Coast,241.8,327.4
2009/2010,Murrumbidgee,371.9,435.1
2009/2010,Nepean Blue Mountains,222.3,280.6
2009/2010,Northern NSW,233.8,278.4
2009/2010,Northern Sydney,106.4,127.5
2009/2010,South Eastern Sydney,110.5,172.8
2009/2010,South Western Sydney,219.0,276.6
2009/2010,Southern NSW,240.5,287.6
2009/2010,Sydney,168.3,250.0
2009/2010,Western NSW,354.3,483.9
2009/2010,Western Sydney,185.7,279.1
2010/2011,Central Coast,284.7,299.5
2010/2011,Far West,284.3,588.0
2010/2011,Hunter New England,232.5,308.6
2010/2011,Illawarra Shoalhaven,222.0,314.8
2010/2011,Mid North Coast,264.8,303.2
2010/2011,Murrumbidgee,362.1,454.3
2010/2011,Nepean Blue Mountains,244.9,285.0
2010/2011,Northern NSW,238.8,299.7
2010/2011,Northern Sydney,113.3,123.4
2010/2011,South Eastern Sydney,116.1,170.4
2010/2011,South Western Sydney,190.1,270.0
2010/2011,Southern NSW,234.9,307.8
2010/2011,Sydney,133.5,254.7
2010/2011,Western NSW,357.3,410.1
2010/2011,Western Sydney,198.4,259.2
2011/2012,Central Coast,292.8,356.0
2011/2012,Far West,376.8,614.3
2011/2012,Hunter New England,232.0,323.0
2011/2012,Illawarra Shoalhaven,229.9,302.3
2011/2012,Mid North Coast,267.9,335.0
2011/2012,Murrumbidgee,373.1,428.5
2011/2012,Nepean Blue Mountains,238.3,299.9
2011/2012,Northern NSW,231.4,299.1
2011/2012,Northern Sydney,116.7,133.2
2011/2012,South Eastern Sydney,134.3,171.8
2011/2012,South Western Sydney,233.4,282.8
2011/2012,Southern NSW,279.6,336.3
2011/2012,Sydney,150.3,270.0
2011/2012,Western NSW,328.8,409.7
2011/2012,Western Sydney,195.4,258.3
2012/2013,Central Coast,242.5,303.3
2012/2013,Far West,409.2,489.5
2012/2013,Hunter New England,248.6,291.6
2012/2013,Illawarra Shoalhaven,235.7,270.9
2012/2013,Mid North Coast,295.1,322.3
2012/2013,Murrumbidgee,370.7,405.5
