sex,lhd,financial year,"rate per 100,000 population"
Males,Sydney,2001/2002,313.6
Males,Sydney,2002/2003,282.3
Males,Sydney,2003/2004,298.8
Males,Sydney,2004/2005,326.7
Males,Sydney,2005/2006,283.7
Males,Sydney,2006/2007,275.6
Males,Sydney,2007/2008,283.1
Males,Sydney,2008/2009,340
Males,Sydney,2009/2010,250
Males,Sydney,2010/2011,254.7
Males,Sydney,2011/2012,270
Males,Sydney,2012/2013,263.6
Males,Sydney,2013/2014,279
Males,Sydney,2014/2015,238.9
Males,Sydney,2015/2016,241.5
Males,Sydney,2016/2017,246.9
Males,Sydney,2017/2018,236.8
Males,Sydney,2018/2019,240.1
Males,Sydney,2019/2020,204
Males,Sydney,2020/2021,140.6
Males,Sydney,2021/2022,102
Males,South Western Sydney,2001/2002,370.2
Males,South Western Sydney,2002/2003,347.9
Males,South Western Sydney,2003/2004,315.1
Males,South Western Sydney,2004/2005,318.8
Males,South Western Sydney,2005/2006,298
Males,South Western Sydney,2006/2007,303.9
Males,South Western Sydney,2007/2008,295.3
Males,South Western Sydney,2008/2009,300.1
Males,South Western Sydney,2009/2010,276.6
Males,South Western Sydney,2010/2011,270
Males,South Western Sydney,2011/2012,282.8
Males,South Western Sydney,2012/2013,288.8
Males,South Western Sydney,2013/2014,268.4
Males,South Western Sydney,2014/2015,256.2
Males,South Western Sydney,2015/2016,265.2
Males,South Western Sydney,2016/2017,275.6
Males,South Western Sydney,2017/2018,244.7
Males,South Western Sydney,2018/2019,257.5
Males,South Western Sydney,2019/2020,212.6
Males,South Western Sydney,2020/2021,151.1
Males,South Western Sydney,2021/2022,127
Males,South Eastern Sydney,2001/2002,255.2
Males,South Eastern Sydney,2002/2003,271.2
Males,South Eastern Sydney,2003/2004,231.4
Males,South Eastern Sydney,2004/2005,229.2
Males,South Eastern Sydney,2005/2006,192.6
Males,South Eastern Sydney,2006/2007,203
Males,South Eastern Sydney,2007/2008,220
Males,South Eastern Sydney,2008/2009,202.4
Males,South Eastern Sydney,2009/2010,172.8
Males,South Eastern Sydney,2010/2011,170.4
Males,South Eastern Sydney,2011/2012,171.8
Males,South Eastern Sydney,2012/2013,164.7
Males,South Eastern Sydney,2013/2014,167.4
Males,South Eastern Sydney,2014/2015,154.2
Males,South Eastern Sydney,2015/2016,150.1
Males,South Eastern Sydney,2016/2017,161.8
Males,South Eastern Sydney,2017/2018,142
Males,South Eastern Sydney,2018/2019,140.7
Males,South Eastern Sydney,2019/2020,136.5
Males,South Eastern Sydney,2020/2021,91.8
Males,South Eastern Sydney,2021/2022,75.6
Males,Illawarra Shoalhaven,2001/2002,301.5
Males,Illawarra Shoalhaven,2002/2003,291.2
Males,Illawarra Shoalhaven,2003/2004,325.9
Males,Illawarra Shoalhaven,2004/2005,287.4
Males,Illawarra Shoalhaven,2005/2006,226.4
Males,Illawarra Shoalhaven,2006/2007,250.5
Males,Illawarra Shoalhaven,2007/2008,251.1
Males,Illawarra Shoalhaven,2008/2009,275.6
Males,Illawarra Shoalhaven,2009/2010,284
Males,Illawarra Shoalhaven,2010/2011,314.8
Males,Illawarra Shoalhaven,2011/2012,302.3
Males,Illawarra Shoalhaven,2012/2013,270.9
Males,Illawarra Shoalhaven,2013/2014,321.7
Males,Illawarra Shoalhaven,2014/2015,270.3
Males,Illawarra Shoalhaven,2015/2016,245.4
Males,Illawarra Shoalhaven,2016/2017,256
Males,Illawarra Shoalhaven,2017/2018,262.4
Males,Illawarra Shoalhaven,2018/2019,239
Males,Illawarra Shoalhaven,2019/2020,225.6
Males,Illawarra Shoalhaven,2020/2021,155.4
Males,Illawarra Shoalhaven,2021/2022,146.3
Males,Western Sydney,2001/2002,308.5
Males,Western Sydney,2002/2003,313.7
Males,Western Sydney,2003/2004,296.2
Males,Western Sydney,2004/2005,296.5
Males,Western Sydney,2005/2006,294.8
Males,Western Sydney,2006/2007,289.1
Males,Western Sydney,2007/2008,283.9
Males,Western Sydney,2008/2009,277.2
Males,Western Sydney,2009/2010,279.1
Males,Western Sydney,2010/2011,259.2
Males,Western Sydney,2011/2012,258.3
Males,Western Sydney,2012/2013,278.5
Males,Western Sydney,2013/2014,268.9
Males,Western Sydney,2014/2015,288.3
Males,Western Sydney,2015/2016,260.3
Males,Western Sydney,2016/2017,269.6
Males,Western Sydney,2017/2018,222.9
Males,Western Sydney,2018/2019,249.2
Males,Western Sydney,2019/2020,204.9
Males,Western Sydney,2020/2021,161.5
Males,Western Sydney,2021/2022,127.3
Males,Nepean Blue Mountains,2001/2002,379.6
Males,Nepean Blue Mountains,2002/2003,347.6
Males,Nepean Blue Mountains,2003/2004,307.2
Males,Nepean Blue Mountains,2004/2005,290.6
Males,Nepean Blue Mountains,2005/2006,315.5
Males,Nepean Blue Mountains,2006/2007,358.9
Males,Nepean Blue Mountains,2007/2008,351.1
Males,Nepean Blue Mountains,2008/2009,288.9
Males,Nepean Blue Mountains,2009/2010,280.6
Males,Nepean Blue Mountains,2010/2011,285
Males,Nepean Blue Mountains,2011/2012,299.9
Males,Nepean Blue Mountains,2012/2013,275.9
Males,Nepean Blue Mountains,2013/2014,296.9
Males,Nepean Blue Mountains,2014/2015,289.6
Males,Nepean Blue Mountains,2015/2016,285.6
Males,Nepean Blue Mountains,2016/2017,301.6
Males,Nepean Blue Mountains,2017/2018,271.9
Males,Nepean Blue Mountains,2018/2019,224.9
Males,Nepean Blue Mountains,2019/2020,207.6
Males,Nepean Blue Mountains,2020/2021,132.4
Males,Nepean Blue Mountains,2021/2022,160.6
Males,Northern Sydney,2001/2002,160.9
Males,Northern Sydney,2002/2003,129.2
Males,Northern Sydney,2003/2004,134.4
Males,Northern Sydney,2004/2005,142.2
Males,Northern Sydney,2005/2006,127.8
Males,Northern Sydney,2006/2007,117.1
Males,Northern Sydney,2007/2008,142.4
Males,Northern Sydney,2008/2009,127
Males,Northern Sydney,2009/2010,127.5
Males,Northern Sydney,2010/2011,123.4
Males,Northern Sydney,2011/2012,133.2
Males,Northern Sydney,2012/2013,123.1
Males,Northern Sydney,2013/2014,127
Males,Northern Sydney,2014/2015,128
Males,Northern Sydney,2015/2016,138.7
Males,Northern Sydney,2016/2017,112.2
Males,Northern Sydney,2017/2018,115.4
Males,Northern Sydney,2018/2019,115.8
Males,Northern Sydney,2019/2020,95.9
Males,Northern Sydney,2020/2021,66.3
Males,Northern Sydney,2021/2022,65.5
Males,Central Coast,2001/2002,348.2
Males,Central Coast,2002/2003,334
Males,Central Coast,2003/2004,377.1
Males,Central Coast,2004/2005,390.6
Males,Central Coast,2005/2006,368.5
Males,Central Coast,2006/2007,362.3
Males,Central Coast,2007/2008,360.6
Males,Central Coast,2008/2009,340.9
Males,Central Coast,2009/2010,313.1
Males,Central Coast,2010/2011,299.5
Males,Central Coast,2011/2012,356
Males,Central Coast,2012/2013,303.3
Males,Central Coast,2013/2014,264.3
Males,Central Coast,2014/2015,315.9
Males,Central Coast,2015/2016,288.7
Males,Central Coast,2016/2017,303.7
Males,Central Coast,2017/2018,327.5
Males,Central Coast,2018/2019,286.2
Males,Central Coast,2019/2020,249.5
Males,Central Coast,2020/2021,200.6
Males,Central Coast,2021/2022,171.3
Males,Hunter New England,2001/2002,319.9
Males,Hunter New England,2002/2003,323.3
Males,Hunter New England,2003/2004,312.4
Males,Hunter New England,2004/2005,283.1
Males,Hunter New England,2005/2006,311.4
Males,Hunter New England,2006/2007,290.8
Males,Hunter New England,2007/2008,318.8
Males,Hunter New England,2008/2009,303.9
Males,Hunter New England,2009/2010,291.8
Males,Hunter New England,2010/2011,308.6
Males,Hunter New England,2011/2012,323
Males,Hunter New England,2012/2013,291.6
Males,Hunter New England,2013/2014,277.4
Males,Hunter New England,2014/2015,279.4
Males,Hunter New England,2015/2016,293.3
Males,Hunter New England,2016/2017,316.8
Males,Hunter New England,2017/2018,284.2
Males,Hunter New England,2018/2019,258.6
Males,Hunter New England,2019/2020,244.2
Males,Hunter New England,2020/2021,179.3
Males,Hunter New England,2021/2022,172.1
Males,Northern NSW,2001/2002,277.8
Males,Northern NSW,2002/2003,311
Males,Northern NSW,2003/2004,279.4
Males,Northern NSW,2004/2005,256
Males,Northern NSW,2005/2006,275.5
Males,Northern NSW,2006/2007,248.4
Males,Northern NSW,2007/2008,288.3
Males,Northern NSW,2008/2009,334
Males,Northern NSW,2009/2010,278.4
Males,Northern NSW,2010/2011,299.7
Males,Northern NSW,2011/2012,299.1
Males,Northern NSW,2012/2013,308.4
Males,Northern NSW,2013/2014,289.4
Males,Northern NSW,2014/2015,308.5
Males,Northern NSW,2015/2016,285.6
Males,Northern NSW,2016/2017,293.6
Males,Northern NSW,2017/2018,256.1
Males,Northern NSW,2018/2019,277.1
