Risk group,Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
35-64 years,Males,Sydney LHD,01/02,119.6,98.1,144.3
35-64 years,Males,Sydney LHD,02/03,126.9,104.7,152.2
35-64 years,Males,Sydney LHD,03/04,127.4,105.3,152.6
35-64 years,Males,Sydney LHD,04/05,151.4,127.5,178.4
35-64 years,Males,Sydney LHD,05/06,125.1,103.9,149.4
35-64 years,Males,Sydney LHD,06/07,107.7,88.4,129.9
35-64 years,Males,Sydney LHD,07/08,109.3,90,131.4
35-64 years,Males,Sydney LHD,08/09,138.1,116.6,162.5
35-64 years,Males,Sydney LHD,09/10,119.1,99.4,141.5
35-64 years,Males,Sydney LHD,10/11,115,95.8,137
35-64 years,Males,Sydney LHD,11/12,124.6,104.6,147.2
35-64 years,Males,Sydney LHD,12/13,116,96.9,137.7
35-64 years,Males,Sydney LHD,13/14,118.8,99.6,140.5
35-64 years,Males,Sydney LHD,14/15,109.8,91.6,130.5
35-64 years,Males,Sydney LHD,15/16,134.9,114.8,157.6
35-64 years,Males,Sydney LHD,16/17,120.2,101.5,141.3
35-64 years,Males,Sydney LHD,17/18,124.7,105.9,145.9
35-64 years,Males,Sydney LHD,18/19,120.9,102.5,141.7
35-64 years,Males,Sydney LHD,19/20,92.7,76.9,110.7
35-64 years,Males,Sydney LHD,20/21,86,70.8,103.5
35-64 years,Males,Sydney LHD,21/22,44.2,33.7,57
35-64 years,Males,South Western Sydney LHD,01/02,172.3,151.2,195.4
35-64 years,Males,South Western Sydney LHD,02/03,130.3,112.3,150.3
35-64 years,Males,South Western Sydney LHD,03/04,130.3,112.5,150.1
35-64 years,Males,South Western Sydney LHD,04/05,140.4,122,160.7
35-64 years,Males,South Western Sydney LHD,05/06,141.8,123.5,162
35-64 years,Males,South Western Sydney LHD,06/07,119.8,103.5,138
35-64 years,Males,South Western Sydney LHD,07/08,116,100.2,133.7
35-64 years,Males,South Western Sydney LHD,08/09,112.6,97.3,129.7
35-64 years,Males,South Western Sydney LHD,09/10,87.8,74.5,102.8
35-64 years,Males,South Western Sydney LHD,10/11,91.6,78.2,106.6
35-64 years,Males,South Western Sydney LHD,11/12,111.9,97.2,128.3
35-64 years,Males,South Western Sydney LHD,12/13,112.4,97.7,128.8
35-64 years,Males,South Western Sydney LHD,13/14,106.1,92,121.8
35-64 years,Males,South Western Sydney LHD,14/15,98.4,84.8,113.5
35-64 years,Males,South Western Sydney LHD,15/16,99.5,85.8,114.7
35-64 years,Males,South Western Sydney LHD,16/17,82.8,70.7,96.4
35-64 years,Males,South Western Sydney LHD,17/18,90.7,78.2,104.7
35-64 years,Males,South Western Sydney LHD,18/19,108.6,95,123.5
35-64 years,Males,South Western Sydney LHD,19/20,80.4,69,93.3
35-64 years,Males,South Western Sydney LHD,20/21,57.8,48.2,68.8
35-64 years,Males,South Western Sydney LHD,21/22,56.5,47,67.4
35-64 years,Males,South Eastern Sydney LHD,01/02,105.8,89.9,123.8
35-64 years,Males,South Eastern Sydney LHD,02/03,87.4,73.1,103.7
35-64 years,Males,South Eastern Sydney LHD,03/04,74.4,61.3,89.4
35-64 years,Males,South Eastern Sydney LHD,04/05,102.6,87.3,119.8
35-64 years,Males,South Eastern Sydney LHD,05/06,100.2,85.2,117
35-64 years,Males,South Eastern Sydney LHD,06/07,75.3,62.6,89.9
35-64 years,Males,South Eastern Sydney LHD,07/08,83.9,70.5,99.1
35-64 years,Males,South Eastern Sydney LHD,08/09,73.7,61.3,87.9
35-64 years,Males,South Eastern Sydney LHD,09/10,65.6,54.1,78.8
35-64 years,Males,South Eastern Sydney LHD,10/11,69.6,57.6,83.3
35-64 years,Males,South Eastern Sydney LHD,11/12,81.4,68.4,96.1
35-64 years,Males,South Eastern Sydney LHD,12/13,69.4,57.5,83
35-64 years,Males,South Eastern Sydney LHD,13/14,56.4,45.9,68.6
35-64 years,Males,South Eastern Sydney LHD,14/15,59.6,48.9,72
35-64 years,Males,South Eastern Sydney LHD,15/16,54.3,44.1,66.2
35-64 years,Males,South Eastern Sydney LHD,16/17,59.6,49,71.8
35-64 years,Males,South Eastern Sydney LHD,17/18,64.1,53.2,76.6
35-64 years,Males,South Eastern Sydney LHD,18/19,61.6,50.8,74.2
35-64 years,Males,South Eastern Sydney LHD,19/20,51.9,42.2,63.3
35-64 years,Males,South Eastern Sydney LHD,20/21,47.6,38.1,58.7
35-64 years,Males,South Eastern Sydney LHD,21/22,43.8,34.8,54.4
35-64 years,Males,Illawarra Shoalhaven LHD,01/02,139.1,113.6,168.8
35-64 years,Males,Illawarra Shoalhaven LHD,02/03,133.6,108.9,162.4
35-64 years,Males,Illawarra Shoalhaven LHD,03/04,143,117.5,172.4
35-64 years,Males,Illawarra Shoalhaven LHD,04/05,106.3,84.7,131.8
35-64 years,Males,Illawarra Shoalhaven LHD,05/06,85.2,66.1,108.4
35-64 years,Males,Illawarra Shoalhaven LHD,06/07,134.5,110.2,162.7
35-64 years,Males,Illawarra Shoalhaven LHD,07/08,112.1,90.4,137.5
35-64 years,Males,Illawarra Shoalhaven LHD,08/09,113.6,91.5,139.6
35-64 years,Males,Illawarra Shoalhaven LHD,09/10,119.8,98,145.4
35-64 years,Males,Illawarra Shoalhaven LHD,10/11,152.5,127.7,180.9
35-64 years,Males,Illawarra Shoalhaven LHD,11/12,140.7,116.6,168.4
35-64 years,Males,Illawarra Shoalhaven LHD,12/13,117.8,95.8,143.5
35-64 years,Males,Illawarra Shoalhaven LHD,13/14,145.5,121.3,173.4
35-64 years,Males,Illawarra Shoalhaven LHD,14/15,121.7,100.4,146.7
35-64 years,Males,Illawarra Shoalhaven LHD,15/16,117.9,96.9,142.4
35-64 years,Males,Illawarra Shoalhaven LHD,16/17,106.9,86.6,131
35-64 years,Males,Illawarra Shoalhaven LHD,17/18,158.9,133.5,188
35-64 years,Males,Illawarra Shoalhaven LHD,18/19,146.4,122.1,174.4
35-64 years,Males,Illawarra Shoalhaven LHD,19/20,132.4,109,159.4
35-64 years,Males,Illawarra Shoalhaven LHD,20/21,107.2,86.8,131.2
35-64 years,Males,Illawarra Shoalhaven LHD,21/22,67.2,51.7,86.2
35-64 years,Males,Western Sydney LHD,01/02,144.6,124.7,166.9
35-64 years,Males,Western Sydney LHD,02/03,128.1,109.7,148.7
35-64 years,Males,Western Sydney LHD,03/04,119.3,101.7,139.1
35-64 years,Males,Western Sydney LHD,04/05,84.6,70,101.4
35-64 years,Males,Western Sydney LHD,05/06,103,87.1,121
35-64 years,Males,Western Sydney LHD,06/07,114.8,98.2,133.3
35-64 years,Males,Western Sydney LHD,07/08,115.2,98.9,133.4
35-64 years,Males,Western Sydney LHD,08/09,119.8,103.3,138.1
35-64 years,Males,Western Sydney LHD,09/10,91.7,77.4,107.7
35-64 years,Males,Western Sydney LHD,10/11,78.7,65.7,93.5
35-64 years,Males,Western Sydney LHD,11/12,98.5,84,114.7
35-64 years,Males,Western Sydney LHD,12/13,95.4,81.4,111.2
35-64 years,Males,Western Sydney LHD,13/14,101.8,87.4,117.9
35-64 years,Males,Western Sydney LHD,14/15,97.7,83.6,113.4
35-64 years,Males,Western Sydney LHD,15/16,101.9,87.6,117.8
35-64 years,Males,Western Sydney LHD,16/17,117.3,102.1,134.1
35-64 years,Males,Western Sydney LHD,17/18,94.8,81.3,110
35-64 years,Males,Western Sydney LHD,18/19,120.3,105.1,137
35-64 years,Males,Western Sydney LHD,19/20,106.4,92.3,122.2
35-64 years,Males,Western Sydney LHD,20/21,81.9,69.6,95.6
35-64 years,Males,Western Sydney LHD,21/22,59.9,49.6,71.8
35-64 years,Males,Nepean Blue Mountains LHD,01/02,151.6,121.6,186.6
35-64 years,Males,Nepean Blue Mountains LHD,02/03,151.3,121.8,185.5
35-64 years,Males,Nepean Blue Mountains LHD,03/04,93.9,71.6,121
35-64 years,Males,Nepean Blue Mountains LHD,04/05,119.1,93.9,148.9
35-64 years,Males,Nepean Blue Mountains LHD,05/06,102.3,79.8,129.3
35-64 years,Males,Nepean Blue Mountains LHD,06/07,146.6,119.7,177.8
35-64 years,Males,Nepean Blue Mountains LHD,07/08,153.3,126.3,184.6
35-64 years,Males,Nepean Blue Mountains LHD,08/09,127,103.1,155
35-64 years,Males,Nepean Blue Mountains LHD,09/10,103.8,82.4,129.3
35-64 years,Males,Nepean Blue Mountains LHD,10/11,88.5,69.3,111.6
35-64 years,Males,Nepean Blue Mountains LHD,11/12,125.4,102.5,152.3
35-64 years,Males,Nepean Blue Mountains LHD,12/13,103.9,83.2,128.6
35-64 years,Males,Nepean Blue Mountains LHD,13/14,135.5,111.3,163.5
35-64 years,Males,Nepean Blue Mountains LHD,14/15,123.2,100.5,149.8
35-64 years,Males,Nepean Blue Mountains LHD,15/16,145.8,120.9,174.4
