financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population"
2011/2012,Central Coast,7.6,10.2
2011/2012,Hunter New England,7.8,11.3
2011/2012,Illawarra Shoalhaven,8.6,7.9
2011/2012,Mid North Coast,10.6,9.8
2011/2012,Murrumbidgee,9.3,10.6
2011/2012,Nepean Blue Mountains,10.9,11.8
2011/2012,Northern NSW,5.8,8.9
2011/2012,Northern Sydney,9.5,8.8
2011/2012,South Eastern Sydney,6.0,8.0
2011/2012,South Western Sydney,4.2,7.1
2011/2012,Southern NSW,8.7,15.9
2011/2012,Sydney,7.2,9.2
2011/2012,Western NSW,9.4,7.7
2011/2012,Western Sydney,8.3,11.9
2012/2013,Central Coast,6.3,8.7
2012/2013,Hunter New England,8.5,10.7
2012/2013,Illawarra Shoalhaven,7.8,7.5
2012/2013,Mid North Coast,10.5,10.8
2012/2013,Murrumbidgee,9.2,8.0
2012/2013,Nepean Blue Mountains,10.8,12.2
2012/2013,Northern NSW,5.0,9.7
2012/2013,Northern Sydney,8.1,8.6
2012/2013,South Eastern Sydney,5.9,7.2
2012/2013,South Western Sydney,4.7,8.0
2012/2013,Southern NSW,8.7,14.2
2012/2013,Sydney,6.8,8.7
2012/2013,Western NSW,7.7,7.9
2012/2013,Western Sydney,8.2,8.7
2013/2014,Central Coast,6.4,9.4
2013/2014,Hunter New England,8.8,11.1
2013/2014,Illawarra Shoalhaven,7.6,7.9
2013/2014,Mid North Coast,6.8,12.8
2013/2014,Murrumbidgee,8.8,6.9
2013/2014,Nepean Blue Mountains,9.6,10.2
2013/2014,Northern NSW,7.4,8.8
2013/2014,Northern Sydney,7.2,9.0
2013/2014,South Eastern Sydney,6.4,8.0
2013/2014,South Western Sydney,5.7,7.7
2013/2014,Southern NSW,9.9,12.7
2013/2014,Sydney,5.2,9.0
2013/2014,Western NSW,5.8,11.6
2013/2014,Western Sydney,9.4,8.0
2014/2015,Central Coast,9.4,11.5
2014/2015,Hunter New England,8.3,11.3
2014/2015,Illawarra Shoalhaven,8.2,7.3
2014/2015,Mid North Coast,8.5,12.3
2014/2015,Murrumbidgee,8.6,10.1
2014/2015,Nepean Blue Mountains,9.7,11.6
2014/2015,Northern NSW,8.2,9.4
2014/2015,Northern Sydney,8.7,9.2
2014/2015,South Eastern Sydney,7.0,8.5
2014/2015,South Western Sydney,6.3,7.5
2014/2015,Southern NSW,8.8,13.0
2014/2015,Sydney,7.2,7.9
2014/2015,Western NSW,8.7,9.3
2014/2015,Western Sydney,8.3,9.0
2015/2016,Central Coast,9.9,10.2
2015/2016,Hunter New England,8.3,8.6
2015/2016,Illawarra Shoalhaven,7.5,9.0
2015/2016,Mid North Coast,6.7,11.5
2015/2016,Murrumbidgee,7.4,13.4
2015/2016,Nepean Blue Mountains,13.2,14.0
2015/2016,Northern NSW,7.7,10.0
2015/2016,Northern Sydney,9.6,8.4
2015/2016,South Eastern Sydney,5.9,8.5
2015/2016,South Western Sydney,8.0,8.2
2015/2016,Southern NSW,8.6,9.7
2015/2016,Sydney,8.3,8.4
2015/2016,Western NSW,12.2,9.8
2015/2016,Western Sydney,8.0,8.9
2016/2017,Central Coast,11.1,11.4
2016/2017,Hunter New England,11.8,12.5
2016/2017,Illawarra Shoalhaven,9.4,12.5
2016/2017,Mid North Coast,6.7,9.2
2016/2017,Murrumbidgee,7.9,16.7
2016/2017,Nepean Blue Mountains,14.9,12.4
2016/2017,Northern NSW,8.7,11.0
2016/2017,Northern Sydney,11.9,10.5
2016/2017,South Eastern Sydney,8.0,9.8
2016/2017,South Western Sydney,8.9,9.6
2016/2017,Southern NSW,13.3,15.0
2016/2017,Sydney,9.8,13.3
2016/2017,Western NSW,14.8,15.5
2016/2017,Western Sydney,10.4,10.6
2017/2018,Central Coast,9.7,13.3
2017/2018,Hunter New England,11.4,14.3
2017/2018,Illawarra Shoalhaven,9.1,12.9
2017/2018,Mid North Coast,8.7,8.8
2017/2018,Murrumbidgee,8.7,11.8
2017/2018,Nepean Blue Mountains,11.4,12.9
2017/2018,Northern NSW,8.2,10.1
2017/2018,Northern Sydney,11.1,11.5
2017/2018,South Eastern Sydney,8.2,9.5
2017/2018,South Western Sydney,8.6,9.6
2017/2018,Southern NSW,11.3,16.2
