sex,lhd,financial year,"rate per 100,000 population"
Males,Sydney,2011/2012,9.2
Males,Sydney,2012/2013,8.7
Males,Sydney,2013/2014,9.0
Males,Sydney,2014/2015,7.9
Males,Sydney,2015/2016,8.4
Males,Sydney,2016/2017,13.3
Males,Sydney,2017/2018,13.9
Males,Sydney,2018/2019,12.1
Males,Sydney,2019/2020,9.8
Males,Sydney,2020/2021,6.0
Males,South Western Sydney,2011/2012,7.1
Males,South Western Sydney,2012/2013,8.0
Males,South Western Sydney,2013/2014,7.7
Males,South Western Sydney,2014/2015,7.5
Males,South Western Sydney,2015/2016,8.2
Males,South Western Sydney,2016/2017,9.6
Males,South Western Sydney,2017/2018,9.6
Males,South Western Sydney,2018/2019,9.9
Males,South Western Sydney,2019/2020,8.7
Males,South Western Sydney,2020/2021,6.3
Males,South Eastern Sydney,2011/2012,8.0
Males,South Eastern Sydney,2012/2013,7.2
Males,South Eastern Sydney,2013/2014,8.0
Males,South Eastern Sydney,2014/2015,8.5
Males,South Eastern Sydney,2015/2016,8.5
Males,South Eastern Sydney,2016/2017,9.8
Males,South Eastern Sydney,2017/2018,9.5
Males,South Eastern Sydney,2018/2019,8.4
Males,South Eastern Sydney,2019/2020,6.4
Males,South Eastern Sydney,2020/2021,5.2
Males,Illawarra Shoalhaven,2011/2012,7.9
Males,Illawarra Shoalhaven,2012/2013,7.5
Males,Illawarra Shoalhaven,2013/2014,7.9
Males,Illawarra Shoalhaven,2014/2015,7.3
Males,Illawarra Shoalhaven,2015/2016,9.0
Males,Illawarra Shoalhaven,2016/2017,12.5
Males,Illawarra Shoalhaven,2017/2018,12.9
Males,Illawarra Shoalhaven,2018/2019,10.4
Males,Illawarra Shoalhaven,2019/2020,7.7
Males,Illawarra Shoalhaven,2020/2021,6.5
Males,Western Sydney,2011/2012,11.9
Males,Western Sydney,2012/2013,8.7
Males,Western Sydney,2013/2014,8.0
Males,Western Sydney,2014/2015,9.0
Males,Western Sydney,2015/2016,8.9
Males,Western Sydney,2016/2017,10.6
Males,Western Sydney,2017/2018,9.3
Males,Western Sydney,2018/2019,9.5
Males,Western Sydney,2019/2020,9.2
Males,Western Sydney,2020/2021,5.7
Males,Nepean Blue Mountains,2011/2012,11.8
Males,Nepean Blue Mountains,2012/2013,12.2
Males,Nepean Blue Mountains,2013/2014,10.2
Males,Nepean Blue Mountains,2014/2015,11.6
Males,Nepean Blue Mountains,2015/2016,14.0
Males,Nepean Blue Mountains,2016/2017,12.4
Males,Nepean Blue Mountains,2017/2018,12.9
Males,Nepean Blue Mountains,2018/2019,13.0
Males,Nepean Blue Mountains,2019/2020,12.0
Males,Nepean Blue Mountains,2020/2021,9.0
Males,Northern Sydney,2011/2012,8.8
Males,Northern Sydney,2012/2013,8.6
Males,Northern Sydney,2013/2014,9.0
Males,Northern Sydney,2014/2015,9.2
Males,Northern Sydney,2015/2016,8.4
Males,Northern Sydney,2016/2017,10.5
Males,Northern Sydney,2017/2018,11.5
Males,Northern Sydney,2018/2019,9.5
Males,Northern Sydney,2019/2020,7.8
Males,Northern Sydney,2020/2021,6.3
Males,Central Coast,2011/2012,10.2
Males,Central Coast,2012/2013,8.7
Males,Central Coast,2013/2014,9.4
Males,Central Coast,2014/2015,11.5
Males,Central Coast,2015/2016,10.2
Males,Central Coast,2016/2017,11.4
Males,Central Coast,2017/2018,13.3
Males,Central Coast,2018/2019,13.3
Males,Central Coast,2019/2020,11.2
Males,Central Coast,2020/2021,7.5
Males,Hunter New England,2011/2012,11.3
Males,Hunter New England,2012/2013,10.7
Males,Hunter New England,2013/2014,11.1
Males,Hunter New England,2014/2015,11.3
Males,Hunter New England,2015/2016,8.6
Males,Hunter New England,2016/2017,12.5
Males,Hunter New England,2017/2018,14.3
Males,Hunter New England,2018/2019,10.4
Males,Hunter New England,2019/2020,7.3
Males,Hunter New England,2020/2021,5.8
Males,Northern NSW,2011/2012,8.9
Males,Northern NSW,2012/2013,9.7
Males,Northern NSW,2013/2014,8.8
Males,Northern NSW,2014/2015,9.4
Males,Northern NSW,2015/2016,10.0
Males,Northern NSW,2016/2017,11.0
Males,Northern NSW,2017/2018,10.1
Males,Northern NSW,2018/2019,10.7
Males,Northern NSW,2019/2020,10.3
Males,Northern NSW,2020/2021,5.8
Males,Mid North Coast,2011/2012,9.8
Males,Mid North Coast,2012/2013,10.8
Males,Mid North Coast,2013/2014,12.8
Males,Mid North Coast,2014/2015,12.3
Males,Mid North Coast,2015/2016,11.5
Males,Mid North Coast,2016/2017,9.2
Males,Mid North Coast,2017/2018,8.8
Males,Mid North Coast,2018/2019,8.8
Males,Mid North Coast,2019/2020,6.4
Males,Mid North Coast,2020/2021,4.2
Males,Southern NSW,2011/2012,15.9
Males,Southern NSW,2012/2013,14.2
Males,Southern NSW,2013/2014,12.7
Males,Southern NSW,2014/2015,13.0
