sex,lhd,financial year,"rate per 100,000 population"
Males,Sydney,2001/2002,345
Males,Sydney,2002/2003,349.1
Males,Sydney,2003/2004,362.4
Males,Sydney,2004/2005,364.8
Males,Sydney,2005/2006,285.2
Males,Sydney,2006/2007,301.6
Males,Sydney,2007/2008,291.4
Males,Sydney,2008/2009,249.4
Males,Sydney,2009/2010,257.6
Males,Sydney,2010/2011,279.2
Males,Sydney,2011/2012,311.6
Males,Sydney,2012/2013,284.4
Males,Sydney,2013/2014,265.8
Males,Sydney,2014/2015,336
Males,Sydney,2015/2016,337.7
Males,Sydney,2016/2017,376.6
Males,Sydney,2017/2018,419.7
Males,Sydney,2018/2019,384
Males,Sydney,2019/2020,382
Males,Sydney,2020/2021,221.6
Males,South Western Sydney,2001/2002,343.3
Males,South Western Sydney,2002/2003,326.7
Males,South Western Sydney,2003/2004,342.7
Males,South Western Sydney,2004/2005,302.8
Males,South Western Sydney,2005/2006,255.1
Males,South Western Sydney,2006/2007,270.3
Males,South Western Sydney,2007/2008,301.5
Males,South Western Sydney,2008/2009,300.6
Males,South Western Sydney,2009/2010,280.4
Males,South Western Sydney,2010/2011,296.2
Males,South Western Sydney,2011/2012,332.4
Males,South Western Sydney,2012/2013,295.5
Males,South Western Sydney,2013/2014,291
Males,South Western Sydney,2014/2015,339.4
Males,South Western Sydney,2015/2016,361.2
Males,South Western Sydney,2016/2017,386.1
Males,South Western Sydney,2017/2018,434.3
Males,South Western Sydney,2018/2019,413.1
Males,South Western Sydney,2019/2020,384.7
Males,South Western Sydney,2020/2021,233.6
Males,South Eastern Sydney,2001/2002,282
Males,South Eastern Sydney,2002/2003,292.5
Males,South Eastern Sydney,2003/2004,301.1
Males,South Eastern Sydney,2004/2005,281.8
Males,South Eastern Sydney,2005/2006,270.1
Males,South Eastern Sydney,2006/2007,262.9
Males,South Eastern Sydney,2007/2008,276
Males,South Eastern Sydney,2008/2009,256.9
Males,South Eastern Sydney,2009/2010,258.6
Males,South Eastern Sydney,2010/2011,260.5
Males,South Eastern Sydney,2011/2012,304.6
Males,South Eastern Sydney,2012/2013,258.9
Males,South Eastern Sydney,2013/2014,240.2
Males,South Eastern Sydney,2014/2015,309
Males,South Eastern Sydney,2015/2016,291.4
Males,South Eastern Sydney,2016/2017,316
Males,South Eastern Sydney,2017/2018,351.5
Males,South Eastern Sydney,2018/2019,368.3
Males,South Eastern Sydney,2019/2020,337.9
Males,South Eastern Sydney,2020/2021,187.1
Males,Illawarra Shoalhaven,2001/2002,286.8
Males,Illawarra Shoalhaven,2002/2003,251.4
Males,Illawarra Shoalhaven,2003/2004,252.2
Males,Illawarra Shoalhaven,2004/2005,293.5
Males,Illawarra Shoalhaven,2005/2006,280.3
Males,Illawarra Shoalhaven,2006/2007,259.6
Males,Illawarra Shoalhaven,2007/2008,282.5
Males,Illawarra Shoalhaven,2008/2009,335.6
Males,Illawarra Shoalhaven,2009/2010,328.7
Males,Illawarra Shoalhaven,2010/2011,294.4
Males,Illawarra Shoalhaven,2011/2012,305.1
Males,Illawarra Shoalhaven,2012/2013,331.6
Males,Illawarra Shoalhaven,2013/2014,345
Males,Illawarra Shoalhaven,2014/2015,387.5
Males,Illawarra Shoalhaven,2015/2016,350.1
Males,Illawarra Shoalhaven,2016/2017,349.8
Males,Illawarra Shoalhaven,2017/2018,416.8
Males,Illawarra Shoalhaven,2018/2019,401.5
Males,Illawarra Shoalhaven,2019/2020,395.7
Males,Illawarra Shoalhaven,2020/2021,258.3
Males,Western Sydney,2001/2002,311.1
Males,Western Sydney,2002/2003,299.1
Males,Western Sydney,2003/2004,317.1
Males,Western Sydney,2004/2005,283.7
Males,Western Sydney,2005/2006,291.7
Males,Western Sydney,2006/2007,291.3
Males,Western Sydney,2007/2008,311.6
Males,Western Sydney,2008/2009,304.6
Males,Western Sydney,2009/2010,317.2
Males,Western Sydney,2010/2011,305.7
Males,Western Sydney,2011/2012,348
Males,Western Sydney,2012/2013,301.8
Males,Western Sydney,2013/2014,330.3
Males,Western Sydney,2014/2015,335.9
Males,Western Sydney,2015/2016,344.5
Males,Western Sydney,2016/2017,351.9
Males,Western Sydney,2017/2018,413.8
Males,Western Sydney,2018/2019,397.2
Males,Western Sydney,2019/2020,365.6
Males,Western Sydney,2020/2021,228
Males,Nepean Blue Mountains,2001/2002,410.2
Males,Nepean Blue Mountains,2002/2003,344.1
Males,Nepean Blue Mountains,2003/2004,362
Males,Nepean Blue Mountains,2004/2005,364.9
Males,Nepean Blue Mountains,2005/2006,341.5
Males,Nepean Blue Mountains,2006/2007,344.1
Males,Nepean Blue Mountains,2007/2008,447.8
Males,Nepean Blue Mountains,2008/2009,340.9
Males,Nepean Blue Mountains,2009/2010,325.6
Males,Nepean Blue Mountains,2010/2011,413.6
Males,Nepean Blue Mountains,2011/2012,372.1
Males,Nepean Blue Mountains,2012/2013,329
Males,Nepean Blue Mountains,2013/2014,342.5
Males,Nepean Blue Mountains,2014/2015,392.5
Males,Nepean Blue Mountains,2015/2016,391.9
Males,Nepean Blue Mountains,2016/2017,372.5
Males,Nepean Blue Mountains,2017/2018,479.6
Males,Nepean Blue Mountains,2018/2019,425.4
Males,Nepean Blue Mountains,2019/2020,376.5
Males,Nepean Blue Mountains,2020/2021,247.3
Males,Northern Sydney,2001/2002,248.5
Males,Northern Sydney,2002/2003,247.3
Males,Northern Sydney,2003/2004,251.5
Males,Northern Sydney,2004/2005,264.3
Males,Northern Sydney,2005/2006,242.9
Males,Northern Sydney,2006/2007,240.2
Males,Northern Sydney,2007/2008,280.1
Males,Northern Sydney,2008/2009,268.7
Males,Northern Sydney,2009/2010,247.1
Males,Northern Sydney,2010/2011,267
Males,Northern Sydney,2011/2012,283.3
Males,Northern Sydney,2012/2013,241.3
Males,Northern Sydney,2013/2014,257.5
Males,Northern Sydney,2014/2015,306.7
Males,Northern Sydney,2015/2016,334.9
Males,Northern Sydney,2016/2017,319.8
Males,Northern Sydney,2017/2018,382.4
Males,Northern Sydney,2018/2019,357.5
Males,Northern Sydney,2019/2020,338.1
Males,Northern Sydney,2020/2021,182.5
Males,Central Coast,2001/2002,294.6
Males,Central Coast,2002/2003,317.7
Males,Central Coast,2003/2004,308.5
Males,Central Coast,2004/2005,278.8
Males,Central Coast,2005/2006,321.6
Males,Central Coast,2006/2007,270.3
Males,Central Coast,2007/2008,306.9
Males,Central Coast,2008/2009,280.2
Males,Central Coast,2009/2010,285
Males,Central Coast,2010/2011,330.9
Males,Central Coast,2011/2012,305.2
Males,Central Coast,2012/2013,316.7
Males,Central Coast,2013/2014,317.3
Males,Central Coast,2014/2015,402.9
Males,Central Coast,2015/2016,404.2
Males,Central Coast,2016/2017,324.7
Males,Central Coast,2017/2018,421.9
Males,Central Coast,2018/2019,420.6
Males,Central Coast,2019/2020,409.5
Males,Central Coast,2020/2021,219.2
Males,Hunter New England,2001/2002,354.7
Males,Hunter New England,2002/2003,355.9
Males,Hunter New England,2003/2004,362.9
Males,Hunter New England,2004/2005,371.9
Males,Hunter New England,2005/2006,326.1
Males,Hunter New England,2006/2007,330.3
Males,Hunter New England,2007/2008,330.7
Males,Hunter New England,2008/2009,323.1
Males,Hunter New England,2009/2010,316.6
Males,Hunter New England,2010/2011,321.5
Males,Hunter New England,2011/2012,358.1
Males,Hunter New England,2012/2013,305.2
Males,Hunter New England,2013/2014,325.8
Males,Hunter New England,2014/2015,391
Males,Hunter New England,2015/2016,398.7
Males,Hunter New England,2016/2017,395.7
Males,Hunter New England,2017/2018,462.5
Males,Hunter New England,2018/2019,420
Males,Hunter New England,2019/2020,381.6
Males,Hunter New England,2020/2021,257.9
Males,Northern NSW,2001/2002,375.9
Males,Northern NSW,2002/2003,362.3
Males,Northern NSW,2003/2004,346.5
Males,Northern NSW,2004/2005,306.6
Males,Northern NSW,2005/2006,328.9
Males,Northern NSW,2006/2007,282.3
Males,Northern NSW,2007/2008,350.7
Males,Northern NSW,2008/2009,313
Males,Northern NSW,2009/2010,342.4
Males,Northern NSW,2010/2011,306.5
Males,Northern NSW,2011/2012,348.9
