acute respiratory infection,sex,lhd,financial year,"rate per 100,000 population"
Influenza and pneumonia,Males,Sydney,2001/2002,345
Influenza and pneumonia,Males,Sydney,2002/2003,349.1
Influenza and pneumonia,Males,Sydney,2003/2004,362.4
Influenza and pneumonia,Males,Sydney,2004/2005,364.8
Influenza and pneumonia,Males,Sydney,2005/2006,285.2
Influenza and pneumonia,Males,Sydney,2006/2007,301.6
Influenza and pneumonia,Males,Sydney,2007/2008,291.4
Influenza and pneumonia,Males,Sydney,2008/2009,249.4
Influenza and pneumonia,Males,Sydney,2009/2010,257.6
Influenza and pneumonia,Males,Sydney,2010/2011,279.2
Influenza and pneumonia,Males,Sydney,2011/2012,311.6
Influenza and pneumonia,Males,Sydney,2012/2013,284.4
Influenza and pneumonia,Males,Sydney,2013/2014,265.8
Influenza and pneumonia,Males,Sydney,2014/2015,336
Influenza and pneumonia,Males,Sydney,2015/2016,337.7
Influenza and pneumonia,Males,Sydney,2016/2017,376.6
Influenza and pneumonia,Males,Sydney,2017/2018,419.7
Influenza and pneumonia,Males,Sydney,2018/2019,384
Influenza and pneumonia,Males,Sydney,2019/2020,382
Influenza and pneumonia,Males,Sydney,2020/2021,221.6
Influenza and pneumonia,Males,South Western Sydney,2001/2002,343.3
Influenza and pneumonia,Males,South Western Sydney,2002/2003,326.7
Influenza and pneumonia,Males,South Western Sydney,2003/2004,342.7
Influenza and pneumonia,Males,South Western Sydney,2004/2005,302.8
Influenza and pneumonia,Males,South Western Sydney,2005/2006,255.1
Influenza and pneumonia,Males,South Western Sydney,2006/2007,270.3
Influenza and pneumonia,Males,South Western Sydney,2007/2008,301.5
Influenza and pneumonia,Males,South Western Sydney,2008/2009,300.6
Influenza and pneumonia,Males,South Western Sydney,2009/2010,280.4
Influenza and pneumonia,Males,South Western Sydney,2010/2011,296.2
Influenza and pneumonia,Males,South Western Sydney,2011/2012,332.4
Influenza and pneumonia,Males,South Western Sydney,2012/2013,295.5
Influenza and pneumonia,Males,South Western Sydney,2013/2014,291
Influenza and pneumonia,Males,South Western Sydney,2014/2015,339.4
Influenza and pneumonia,Males,South Western Sydney,2015/2016,361.2
Influenza and pneumonia,Males,South Western Sydney,2016/2017,386.1
Influenza and pneumonia,Males,South Western Sydney,2017/2018,434.3
Influenza and pneumonia,Males,South Western Sydney,2018/2019,413.1
Influenza and pneumonia,Males,South Western Sydney,2019/2020,384.7
Influenza and pneumonia,Males,South Western Sydney,2020/2021,233.6
Influenza and pneumonia,Males,South Eastern Sydney,2001/2002,282
Influenza and pneumonia,Males,South Eastern Sydney,2002/2003,292.5
Influenza and pneumonia,Males,South Eastern Sydney,2003/2004,301.1
Influenza and pneumonia,Males,South Eastern Sydney,2004/2005,281.8
Influenza and pneumonia,Males,South Eastern Sydney,2005/2006,270.1
Influenza and pneumonia,Males,South Eastern Sydney,2006/2007,262.9
Influenza and pneumonia,Males,South Eastern Sydney,2007/2008,276
Influenza and pneumonia,Males,South Eastern Sydney,2008/2009,256.9
Influenza and pneumonia,Males,South Eastern Sydney,2009/2010,258.6
Influenza and pneumonia,Males,South Eastern Sydney,2010/2011,260.5
Influenza and pneumonia,Males,South Eastern Sydney,2011/2012,304.6
Influenza and pneumonia,Males,South Eastern Sydney,2012/2013,258.9
Influenza and pneumonia,Males,South Eastern Sydney,2013/2014,240.2
