Disease type,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Influenza and pneumonia,Sydney LHD,2001-2003,13.5,11.7,15.5
Influenza and pneumonia,Sydney LHD,2002-2004,15.9,13.9,18.1
Influenza and pneumonia,Sydney LHD,2003-2005,16.3,14.3,18.6
Influenza and pneumonia,Sydney LHD,2004-2006,15.8,13.8,17.9
Influenza and pneumonia,Sydney LHD,2005-2007,13.3,11.5,15.2
Influenza and pneumonia,Sydney LHD,2006-2008,10.5,8.9,12.2
Influenza and pneumonia,Sydney LHD,2007-2009,7.5,6.3,9
Influenza and pneumonia,Sydney LHD,2008-2010,7.1,5.9,8.5
Influenza and pneumonia,Sydney LHD,2009-2011,7.4,6.2,8.8
Influenza and pneumonia,Sydney LHD,2010-2012,8.2,6.9,9.6
Influenza and pneumonia,Sydney LHD,2011-2013,7.5,6.3,8.9
Influenza and pneumonia,Sydney LHD,2012-2014,7.6,6.4,9
Influenza and pneumonia,Sydney LHD,2013-2015,7.3,6.1,8.6
Influenza and pneumonia,Sydney LHD,2014-2016,8.3,7.1,9.7
Influenza and pneumonia,Sydney LHD,2015-2017,10.2,8.9,11.7
Influenza and pneumonia,Sydney LHD,2016-2018,10.5,9.1,11.9
Influenza and pneumonia,Sydney LHD,2017-2019,11,9.7,12.5
Influenza and pneumonia,Sydney LHD,2018-2020,8.4,7.2,9.7
Influenza and pneumonia,Sydney LHD,2019-2021,6.9,5.9,8.1
Influenza and pneumonia,South Western Sydney LHD,2001-2003,13.6,11.9,15.5
Influenza and pneumonia,South Western Sydney LHD,2002-2004,14.8,13,16.7
Influenza and pneumonia,South Western Sydney LHD,2003-2005,14.4,12.7,16.2
Influenza and pneumonia,South Western Sydney LHD,2004-2006,12.1,10.6,13.8
Influenza and pneumonia,South Western Sydney LHD,2005-2007,10.6,9.2,12.1
Influenza and pneumonia,South Western Sydney LHD,2006-2008,8.5,7.3,9.9
Influenza and pneumonia,South Western Sydney LHD,2007-2009,7.6,6.5,8.8
Influenza and pneumonia,South Western Sydney LHD,2008-2010,6.9,5.9,8.1
Influenza and pneumonia,South Western Sydney LHD,2009-2011,6.6,5.6,7.7
Influenza and pneumonia,South Western Sydney LHD,2010-2012,6,5.1,7.1
Influenza and pneumonia,South Western Sydney LHD,2011-2013,6,5.1,7
Influenza and pneumonia,South Western Sydney LHD,2012-2014,6.1,5.2,7.1
Influenza and pneumonia,South Western Sydney LHD,2013-2015,7,6,8
