date,sex,lhd,"rate per 100,000 population"
2014-07,Males,Sydney,22.6
2014-08,Males,Sydney,28.9
2014-09,Males,Sydney,15.7
2014-10,Males,Sydney,19.2
2014-11,Males,Sydney,19.7
2014-12,Males,Sydney,24.9
2015-01,Males,Sydney,15.1
2015-02,Males,Sydney,27.8
2015-03,Males,Sydney,29.5
2015-04,Males,Sydney,24.7
2015-05,Males,Sydney,27.6
2015-06,Males,Sydney,26.5
2015-07,Males,Sydney,27.2
2015-08,Males,Sydney,28.4
2015-09,Males,Sydney,17.9
2015-10,Males,Sydney,21.7
2015-11,Males,Sydney,19.5
2015-12,Males,Sydney,15.0
2016-01,Males,Sydney,14.6
2016-02,Males,Sydney,35.2
2016-03,Males,Sydney,29.5
2016-04,Males,Sydney,21.1
2016-05,Males,Sydney,28.3
2016-06,Males,Sydney,28.1
2016-07,Males,Sydney,24.0
2016-08,Males,Sydney,20.0
2016-09,Males,Sydney,19.2
2016-10,Males,Sydney,18.7
2016-11,Males,Sydney,16.3
2016-12,Males,Sydney,16.0
2017-01,Males,Sydney,12.6
2017-02,Males,Sydney,22.2
2017-03,Males,Sydney,26.7
2017-04,Males,Sydney,26.6
2017-05,Males,Sydney,36.0
2017-06,Males,Sydney,24.5
2017-07,Males,Sydney,16.7
2017-08,Males,Sydney,16.8
2017-09,Males,Sydney,16.5
2017-10,Males,Sydney,19.1
2017-11,Males,Sydney,14.1
2017-12,Males,Sydney,18.6
2018-01,Males,Sydney,10.3
2018-02,Males,Sydney,22.5
2018-03,Males,Sydney,21.2
2018-04,Males,Sydney,18.0
2018-05,Males,Sydney,34.3
2018-06,Males,Sydney,21.3
2018-07,Males,Sydney,12.6
2018-08,Males,Sydney,17.2
2018-09,Males,Sydney,24.4
2018-10,Males,Sydney,16.3
2018-11,Males,Sydney,19.8
2018-12,Males,Sydney,11.8
2019-01,Males,Sydney,14.8
2019-02,Males,Sydney,30.2
2019-03,Males,Sydney,24.5
2019-04,Males,Sydney,22.8
2019-05,Males,Sydney,26.4
2019-06,Males,Sydney,23.5
2019-07,Males,Sydney,15.6
2019-08,Males,Sydney,17.2
2019-09,Males,Sydney,20.3
2019-10,Males,Sydney,14.4
2019-11,Males,Sydney,20.4
2019-12,Males,Sydney,22.5
2020-01,Males,Sydney,13.5
2020-02,Males,Sydney,23.5
2020-03,Males,Sydney,24.5
2020-04,Males,Sydney,5.9
2020-05,Males,Sydney,6.2
2020-06,Males,Sydney,19.1
2020-07,Males,Sydney,11.5
2020-08,Males,Sydney,20.2
2020-09,Males,Sydney,11.1
2020-10,Males,Sydney,15.2
2020-11,Males,Sydney,15.3
2020-12,Males,Sydney,15.4
2021-01,Males,Sydney,8.4
2021-02,Males,Sydney,15.9
2021-03,Males,Sydney,19.7
2021-04,Males,Sydney,18.7
2021-05,Males,Sydney,23.6
2021-06,Males,Sydney,18.5
2021-07,Males,Sydney,8.2
2021-08,Males,Sydney,5.6
2021-09,Males,Sydney,3.0
2021-10,Males,Sydney,6.5
2021-11,Males,Sydney,8.2
2021-12,Males,Sydney,9.1
2022-01,Males,Sydney,11.2
2022-02,Males,Sydney,11.2
2022-03,Males,Sydney,24.4
2022-04,Males,Sydney,24.2
2022-05,Males,Sydney,28.4
2022-06,Males,Sydney,17.0
2022-07,Males,Sydney,16.5
2022-08,Males,Sydney,27.1
2022-09,Males,Sydney,18.9
2022-10,Males,Sydney,15.5
2022-11,Males,Sydney,13.9
2022-12,Males,Sydney,11.1
2023-01,Males,Sydney,9.5
2023-02,Males,Sydney,15.3
2023-03,Males,Sydney,12.6
2023-04,Males,Sydney,18.6
2023-05,Males,Sydney,19.9
2023-06,Males,Sydney,14.4
2014-07,Males,South Western Sydney,27.4
2014-08,Males,South Western Sydney,25.3
2014-09,Males,South Western Sydney,25.9
2014-10,Males,South Western Sydney,24.3
2014-11,Males,South Western Sydney,22.9
2014-12,Males,South Western Sydney,25.0
2015-01,Males,South Western Sydney,23.0
2015-02,Males,South Western Sydney,38.3
2015-03,Males,South Western Sydney,39.2
2015-04,Males,South Western Sydney,29.8
2015-05,Males,South Western Sydney,38.4
2015-06,Males,South Western Sydney,42.6
2015-07,Males,South Western Sydney,28.5
2015-08,Males,South Western Sydney,30.1
2015-09,Males,South Western Sydney,26.7
2015-10,Males,South Western Sydney,31.2
2015-11,Males,South Western Sydney,29.5
2015-12,Males,South Western Sydney,20.7
2016-01,Males,South Western Sydney,20.7
2016-02,Males,South Western Sydney,39.5
2016-03,Males,South Western Sydney,34.8
2016-04,Males,South Western Sydney,28.2
2016-05,Males,South Western Sydney,40.8
2016-06,Males,South Western Sydney,33.0
2016-07,Males,South Western Sydney,22.7
2016-08,Males,South Western Sydney,25.1
2016-09,Males,South Western Sydney,27.0
2016-10,Males,South Western Sydney,22.1
2016-11,Males,South Western Sydney,22.1
2016-12,Males,South Western Sydney,22.4
2017-01,Males,South Western Sydney,15.4
2017-02,Males,South Western Sydney,27.7
2017-03,Males,South Western Sydney,27.0
2017-04,Males,South Western Sydney,31.6
2017-05,Males,South Western Sydney,42.2
2017-06,Males,South Western Sydney,34.6
2017-07,Males,South Western Sydney,29.7
2017-08,Males,South Western Sydney,19.1
2017-09,Males,South Western Sydney,17.4
2017-10,Males,South Western Sydney,19.7
2017-11,Males,South Western Sydney,22.8
2017-12,Males,South Western Sydney,16.4
2018-01,Males,South Western Sydney,14.1
2018-02,Males,South Western Sydney,27.3
2018-03,Males,South Western Sydney,27.3
2018-04,Males,South Western Sydney,23.3
2018-05,Males,South Western Sydney,37.4
