sex,lhd,financial year,"rate per 100,000 population"
Males,Sydney,2011/2012,26.5
Males,Sydney,2012/2013,27.8
Males,Sydney,2013/2014,31.1
Males,Sydney,2014/2015,29.5
Males,Sydney,2015/2016,23.3
Males,Sydney,2016/2017,24.5
Males,Sydney,2017/2018,26.0
Males,Sydney,2018/2019,23.4
Males,Sydney,2019/2020,20.2
Males,Sydney,2020/2021,21.6
Males,South Western Sydney,2011/2012,29.0
Males,South Western Sydney,2012/2013,30.2
Males,South Western Sydney,2013/2014,31.9
Males,South Western Sydney,2014/2015,29.3
Males,South Western Sydney,2015/2016,29.5
Males,South Western Sydney,2016/2017,33.6
Males,South Western Sydney,2017/2018,28.7
Males,South Western Sydney,2018/2019,23.4
Males,South Western Sydney,2019/2020,24.2
Males,South Western Sydney,2020/2021,23.3
Males,South Eastern Sydney,2011/2012,18.8
Males,South Eastern Sydney,2012/2013,21.5
Males,South Eastern Sydney,2013/2014,22.1
Males,South Eastern Sydney,2014/2015,20.3
Males,South Eastern Sydney,2015/2016,18.1
Males,South Eastern Sydney,2016/2017,19.4
Males,South Eastern Sydney,2017/2018,18.5
Males,South Eastern Sydney,2018/2019,14.6
Males,South Eastern Sydney,2019/2020,16.1
Males,South Eastern Sydney,2020/2021,16.2
Males,Illawarra Shoalhaven,2011/2012,34.0
Males,Illawarra Shoalhaven,2012/2013,33.5
Males,Illawarra Shoalhaven,2013/2014,36.2
Males,Illawarra Shoalhaven,2014/2015,34.7
Males,Illawarra Shoalhaven,2015/2016,34.7
Males,Illawarra Shoalhaven,2016/2017,34.2
Males,Illawarra Shoalhaven,2017/2018,30.4
Males,Illawarra Shoalhaven,2018/2019,28.4
Males,Illawarra Shoalhaven,2019/2020,30.5
Males,Illawarra Shoalhaven,2020/2021,31.2
Males,Western Sydney,2011/2012,26.2
Males,Western Sydney,2012/2013,27.1
Males,Western Sydney,2013/2014,30.6
Males,Western Sydney,2014/2015,31.9
Males,Western Sydney,2015/2016,30.3
Males,Western Sydney,2016/2017,29.3
Males,Western Sydney,2017/2018,23.9
Males,Western Sydney,2018/2019,23.2
Males,Western Sydney,2019/2020,24.5
Males,Western Sydney,2020/2021,20.7
Males,Nepean Blue Mountains,2011/2012,28.6
Males,Nepean Blue Mountains,2012/2013,30.7
Males,Nepean Blue Mountains,2013/2014,33.0
Males,Nepean Blue Mountains,2014/2015,35.2
Males,Nepean Blue Mountains,2015/2016,39.4
Males,Nepean Blue Mountains,2016/2017,40.6
Males,Nepean Blue Mountains,2017/2018,33.3
Males,Nepean Blue Mountains,2018/2019,27.1
Males,Nepean Blue Mountains,2019/2020,25.0
Males,Nepean Blue Mountains,2020/2021,22.4
Males,Northern Sydney,2011/2012,17.6
Males,Northern Sydney,2012/2013,17.1
Males,Northern Sydney,2013/2014,14.8
Males,Northern Sydney,2014/2015,14.3
Males,Northern Sydney,2015/2016,14.0
Males,Northern Sydney,2016/2017,14.0
Males,Northern Sydney,2017/2018,12.2
Males,Northern Sydney,2018/2019,11.0
Males,Northern Sydney,2019/2020,11.0
