Disease type,Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Influenza and pneumonia,Males,Sydney LHD,01/02,345,319.8,371.7
Influenza and pneumonia,Males,Sydney LHD,02/03,349.1,323.2,376.6
Influenza and pneumonia,Males,Sydney LHD,03/04,362.4,335.1,391.3
Influenza and pneumonia,Males,Sydney LHD,04/05,364.8,337.5,393.7
Influenza and pneumonia,Males,Sydney LHD,05/06,285.2,262.7,309
Influenza and pneumonia,Males,Sydney LHD,06/07,301.6,279.1,325.3
Influenza and pneumonia,Males,Sydney LHD,07/08,291.4,269.6,314.4
Influenza and pneumonia,Males,Sydney LHD,08/09,249.4,229.7,270.3
Influenza and pneumonia,Males,Sydney LHD,09/10,257.6,238,278.5
Influenza and pneumonia,Males,Sydney LHD,10/11,279.2,258.8,300.7
Influenza and pneumonia,Males,Sydney LHD,11/12,311.2,289.9,333.6
Influenza and pneumonia,Males,Sydney LHD,12/13,284.5,264.4,305.6
Influenza and pneumonia,Males,Sydney LHD,13/14,265.5,246.4,285.6
Influenza and pneumonia,Males,Sydney LHD,14/15,336,314.8,358.2
Influenza and pneumonia,Males,Sydney LHD,15/16,337.7,316.8,359.7
Influenza and pneumonia,Males,Sydney LHD,16/17,378.7,356.7,401.7
Influenza and pneumonia,Males,Sydney LHD,17/18,426.5,403.4,450.7
Influenza and pneumonia,Males,Sydney LHD,18/19,395.2,373.1,418.3
Influenza and pneumonia,Males,Sydney LHD,19/20,398.3,376.3,421.3
Influenza and pneumonia,Males,Sydney LHD,20/21,233.6,216.9,251.2
Influenza and pneumonia,Males,Sydney LHD,21/22,479.9,456.4,504.2
Influenza and pneumonia,Males,South Western Sydney LHD,01/02,343.3,321.9,365.7
Influenza and pneumonia,Males,South Western Sydney LHD,02/03,326.7,306.3,348.1
Influenza and pneumonia,Males,South Western Sydney LHD,03/04,342.7,322.2,364.3
Influenza and pneumonia,Males,South Western Sydney LHD,04/05,302.8,283.7,322.8
Influenza and pneumonia,Males,South Western Sydney LHD,05/06,255.1,237.9,273.3
Influenza and pneumonia,Males,South Western Sydney LHD,06/07,270.5,252.7,289.2
Influenza and pneumonia,Males,South Western Sydney LHD,07/08,301,282.9,320
Influenza and pneumonia,Males,South Western Sydney LHD,08/09,300.2,282.3,318.9
Influenza and pneumonia,Males,South Western Sydney LHD,09/10,280.4,263.7,297.9
Influenza and pneumonia,Males,South Western Sydney LHD,10/11,296.4,279.4,314.2
Influenza and pneumonia,Males,South Western Sydney LHD,11/12,332.4,314.6,351
Influenza and pneumonia,Males,South Western Sydney LHD,12/13,295.5,278.9,312.9
Influenza and pneumonia,Males,South Western Sydney LHD,13/14,291,274.8,307.8
Influenza and pneumonia,Males,South Western Sydney LHD,14/15,339.4,322.1,357.4
Influenza and pneumonia,Males,South Western Sydney LHD,15/16,361.1,343.6,379.2
Influenza and pneumonia,Males,South Western Sydney LHD,16/17,386.5,368.6,404.9
Influenza and pneumonia,Males,South Western Sydney LHD,17/18,435.8,417.2,455.1
Influenza and pneumonia,Males,South Western Sydney LHD,18/19,414.3,396.4,432.7
Influenza and pneumonia,Males,South Western Sydney LHD,19/20,384.8,367.9,402.4
Influenza and pneumonia,Males,South Western Sydney LHD,20/21,230.7,217.8,244.1
Influenza and pneumonia,Males,South Western Sydney LHD,21/22,666.1,644.3,688.5
Influenza and pneumonia,Males,South Eastern Sydney LHD,01/02,282,264.4,300.4
Influenza and pneumonia,Males,South Eastern Sydney LHD,02/03,292.5,274.8,311
Influenza and pneumonia,Males,South Eastern Sydney LHD,03/04,301.1,283.2,319.8
Influenza and pneumonia,Males,South Eastern Sydney LHD,04/05,281.8,264.8,299.7
Influenza and pneumonia,Males,South Eastern Sydney LHD,05/06,270.1,253.5,287.6
Influenza and pneumonia,Males,South Eastern Sydney LHD,06/07,262.6,246.4,279.6
Influenza and pneumonia,Males,South Eastern Sydney LHD,07/08,275.2,258.8,292.3
Influenza and pneumonia,Males,South Eastern Sydney LHD,08/09,256.4,240.8,272.7
Influenza and pneumonia,Males,South Eastern Sydney LHD,09/10,258.4,242.9,274.6
Influenza and pneumonia,Males,South Eastern Sydney LHD,10/11,259.2,243.8,275.3
Influenza and pneumonia,Males,South Eastern Sydney LHD,11/12,303.9,287.4,321.1
Influenza and pneumonia,Males,South Eastern Sydney LHD,12/13,258.5,243.5,274.2
Influenza and pneumonia,Males,South Eastern Sydney LHD,13/14,239.1,224.7,254.1
Influenza and pneumonia,Males,South Eastern Sydney LHD,14/15,307.6,291.5,324.4
Influenza and pneumonia,Males,South Eastern Sydney LHD,15/16,291,275.5,307.1
Influenza and pneumonia,Males,South Eastern Sydney LHD,16/17,314.4,298.5,331
Influenza and pneumonia,Males,South Eastern Sydney LHD,17/18,350.7,334.1,367.9
Influenza and pneumonia,Males,South Eastern Sydney LHD,18/19,367.8,350.6,385.5
Influenza and pneumonia,Males,South Eastern Sydney LHD,19/20,339.4,323.1,356.3
Influenza and pneumonia,Males,South Eastern Sydney LHD,20/21,187.7,175.7,200.3
Influenza and pneumonia,Males,South Eastern Sydney LHD,21/22,367.1,350.4,384.4
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,01/02,286.8,261.9,313.4
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,02/03,251.4,228.5,276
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,03/04,252.2,229.3,276.7
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,04/05,293.5,269,319.7
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,05/06,280.3,256.4,305.8
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,06/07,259.6,237.2,283.5
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,07/08,282.5,259.1,307.4
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,08/09,336,310.9,362.7
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,09/10,328.7,304.1,354.8
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,10/11,294.4,271.7,318.6
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,11/12,304.5,281.7,328.6
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,12/13,331.6,308.3,356.2
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,13/14,345,321.5,369.8
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,14/15,387.5,362.4,413.9
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,15/16,350.7,326.8,375.9
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,16/17,350.6,327.4,375.2
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,17/18,419.5,394.4,445.7
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,18/19,404.8,380.1,430.8
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,19/20,399,374.7,424.6
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,20/21,256.5,237.3,276.9
Influenza and pneumonia,Males,Illawarra Shoalhaven LHD,21/22,379.2,355.8,403.8
Influenza and pneumonia,Males,Western Sydney LHD,01/02,311.1,289.4,333.9
Influenza and pneumonia,Males,Western Sydney LHD,02/03,299.1,278.1,321.2
Influenza and pneumonia,Males,Western Sydney LHD,03/04,317.7,296.5,339.9
Influenza and pneumonia,Males,Western Sydney LHD,04/05,284.8,264.6,306.1
Influenza and pneumonia,Males,Western Sydney LHD,05/06,291.7,271.5,313
Influenza and pneumonia,Males,Western Sydney LHD,06/07,292,272.2,312.7
Influenza and pneumonia,Males,Western Sydney LHD,07/08,311.6,291.5,332.6
Influenza and pneumonia,Males,Western Sydney LHD,08/09,304.6,285,325.2
Influenza and pneumonia,Males,Western Sydney LHD,09/10,317.2,297.8,337.5
Influenza and pneumonia,Males,Western Sydney LHD,10/11,305.5,286.6,325.2
Influenza and pneumonia,Males,Western Sydney LHD,11/12,348,328.2,368.6
Influenza and pneumonia,Males,Western Sydney LHD,12/13,301.9,283.9,320.8
Influenza and pneumonia,Males,Western Sydney LHD,13/14,330.3,311.9,349.5
Influenza and pneumonia,Males,Western Sydney LHD,14/15,335.9,317.5,355.1
Influenza and pneumonia,Males,Western Sydney LHD,15/16,343.5,325.4,362.2
Influenza and pneumonia,Males,Western Sydney LHD,16/17,352.2,334,371
Influenza and pneumonia,Males,Western Sydney LHD,17/18,415.5,396.2,435.5
Influenza and pneumonia,Males,Western Sydney LHD,18/19,400.4,381.9,419.5
Influenza and pneumonia,Males,Western Sydney LHD,19/20,372.9,355.3,391.2
Influenza and pneumonia,Males,Western Sydney LHD,20/21,230.3,216.8,244.5
Influenza and pneumonia,Males,Western Sydney LHD,21/22,546.9,526.3,568
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,01/02,410.2,374,448.7
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,02/03,344.1,312.6,377.7
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,03/04,362,330.1,395.9
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,04/05,364.9,332.2,399.8
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,05/06,341.5,309.4,375.8
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,06/07,344.1,312.9,377.5
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,07/08,447.8,412,485.7
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,08/09,340.9,309.9,374
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,09/10,325.6,296.5,356.7
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,10/11,413.6,380.7,448.4
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,11/12,372.1,341,405.2
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,12/13,329,300.6,359.3
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,13/14,342.5,314.1,372.9
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,14/15,392.5,362.4,424.3
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,15/16,392,362.5,423.2
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,16/17,370.6,342.3,400.6
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,17/18,475.3,443.7,508.5
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,18/19,422.6,393.2,453.6
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,19/20,374.8,347.5,403.8
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,20/21,247.6,225.7,271
Influenza and pneumonia,Males,Nepean Blue Mountains LHD,21/22,370.2,343.8,398
Influenza and pneumonia,Males,Northern Sydney LHD,01/02,248.5,232.4,265.4
Influenza and pneumonia,Males,Northern Sydney LHD,02/03,247.3,231.4,263.9
Influenza and pneumonia,Males,Northern Sydney LHD,03/04,251.5,235.6,268.2
Influenza and pneumonia,Males,Northern Sydney LHD,04/05,264.3,248.2,281.3
Influenza and pneumonia,Males,Northern Sydney LHD,05/06,242.9,227.4,259
Influenza and pneumonia,Males,Northern Sydney LHD,06/07,240.2,225,256.1
Influenza and pneumonia,Males,Northern Sydney LHD,07/08,280.1,264,297
Influenza and pneumonia,Males,Northern Sydney LHD,08/09,268.7,253.1,285
Influenza and pneumonia,Males,Northern Sydney LHD,09/10,247.1,232.4,262.5
Influenza and pneumonia,Males,Northern Sydney LHD,10/11,267,251.8,282.9
Influenza and pneumonia,Males,Northern Sydney LHD,11/12,283.3,267.8,299.5
Influenza and pneumonia,Males,Northern Sydney LHD,12/13,241.3,227.2,256
Influenza and pneumonia,Males,Northern Sydney LHD,13/14,257.5,243.1,272.5
Influenza and pneumonia,Males,Northern Sydney LHD,14/15,306.7,291.1,323
Influenza and pneumonia,Males,Northern Sydney LHD,15/16,334.9,318.7,351.7
Influenza and pneumonia,Males,Northern Sydney LHD,16/17,320.2,304.6,336.5
Influenza and pneumonia,Males,Northern Sydney LHD,17/18,384.5,367.5,402.1
Influenza and pneumonia,Males,Northern Sydney LHD,18/19,360.8,344.4,377.8
Influenza and pneumonia,Males,Northern Sydney LHD,19/20,343,327,359.6
Influenza and pneumonia,Males,Northern Sydney LHD,20/21,185.3,173.7,197.4
Influenza and pneumonia,Males,Northern Sydney LHD,21/22,269.2,255.3,283.8
Influenza and pneumonia,Males,Central Coast LHD,01/02,294.6,268.3,322.8
Influenza and pneumonia,Males,Central Coast LHD,02/03,317.7,290.6,346.8
Influenza and pneumonia,Males,Central Coast LHD,03/04,308.5,281.6,337.3
Influenza and pneumonia,Males,Central Coast LHD,04/05,278.8,253.4,306.1
Influenza and pneumonia,Males,Central Coast LHD,05/06,321.6,294.5,350.6
Influenza and pneumonia,Males,Central Coast LHD,06/07,270.3,246.1,296.4
Influenza and pneumonia,Males,Central Coast LHD,07/08,306.9,281.2,334.3
Influenza and pneumonia,Males,Central Coast LHD,08/09,280.2,255.9,306.3
Influenza and pneumonia,Males,Central Coast LHD,09/10,285,260.7,311
Influenza and pneumonia,Males,Central Coast LHD,10/11,330.9,304.9,358.7
Influenza and pneumonia,Males,Central Coast LHD,11/12,305.2,280.5,331.6
Influenza and pneumonia,Males,Central Coast LHD,12/13,316.7,291.7,343.3
Influenza and pneumonia,Males,Central Coast LHD,13/14,317.3,292.8,343.3
Influenza and pneumonia,Males,Central Coast LHD,14/15,402.9,374.9,432.6
Influenza and pneumonia,Males,Central Coast LHD,15/16,404.2,376.4,433.6
Influenza and pneumonia,Males,Central Coast LHD,16/17,325.1,301,350.7
Influenza and pneumonia,Males,Central Coast LHD,17/18,422.5,394.6,451.8
Influenza and pneumonia,Males,Central Coast LHD,18/19,420.8,392.6,450.5
Influenza and pneumonia,Males,Central Coast LHD,19/20,409.6,382.1,438.6
Influenza and pneumonia,Males,Central Coast LHD,20/21,217.5,198.2,238.3
Influenza and pneumonia,Males,Central Coast LHD,21/22,352.7,327.6,379.4
