financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma deaths [rate per 100,000]","asthma edp [f] [rate per 100,000]","asthma edp [m] [rate per 100,000]","asthma hospitalisations [f] [rate per 100,000]","asthma hospitalisations [m] [rate per 100,000]",asthma prevelance in children [% of children]
2000/2001,Central Coast,0.0654929577464788,0.2141843971631205,0.3907801418439716,1.762142857142857,15.595070422535212,0.07,,,,,,
2001/2002,Central Coast,0.0654929577464788,0.2141843971631205,0.3907801418439716,1.762142857142857,15.595070422535212,0.07,,,,211.5,204.6,
2002/2003,Central Coast,0.0654929577464788,0.2141843971631205,0.3907801418439716,1.762142857142857,15.595070422535212,0.07,,,,166.1,167.2,
2003/2004,Central Coast,0.0654929577464788,0.2141843971631205,0.3907801418439716,1.762142857142857,15.595070422535212,0.07,,,,156.2,154.1,16.700000000000003
2004/2005,Central Coast,0.0654929577464788,0.2141843971631205,0.3907801418439716,1.762142857142857,15.595070422535212,0.07,,,,145.3,184.7,18.15
2005/2006,Central Coast,0.0654929577464788,0.2141843971631205,0.3907801418439716,1.762142857142857,15.595070422535212,0.07,,,,141.5,173.0,18.6
2006/2007,Central Coast,0.0654929577464788,0.2141843971631205,0.3907801418439716,1.762142857142857,15.59507042253521,0.07,,,,142.8,131.1,17.65
2007/2008,Central Coast,0.0654929577464788,0.2141843971631205,0.3907801418439716,1.762142857142857,15.595070422535212,0.07,,,,155.8,118.8,15.6
2008/2009,Central Coast,,,,,,,,,,151.8,123.0,14.65
2009/2010,Central Coast,0.0654929577464788,0.2141843971631205,0.3907801418439716,1.762142857142857,15.595070422535212,0.07,,,,161.5,143.3,17.2
2010/2011,Central Coast,0.0654929577464788,0.2141843971631205,0.3907801418439716,1.762142857142857,15.595070422535212,0.07,,,,131.2,136.6,17.95
2011/2012,Central Coast,0.0654929577464788,0.2141843971631206,0.3907801418439716,1.762142857142857,15.595070422535212,0.07,0.6,,,131.7,142.0,17.0
2012/2013,Central Coast,0.0884976525821596,0.1936170212765957,0.3747044917257683,1.742936507936508,17.687245696400627,0.09,0.6,,,155.2,169.3,15.65
2013/2014,Central Coast,0.1,0.2222222222222222,0.5222222222222223,1.7444444444444445,15.233333333333333,0.0888888888888888,0.6,,,149.6,138.9,15.35
2014/2015,Central Coast,0.1,0.1666666666666666,0.4444444444444444,1.9222222222222225,16.233333333333334,0.0444444444444444,0.675,373.6,354.3,182.2,148.5,15.7
2015/2016,Central Coast,0.1,0.1888888888888888,0.4444444444444444,1.7555555555555555,15.833333333333334,0.0666666666666666,0.725,405.8,350.7,185.2,157.4,14.4
2016/2017,Central Coast,0.1,0.18,0.45,1.87,16.1,0.07,0.7,412.0,339.7,176.7,149.1,12.55
2017/2018,Central Coast,0.1,0.1285714285714286,0.3999999999999999,2.0285714285714285,17.985714285714288,0.0857142857142857,0.675,386.7,344.0,154.4,141.6,11.15
2018/2019,Central Coast,0.1,0.15,0.325,1.925,17.725,0.1,0.675,403.8,349.0,144.6,122.9,
2019/2020,Central Coast,0.15,0.25,0.4,1.5,12.9,0.05,0.6499999999999999,393.8,319.8,131.7,100.6,
2020/2021,Central Coast,0.15,0.175,0.325,1.8,16.975,0.075,0.6,308.3,286.1,81.1,69.8,
2021/2022,Central Coast,,,,,,,,287.7,251.0,76.1,79.8,
2022/2023,Central Coast,,,,,,,,348.8,308.1,,,
2023/2024,Central Coast,-0.1,0.15,0.15,1.55,14.45,0.05,,,,,,
2001/2002,Far West,,,,,,,,,,320.7,321.1,
2002/2003,Far West,,,,,,,,,,231.1,188.7,
2003/2004,Far West,,,,,,,,,,203.6,221.4,17.5
2004/2005,Far West,,,,,,,,,,151.2,125.9,13.85
2005/2006,Far West,,,,,,,,,,149.3,206.1,12.1
2006/2007,Far West,,,,,,,,,,209.3,248.7,11.7
2007/2008,Far West,,,,,,,,,,122.4,184.4,11.2
2008/2009,Far West,,,,,,,,,,154.8,186.3,10.8
2009/2010,Far West,,,,,,,,,,67.2,234.8,11.95
2010/2011,Far West,,,,,,,,,,177.5,178.1,15.8
2011/2012,Far West,,,,,,,,,,236.6,196.2,19.450000000000003
2012/2013,Far West,,,,,,,,,,272.1,211.7,19.05
2013/2014,Far West,,,,,,,,,,284.6,190.4,15.7
2014/2015,Far West,,,,,,,,771.9,603.0,202.4,224.7,14.6
2015/2016,Far West,,,,,,,,805.8,840.8,246.4,201.5,14.45
2016/2017,Far West,,,,,,,,897.8,857.9,234.9,175.6,13.65
2017/2018,Far West,,,,,,,,788.2,572.8,198.2,115.4,12.1
2018/2019,Far West,,,,,,,,884.7,787.1,230.0,149.4,
2019/2020,Far West,,,,,,,,692.3,459.6,127.6,186.5,
2020/2021,Far West,,,,,,,,592.1,350.1,153.4,81.5,
2021/2022,Far West,,,,,,,,689.7,349.1,104.2,36.6,
2022/2023,Far West,,,,,,,,963.7,632.8,,,
2000/2001,Hunter New England,0.225,0.6428652165776647,0.7335377435851258,1.9098001217532468,22.29196901087179,0.1607049594756754,,,,,,
2001/2002,Hunter New England,0.2375,0.7029829099687395,0.7572918904507835,1.8582126506586936,22.52887650058792,0.1591190294137902,,,,177.0,176.9,
2002/2003,Hunter New England,0.3,0.7904671350428927,0.8066092863509131,1.8467532467532468,22.43801857002781,0.1803211279539363,,,,169.6,152.4,
2003/2004,Hunter New England,0.26,0.7507845953603528,0.7788315085731353,1.9074675324675323,23.24604706444445,0.178535413668222,,,,154.5,142.6,16.75
2004/2005,Hunter New England,0.1571428571428571,0.6339843657953216,0.7232547076405496,1.9088165450941657,22.990679695112515,0.1704673494860273,,,,164.6,146.6,16.450000000000003
2005/2006,Hunter New England,0.125,0.6210226905984482,0.7288315085731354,2.001069793515837,22.412404014771752,0.1573280086878812,,,,138.4,146.7,15.45
2006/2007,Hunter New England,0.1899999999999999,0.6614549183247189,0.7384902885107493,1.8519488402784263,22.74627553319044,0.1590391203529967,,,,165.6,154.6,15.35
2007/2008,Hunter New England,0.285,0.6719073844506311,0.723766406627477,1.7520657467532468,21.93015256532051,0.168238083956448,,,,161.3,150.7,15.55
2008/2009,Hunter New England,,,,,,,,,,153.7,148.4,15.9
2009/2010,Hunter New England,0.2299999999999999,0.6981139453512999,0.7519831773521806,1.7780032467532467,22.09320485992839,0.1678207094178082,,,,161.4,146.1,16.4
2010/2011,Hunter New England,0.1028571428571428,0.6416591200751818,0.7414424084463926,1.8624007287676352,20.400753263905365,0.1618901122743771,,,,133.1,134.5,17.049999999999997
2011/2012,Hunter New England,0.08,0.5873051730809307,0.7152583353999622,1.8767532467532468,20.421161427170677,0.1754476744062311,0.55,,,142.0,144.4,16.7
2012/2013,Hunter New England,0.0666666666666666,0.5946004407186571,0.7408181644305137,1.934782823092176,23.55690187719684,0.155752172983756,0.575,,,148.3,138.8,15.45
2013/2014,Hunter New England,0.1222222222222222,0.6680271915022297,0.7740818956508606,1.849034992784993,22.375150555061868,0.1618044844192791,0.6499999999999999,,,147.5,144.2,15.4
2014/2015,Hunter New England,0.2466666666666667,0.4651146384479718,0.7071880036792318,1.9911976911976912,22.876567124024756,0.1555675287356321,0.825,455.6,445.5,146.7,136.0,16.3
2015/2016,Hunter New England,0.3777777777777777,0.564935064935065,0.7265512265512266,1.843975468975469,22.83650793650794,0.1708333333333333,1.025,475.9,459.5,162.3,158.5,17.35
2016/2017,Hunter New England,0.15,0.5104906204906206,0.6976623376623377,1.9417532467532468,22.41857142857143,0.19,1.05,505.5,495.8,184.6,174.9,17.1
2017/2018,Hunter New England,0.2571428571428572,0.4666750181035895,0.6665343011207673,2.0507884972170687,24.89387755102041,0.1696428571428571,0.975,430.7,437.2,157.7,163.6,16.549999999999997
2018/2019,Hunter New England,0.275,0.3833333333333333,0.5583333333333333,2.125,25.539285714285715,0.165625,0.875,465.9,423.3,167.0,169.8,
2019/2020,Hunter New England,0.2,0.9103228228228228,0.8210960960960961,1.4625,20.114285714285717,0.1580658783783783,0.8,470.1,407.8,144.2,154.7,
2020/2021,Hunter New England,0.2,0.55,0.5583333333333333,1.9,21.839285714285715,0.13125,0.8,400.2,366.0,110.6,115.6,
