financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"COPD deaths [f] [rate per 100,000]","COPD deaths [m] [rate per 100,000]"
2011/2012,Central Coast,0.065988695,0.306571511,0.564177291,1.586417999,13.53260401,0.064974854,24.9,33.1
2012/2013,Central Coast,0.084025033,0.268964137,0.502566255,1.719030609,16.43848962,0.077980301,27.9,37.2
2013/2014,Central Coast,0.1,0.241666667,0.516666667,1.75,15.93333333,0.091666667,24.9,40.9
2014/2015,Central Coast,0.1,0.233333333,0.466666667,1.791190021,15.15833333,0.05,25.3,43.1
2015/2016,Central Coast,0.108333333,0.216666667,0.458333333,1.691666667,15.375,0.058333333,28.2,40
2016/2017,Central Coast,0.1,0.216666667,0.491666667,1.775,15.35833333,0.058333333,33.1,39.6
2017/2018,Central Coast,0.108333333,0.175,0.441666667,1.861183124,16.81666667,0.075,33.9,40.6
2018/2019,Central Coast,0.108333333,0.216666667,0.416666667,1.733333333,17.75,0.091666667,31.6,41.1
2019/2020,Central Coast,0.143129378,0.208333333,0.358333333,1.916666667,18.57275166,0.066666667,29.6,34.8
2020/2021,Central Coast,0.133333333,0.233333333,0.35,1.716666667,14.075,0.058333333,27.9,29.3
2011/2012,Hunter New England,0.077929462,0.657925706,0.725769367,1.928749312,19.56304174,0.18776225,19.1,34.3
2012/2013,Hunter New England,0.082683023,0.561151198,0.672476505,2.119010561,22.48176986,0.165235805,21.9,34.8
2013/2014,Hunter New England,0.09256235,0.578422175,0.696342374,2.174557172,22.60521193,0.170262602,25.2,33.8
2014/2015,Hunter New England,0.119945823,0.477439897,0.637575991,2.158975234,21.95067982,0.159759564,25.4,33.9
2015/2016,Hunter New England,0.171055539,0.473678666,0.664202411,2.058007817,22.25952381,0.158328514,25.3,35
2016/2017,Hunter New England,0.095563027,0.498459922,0.658514942,2.126545983,21.76071429,0.188231816,25.4,38.9
2017/2018,Hunter New England,0.134637678,0.543571883,0.668258663,2.205529702,24.03347201,0.189219651,23.5,37.2
2018/2019,Hunter New England,0.136481937,0.556026483,0.650187306,2.191191166,25.72189241,0.185593224,24.6,32.6
2019/2020,Hunter New England,0.119742477,0.520115806,0.628147132,2.363537644,26.13616767,0.176950812,24.1,30.4
2020/2021,Hunter New England,0.090205738,0.523746698,0.535401144,1.964825406,19.75595238,0.145523767,22.4,28.6
2011/2012,Illawarra Shoalhaven,0.3,0.440909091,0.686363636,1.813636364,17.1,0.1,20.3,34
2012/2013,Illawarra Shoalhaven,0.208333333,0.384639567,0.670510573,1.766666667,18.4125,0.1,20.5,33.5
2013/2014,Illawarra Shoalhaven,0.208333333,0.385763137,0.661030103,1.9375,18.04583333,0.1,23.6,36.2
2014/2015,Illawarra Shoalhaven,0.208333333,0.355227067,0.590973556,1.9125,17.2875,0.1,25.1,34.7
2015/2016,Illawarra Shoalhaven,0.208333333,0.3625,0.629166667,1.868308702,18.75833333,0.1,24.9,34.7
2016/2017,Illawarra Shoalhaven,0.2,0.341666667,0.545833333,1.95,18.725,0.1,27.3,34.2
2017/2018,Illawarra Shoalhaven,0.175,0.370833333,0.5375,2.022397958,20.4625,0.1,25,30.4
2018/2019,Illawarra Shoalhaven,0.191666667,0.353806033,0.570634935,1.941666667,21.31693799,0.1,24.2,28.4
2019/2020,Illawarra Shoalhaven,0.208333333,0.304166667,0.533333333,2.0125,22.03333333,0.1,24.5,30.5
2020/2021,Illawarra Shoalhaven,0.2,0.3375,0.45,1.829166667,17.84583333,0.1,23.2,31.2
2011/2012,Mid North Coast,0.104596084,0.027226492,0.226308538,1.680972417,NA,0.026418037,18.8,38.8
2012/2013,Mid North Coast,0.13022383,0.012109062,0.193239672,1.796691393,NA,0,20,40
2013/2014,Mid North Coast,0.156208304,0.056414617,0.260004465,1.796701931,NA,0.031410145,25.9,38.4
2014/2015,Mid North Coast,0.16032243,0.085874899,0.26024422,1.885240128,NA,0.02468267,24.5,33.7
2015/2016,Mid North Coast,0.183427717,0.164317611,0.31942314,1.922582785,NA,0.098480653,21,35.3
2016/2017,Mid North Coast,0.167764746,0.098944437,0.279601446,2.033003849,NA,0.038525026,22.5,38.9
2017/2018,Mid North Coast,0.187219373,0.125496012,0.246269537,1.760193893,NA,0.039191053,24.4,36.5
2018/2019,Mid North Coast,0.189461795,0.210351095,0.295979934,1.847432235,NA,0.07301393,29,36.2
2019/2020,Mid North Coast,0.175655189,0.133531907,0.327615387,2.081921468,NA,0.037168988,25.9,32.4
2020/2021,Mid North Coast,0.123380198,0.145022954,0.315671099,1.816952725,NA,0,22.9,27.5
2011/2012,Murrumbidgee,NA,0.289187465,0.280703633,1.761114718,22.11909139,0.045454545,19.9,35
2012/2013,Murrumbidgee,NA,0.154949799,0.354812896,1.963496819,21.14797918,0.058333333,19.7,33.8
2013/2014,Murrumbidgee,NA,0.138776145,0.366569553,2.050154654,21.63404586,0.1,21.5,35.8
2014/2015,Murrumbidgee,NA,0.175515645,0.286453196,1.955223618,20.71732413,0.05,26.9,39.2
2015/2016,Murrumbidgee,NA,0.142709877,0.301990873,1.899084235,25.82917279,0.083333333,31.4,36.2
2016/2017,Murrumbidgee,NA,0.170911468,0.337211778,1.933791342,24.0773466,0.05,28.2,31.9
2017/2018,Murrumbidgee,NA,0.165138513,0.329148359,1.948036622,30.79897102,0.075,23,35.8
2018/2019,Murrumbidgee,NA,0.195484941,0.326116258,1.887140038,29.250467,0.083333333,27.9,38.2
2019/2020,Murrumbidgee,NA,0.234756244,0.365028189,2.093052094,27.416068,0.041666667,29,34.7
2020/2021,Murrumbidgee,NA,0.201274704,0.328970058,1.801720241,29.48837935,0.016666667,24.8,34.3
2011/2012,Nepean Blue Mountains,0.092482912,0.219764291,0.491245566,1.7592003,13.15454545,0.061589842,26.3,28.6
2012/2013,Nepean Blue Mountains,0.160961471,0.17647787,0.477470595,1.919795416,16.16666667,0.054501969,26.9,30.7
2013/2014,Nepean Blue Mountains,0.124655741,0.201323366,0.475670411,2.066816188,16.71072247,0.036600782,26.4,33
2014/2015,Nepean Blue Mountains,0.085368258,0.210391607,0.440610985,1.994593227,15.15299638,0.028445744,28.4,35.2
2015/2016,Nepean Blue Mountains,0.072887352,0.214004294,0.434917569,1.979575934,16.13333333,0.0167664,27.7,39.4
