financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma edp [f],asthma edp [m],asthma hospitalisations [f],asthma hospitalisations [m],copd deaths [f],copd deaths [m],copd hospitalisations [f],copd hospitalisations [m],iap deaths [f],iap deaths [m],iap hospitalisations [f],iap hospitalisations [m]
2014/2015,Central Coast,0.1,0.233333333,0.466666667,1.791190021,15.15833333,0.05,373.6,354.3,145.65,86.75,25.3,43.1,277,315.9,9.4,11.5,269,402.9
2014/2015,Hunter New England,0.119945823,0.477439897,0.637575991,2.158975234,21.95067982,0.159759564,455.6,445.5,130.1,84.9,25.4,33.9,239.3,279.4,8.3,11.3,317.4,391
2014/2015,Illawarra Shoalhaven,0.208333333,0.355227067,0.590973556,1.9125,17.2875,0.1,410.1,383.6,104.925,58.7,25.1,34.7,248.2,270.3,8.2,7.3,313.6,387.5
2014/2015,Mid North Coast,0.16032243,0.085874899,0.26024422,1.885240128,18.51193545,0.02468267,495.6,478.8,143.15,99.725,24.5,33.7,289.7,303.9,8.5,12.3,342.3,399.9
2014/2015,Murrumbidgee,0.133039168,0.175515645,0.286453196,1.955223618,20.71732413,0.05,652.8,618.8,237.75,144.65,26.9,39.2,413.6,420.6,8.6,10.1,403.3,562.2
2014/2015,Nepean Blue Mountains,0.085368258,0.210391607,0.440610985,1.994593227,15.15299638,0.028445744,447,379.1,166.6,110.6,28.4,35.2,241.1,289.6,9.7,11.6,320.3,392.5
2014/2015,Northern Sydney,0.127040388,0.347910016,0.77742311,1.709914487,13.95833333,0.028433736,221.3,283,99.375,77.775,12.3,14.3,120.8,128,8.7,9.2,264.6,306.7
2014/2015,South Eastern Sydney,0.247622571,2.983694988,1.422863153,1.338054393,18.9,0.112179723,279.4,308.4,112.825,84.725,13.6,20.3,123.3,154.2,7,8.5,251.1,309
2014/2015,South Western Sydney,0.237809992,0.606250846,0.680951438,1.820782008,16.35625,0.038214131,341.8,364.8,155.3,114.525,19,29.3,191.1,256.2,6.3,7.5,297.4,339.4
2014/2015,Southern NSW,0.133039168,0.218916514,0.359933121,2.158355669,18.51193545,0.06881431,428.6,403.3,106.025,70.575,32.9,33.4,219.1,267,8.8,13,315.8,371.9
2014/2015,Sydney,0.142158613,0.846561212,0.989978862,1.553116116,17.72916667,0.035321177,263,283.1,105.4,80.875,11.1,29.5,148.7,238.9,7.2,7.9,261.7,336
2014/2015,Western NSW,0.003785785,0.149165477,0.173631391,2.242703419,18.51193545,0.06881431,459.5,376.7,133.1,83.55,31.1,48.7,369,376.1,8.7,9.3,398,483.2
2014/2015,Western Sydney,0.178954309,0.815664229,0.926827836,1.726750657,18.51193545,0.066216701,307.1,321.1,167.725,131.725,16.3,31.9,207.1,288.3,8.3,9,302.3,335.9
2015/2016,Central Coast,0.108333333,0.216666667,0.458333333,1.691666667,15.375,0.058333333,405.8,350.7,147.75,91.275,28.2,40,301.9,288.7,9.9,10.2,298.5,404.2
2015/2016,Hunter New England,0.171055539,0.473678666,0.664202411,2.058007817,22.25952381,0.158328514,475.9,459.5,136.25,95.8,25.3,35,235,293.3,8.3,8.6,312.2,398.7
2015/2016,Illawarra Shoalhaven,0.208333333,0.3625,0.629166667,1.868308702,18.75833333,0.1,458.7,392.5,137.275,76.75,24.9,34.7,233,245.4,7.5,9,296.9,350.1
2015/2016,Mid North Coast,0.183427717,0.164317611,0.31942314,1.922582785,18.51193545,0.098480653,487.5,517.4,102.575,97.475,21,35.3,292,355.1,6.7,11.5,357,451.9
