year-month,lhd,NO pphm,NO2 pphm,OZONE pphm,asthma edp
2014-07,Central Coast,0.5,0.6,1.7,26.1
2014-08,Central Coast,0.3,0.6,1.9,33.4
2014-09,Central Coast,0.2,0.6,2.0,24.1
2014-10,Central Coast,0.2,0.5,2.3,24.0
2014-11,Central Coast,0.0,0.3,2.4,25.0
2014-12,Central Coast,0.0,0.3,2.1,26.2
2015-01,Central Coast,0.0,0.2,1.8,20.6
2015-02,Central Coast,0.2,0.3,1.4,35.9
2015-03,Central Coast,0.1,0.4,1.8,38.3
2015-04,Central Coast,0.3,0.5,1.6,34.5
2015-05,Central Coast,0.4,0.6,1.4,43.6
2015-06,Central Coast,0.6,0.7,1.0942802520307142,34.4
2015-07,Central Coast,0.4,0.6,1.5,32.6
2015-08,Central Coast,0.2,0.6,1.6,38.6
2015-09,Central Coast,0.1,0.5,2.0,34.3
2015-10,Central Coast,0.1,0.5,2.2,25.7
2015-11,Central Coast,0.1,0.4,2.1,28.0
2015-12,Central Coast,0.1,0.3,1.7,36.2
2016-01,Central Coast,0.1,0.3,1.7,20.4
2016-02,Central Coast,0.1,0.3,1.8,28.6
2016-03,Central Coast,0.3,0.3,1.4,25.1
2016-04,Central Coast,0.3,0.5,1.5,33.0
2016-05,Central Coast,0.3,0.6,1.4,40.3
2016-06,Central Coast,0.5,0.6,1.4,37.4
2016-07,Central Coast,0.4,0.5,1.5,27.3
2016-08,Central Coast,0.3,0.6,1.6,38.1
2016-09,Central Coast,0.2,0.6,1.8,34.9
2016-10,Central Coast,0.1,0.4,2.0,29.2
2016-11,Central Coast,0.1,0.4,2.2,20.4
2016-12,Central Coast,0.1,0.4,2.3,23.9
2017-01,Central Coast,0.1,0.3,2.0,17.2
2017-02,Central Coast,0.1,0.4,2.2,31.7
2017-03,Central Coast,0.2,0.4,1.6,31.7
2017-04,Central Coast,0.2,0.5,1.5,40.0
2017-05,Central Coast,0.4,0.7,1.3,50.6
2017-06,Central Coast,0.4,0.7,1.3,33.0
2017-07,Central Coast,0.4,0.6,1.6,29.5
2017-08,Central Coast,0.2,0.6,2.0,35.1
2017-09,Central Coast,0.2,0.6,2.3,27.4
2017-10,Central Coast,0.1,0.4,2.4,24.5
2017-11,Central Coast,0.1,0.3,1.9,35.0
2017-12,Central Coast,0.1,0.3,2.1,30.3
2018-01,Central Coast,0.1,0.3,1.8,19.3
2018-02,Central Coast,0.1,0.3,1.6,30.8
2018-03,Central Coast,0.1,0.3,1.9,28.3
2018-04,Central Coast,0.1,0.4,1.8,30.4
2018-05,Central Coast,0.3,0.6,1.4341974903640269,39.9
2018-06,Central Coast,0.3,0.6,1.5,37.5
2018-07,Central Coast,0.5,0.7,1.5,34.4
2018-08,Central Coast,0.3,0.7,1.9,28.5
2018-09,Central Coast,0.2,0.5,2.0,26.4
2018-10,Central Coast,0.1,0.4,2.1,23.2
2018-11,Central Coast,0.1,0.3,2.0,26.7
2018-12,Central Coast,0.1,0.2,1.9,27.7
2019-01,Central Coast,0.1,0.3,1.9,24.2
2019-02,Central Coast,0.2,0.2,1.7,40.6
2019-03,Central Coast,0.1,0.3,1.7,31.3
2019-04,Central Coast,0.2,0.4,1.4,30.7
2019-05,Central Coast,0.4,0.5,1.3,39.1
2019-06,Central Coast,0.3,0.5,1.4,46.0
2019-07,Central Coast,0.4,0.5,1.6,33.8
2019-08,Central Coast,0.2,0.4,2.0,28.7
2019-09,Central Coast,0.3,0.4,2.0,25.9
2019-10,Central Coast,0.1,0.4,2.2,23.4
2019-11,Central Coast,0.1,0.3,2.4,35.5
