financial year,lhd,"rate per 100,000 population"
2002/2003,Central Coast,12025.0
2003/2004,Central Coast,12200.0
2004/2005,Central Coast,12900.0
2005/2006,Central Coast,12662.5
2006/2007,Central Coast,11737.5
2007/2008,Central Coast,10725.0
2008/2009,Central Coast,10550.0
2009/2010,Central Coast,11812.5
2010/2011,Central Coast,11962.5
2014/2015,Central Coast,9562.5
2015/2016,Central Coast,9200.0
2016/2017,Central Coast,8762.5
2017/2018,Central Coast,8100.0
2018/2019,Central Coast,7700.0
2019/2020,Central Coast,8491.666666666666
2020/2021,Central Coast,9283.333333333334
2021/2022,Central Coast,10075.0
2022/2023,Central Coast,10866.666666666666
2023/2024,Central Coast,11658.333333333332
2002/2003,Far West,12450.0
2003/2004,Far West,12112.5
2004/2005,Far West,10000.0
2005/2006,Far West,8462.5
2006/2007,Far West,7425.0
2007/2008,Far West,6850.0
2008/2009,Far West,7325.0
2009/2010,Far West,8725.0
2010/2011,Far West,10675.0
2014/2015,Far West,8350.0
2015/2016,Far West,8212.5
2016/2017,Far West,7887.5
2017/2018,Far West,7425.0
2018/2019,Far West,7475.0
2019/2020,Far West,8183.333333333333
2020/2021,Far West,8891.666666666666
2021/2022,Far West,9600.0
2022/2023,Far West,10308.333333333334
2023/2024,Far West,11016.666666666668
2002/2003,Hunter New England,11725.0
2003/2004,Hunter New England,11662.5
2004/2005,Hunter New England,11387.5
2005/2006,Hunter New England,10762.5
2006/2007,Hunter New England,10850.0
2007/2008,Hunter New England,11287.5
2008/2009,Hunter New England,11500.0
2009/2010,Hunter New England,11725.0
2010/2011,Hunter New England,11687.5
2014/2015,Hunter New England,9562.5
2015/2016,Hunter New England,9962.5
2016/2017,Hunter New England,10037.5
2017/2018,Hunter New England,9937.5
2018/2019,Hunter New England,9950.0
2019/2020,Hunter New England,9991.666666666666
2020/2021,Hunter New England,10033.333333333334
2021/2022,Hunter New England,10075.0
2022/2023,Hunter New England,10116.666666666666
2023/2024,Hunter New England,10158.333333333334
2002/2003,Illawarra Shoalhaven,10200.0
2003/2004,Illawarra Shoalhaven,9787.5
2004/2005,Illawarra Shoalhaven,9212.5
2005/2006,Illawarra Shoalhaven,9700.0
2006/2007,Illawarra Shoalhaven,10512.5
2007/2008,Illawarra Shoalhaven,10675.0
2008/2009,Illawarra Shoalhaven,9775.0
2009/2010,Illawarra Shoalhaven,9537.5
2010/2011,Illawarra Shoalhaven,9862.5
2014/2015,Illawarra Shoalhaven,7250.0
2015/2016,Illawarra Shoalhaven,6937.5
2016/2017,Illawarra Shoalhaven,6725.0
2017/2018,Illawarra Shoalhaven,7062.5
2018/2019,Illawarra Shoalhaven,7600.0
2019/2020,Illawarra Shoalhaven,8129.166666666667
2020/2021,Illawarra Shoalhaven,8658.333333333334
2021/2022,Illawarra Shoalhaven,9187.5
