financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population","Persons rate per 100,000 population"
2014/2015,Central Coast,9.4,11.5,10.2
2015/2016,Central Coast,9.9,10.2,10.1
2016/2017,Central Coast,11.1,11.4,11.3
2017/2018,Central Coast,9.7,13.3,11.3
2018/2019,Central Coast,7.8,13.3,10.1
2019/2020,Central Coast,7.2,11.2,9.0
2020/2021,Central Coast,4.8,7.5,6.1
2021/2022,Central Coast,5.675,8.45,6.975
2022/2023,Central Coast,6.550000000000001,9.4,7.85
2023/2024,Central Coast,7.425000000000001,10.350000000000001,8.725
2014/2015,Hunter New England,8.3,11.3,9.6
2015/2016,Hunter New England,8.3,8.6,8.4
2016/2017,Hunter New England,11.8,12.5,12.2
2017/2018,Hunter New England,11.4,14.3,12.7
2018/2019,Hunter New England,9.9,10.4,10.2
2019/2020,Hunter New England,7.6,7.3,7.5
2020/2021,Hunter New England,4.6,5.8,5.1
2021/2022,Hunter New England,5.5,6.175,5.8
2022/2023,Hunter New England,6.3999999999999995,6.55,6.5
2023/2024,Hunter New England,7.299999999999999,6.925,7.2
2014/2015,Illawarra Shoalhaven,8.2,7.3,7.9
2015/2016,Illawarra Shoalhaven,7.5,9.0,8.3
2016/2017,Illawarra Shoalhaven,9.4,12.5,10.7
2017/2018,Illawarra Shoalhaven,9.1,12.9,10.7
2018/2019,Illawarra Shoalhaven,10.1,10.4,10.4
2019/2020,Illawarra Shoalhaven,9.1,7.7,8.6
2020/2021,Illawarra Shoalhaven,4.8,6.5,5.5
2021/2022,Illawarra Shoalhaven,5.725,7.95,6.65
2022/2023,Illawarra Shoalhaven,6.65,9.4,7.8
2023/2024,Illawarra Shoalhaven,7.575,10.850000000000001,8.95
2014/2015,Mid North Coast,8.5,12.3,10.1
2015/2016,Mid North Coast,6.7,11.5,8.7
2016/2017,Mid North Coast,6.7,9.2,7.8
2017/2018,Mid North Coast,8.7,8.8,8.6
2018/2019,Mid North Coast,9.1,8.8,8.8
2019/2020,Mid North Coast,8.7,6.4,7.6
2020/2021,Mid North Coast,5.3,4.2,4.9
2021/2022,Mid North Coast,6.125,5.675,6.075
2022/2023,Mid North Coast,6.949999999999999,7.15,7.25
2023/2024,Mid North Coast,7.7749999999999995,8.625,8.425
2014/2015,Murrumbidgee,8.6,10.1,9.6
2015/2016,Murrumbidgee,7.4,13.4,10.4
2016/2017,Murrumbidgee,7.9,16.7,11.9
2017/2018,Murrumbidgee,8.7,11.8,10.0
2018/2019,Murrumbidgee,9.2,8.2,8.8
2019/2020,Murrumbidgee,8.0,6.3,7.4
2020/2021,Murrumbidgee,5.8,5.2,5.5
2021/2022,Murrumbidgee,6.7749999999999995,6.8,6.775
2022/2023,Murrumbidgee,7.75,8.4,8.05
2023/2024,Murrumbidgee,8.725,10.0,9.325
2014/2015,Nepean Blue Mountains,9.7,11.6,10.6
2015/2016,Nepean Blue Mountains,13.2,14.0,13.7
2016/2017,Nepean Blue Mountains,14.9,12.4,14.0
2017/2018,Nepean Blue Mountains,11.4,12.9,12.0
2018/2019,Nepean Blue Mountains,9.4,13.0,10.9
2019/2020,Nepean Blue Mountains,8.0,12.0,9.6
2020/2021,Nepean Blue Mountains,6.3,9.0,7.3
2021/2022,Nepean Blue Mountains,6.7749999999999995,9.1,7.6499999999999995
2022/2023,Nepean Blue Mountains,7.25,9.2,8.0
2023/2024,Nepean Blue Mountains,7.725,9.3,8.35
