financial year,lhd,"rate per 100,000 population"
2014/2015,Central Coast,0.675
2014/2015,Hunter New England,0.825
2014/2015,Illawarra Shoalhaven,0.65
2014/2015,Mid North Coast,0.75
2014/2015,Murrumbidgee,0.975
2014/2015,Nepean Blue Mountains,1.0
2014/2015,Northern NSW,0.825
2014/2015,Northern Sydney,0.55
2014/2015,South Eastern Sydney,0.5
2014/2015,South Western Sydney,0.75
2014/2015,Southern NSW,0.9
2014/2015,Sydney,0.85
2014/2015,Western NSW,1.4
2014/2015,Western Sydney,0.9
2015/2016,Central Coast,0.725
2015/2016,Hunter New England,1.025
2015/2016,Illawarra Shoalhaven,0.7
2015/2016,Mid North Coast,0.55
2015/2016,Murrumbidgee,1.05
2015/2016,Nepean Blue Mountains,1.0
2015/2016,Northern NSW,0.825
2015/2016,Northern Sydney,0.6499999999999999
2015/2016,South Eastern Sydney,0.55
2015/2016,South Western Sydney,0.875
2015/2016,Southern NSW,0.875
2015/2016,Sydney,0.575
2015/2016,Western NSW,1.25
2015/2016,Western Sydney,1.0
2016/2017,Central Coast,0.7
2016/2017,Hunter New England,1.05
2016/2017,Illawarra Shoalhaven,0.75
2016/2017,Mid North Coast,0.42500000000000004
2016/2017,Murrumbidgee,1.2000000000000002
2016/2017,Nepean Blue Mountains,1.15
2016/2017,Northern NSW,0.95
2016/2017,Northern Sydney,0.625
2016/2017,South Eastern Sydney,0.6499999999999999
2016/2017,South Western Sydney,1.025
2016/2017,Southern NSW,0.8
2016/2017,Sydney,0.375
2016/2017,Western NSW,1.2000000000000002
2016/2017,Western Sydney,1.025
2017/2018,Central Coast,0.675
2017/2018,Hunter New England,0.975
2017/2018,Illawarra Shoalhaven,0.725
2017/2018,Mid North Coast,0.525
2017/2018,Murrumbidgee,1.3250000000000002
2017/2018,Nepean Blue Mountains,1.2
2017/2018,Northern NSW,1.175
2017/2018,Northern Sydney,0.45
2017/2018,South Eastern Sydney,0.675
2017/2018,South Western Sydney,1.1
2017/2018,Southern NSW,0.7
2017/2018,Sydney,0.425
2017/2018,Western NSW,1.25
2017/2018,Western Sydney,0.9
2018/2019,Central Coast,0.675
2018/2019,Hunter New England,0.875
2018/2019,Illawarra Shoalhaven,0.625
2018/2019,Mid North Coast,0.725
2018/2019,Murrumbidgee,1.425
2018/2019,Nepean Blue Mountains,1.075
2018/2019,Northern NSW,1.35
2018/2019,Northern Sydney,0.3
2018/2019,South Eastern Sydney,0.65
2018/2019,South Western Sydney,1.025
2018/2019,Southern NSW,0.625
2018/2019,Sydney,0.525
2018/2019,Western NSW,1.2999999999999998
2018/2019,Western Sydney,0.725
2019/2020,Central Coast,0.6499999999999999
2019/2020,Hunter New England,0.8
2019/2020,Illawarra Shoalhaven,0.55
2019/2020,Mid North Coast,0.85
2019/2020,Murrumbidgee,1.425
2019/2020,Nepean Blue Mountains,0.775
2019/2020,Northern NSW,1.175
2019/2020,Northern Sydney,0.3
2019/2020,South Eastern Sydney,0.6000000000000001
2019/2020,South Western Sydney,0.8500000000000001
2019/2020,Southern NSW,0.55
2019/2020,Sydney,0.6000000000000001
2019/2020,Western NSW,1.325
2019/2020,Western Sydney,0.675
2020/2021,Central Coast,0.6
2020/2021,Hunter New England,0.8
2020/2021,Illawarra Shoalhaven,0.55
2020/2021,Mid North Coast,0.85
2020/2021,Murrumbidgee,1.35
2020/2021,Nepean Blue Mountains,0.55
2020/2021,Northern NSW,1.0
2020/2021,Northern Sydney,0.35
2020/2021,South Eastern Sydney,0.55
2020/2021,South Western Sydney,0.8
2020/2021,Southern NSW,0.5
2020/2021,Sydney,0.65
2020/2021,Western NSW,1.25
2020/2021,Western Sydney,0.65
2021/2022,Central Coast,0.65
2021/2022,Hunter New England,0.65
2021/2022,Illawarra Shoalhaven,0.65
2021/2022,Mid North Coast,0.65
2021/2022,Murrumbidgee,0.65
2021/2022,Nepean Blue Mountains,0.65
2021/2022,Northern NSW,0.65
2021/2022,Northern Sydney,0.65
2021/2022,South Eastern Sydney,0.65
2021/2022,South Western Sydney,0.65
2021/2022,Southern NSW,0.65
2021/2022,Sydney,0.65
2021/2022,Western NSW,0.65
2021/2022,Western Sydney,0.65
2022/2023,Central Coast,0.65
2022/2023,Hunter New England,0.65
2022/2023,Illawarra Shoalhaven,0.65
2022/2023,Mid North Coast,0.65
2022/2023,Murrumbidgee,0.65
2022/2023,Nepean Blue Mountains,0.65
2022/2023,Northern NSW,0.65
2022/2023,Northern Sydney,0.65
2022/2023,South Eastern Sydney,0.65
2022/2023,South Western Sydney,0.65
2022/2023,Southern NSW,0.65
2022/2023,Sydney,0.65
2022/2023,Western NSW,0.65
2022/2023,Western Sydney,0.65
2023/2024,Central Coast,0.65
2023/2024,Hunter New England,0.65
2023/2024,Illawarra Shoalhaven,0.65
2023/2024,Mid North Coast,0.65
2023/2024,Murrumbidgee,0.65
2023/2024,Nepean Blue Mountains,0.65
2023/2024,Northern NSW,0.65
2023/2024,Northern Sydney,0.65
2023/2024,South Eastern Sydney,0.65
2023/2024,South Western Sydney,0.65
2023/2024,Southern NSW,0.65
2023/2024,Sydney,0.65
2023/2024,Western NSW,0.65
2023/2024,Western Sydney,0.65
