financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population","Persons rate per 100,000 population"
2014/2015,Central Coast,25.3,43.1,33.0
2015/2016,Central Coast,28.2,40.0,33.1
2016/2017,Central Coast,33.1,39.6,35.5
2017/2018,Central Coast,33.9,40.6,36.4
2018/2019,Central Coast,31.6,41.1,35.4
2019/2020,Central Coast,29.6,34.8,31.7
2020/2021,Central Coast,27.9,29.3,28.3
2021/2022,Central Coast,27.875,36.75,31.175
2022/2023,Central Coast,27.85,44.2,34.05
2023/2024,Central Coast,27.825,51.650000000000006,36.925
2014/2015,Far West,27.8,59.1,39.8
2015/2016,Far West,25.8,60.6,39.6
2016/2017,Far West,18.9,46.1,31.9
2017/2018,Far West,20.7,52.7,36.1
2018/2019,Far West,28.1,50.2,38.2
2019/2020,Far West,36.3,56.6,43.6
2020/2021,Far West,27.5,54.9,38.9
2021/2022,Far West,26.975,49.65,36.375
2022/2023,Far West,26.45,44.4,33.85
2023/2024,Far West,25.924999999999997,39.15,31.325
2014/2015,Hunter New England,25.4,33.9,28.8
2015/2016,Hunter New England,25.3,35.0,29.2
2016/2017,Hunter New England,25.4,38.9,31.0
2017/2018,Hunter New England,23.5,37.2,29.4
2018/2019,Hunter New England,24.6,32.6,28.0
2019/2020,Hunter New England,24.1,30.4,26.8
2020/2021,Hunter New England,22.4,28.6,25.2
2021/2022,Hunter New England,23.075,30.125,26.175
2022/2023,Hunter New England,23.75,31.650000000000002,27.15
2023/2024,Hunter New England,24.425,33.175000000000004,28.125
2014/2015,Illawarra Shoalhaven,25.1,34.7,29.1
2015/2016,Illawarra Shoalhaven,24.9,34.7,29.1
2016/2017,Illawarra Shoalhaven,27.3,34.2,30.3
2017/2018,Illawarra Shoalhaven,25.0,30.4,27.4
2018/2019,Illawarra Shoalhaven,24.2,28.4,25.9
2019/2020,Illawarra Shoalhaven,24.5,30.5,26.9
2020/2021,Illawarra Shoalhaven,23.2,31.2,26.8
2021/2022,Illawarra Shoalhaven,23.525,31.825,27.15
2022/2023,Illawarra Shoalhaven,23.85,32.45,27.5
2023/2024,Illawarra Shoalhaven,24.175,33.075,27.85
2014/2015,Mid North Coast,24.5,33.7,28.2
2015/2016,Mid North Coast,21.0,35.3,27.4
2016/2017,Mid North Coast,22.5,38.9,29.9
2017/2018,Mid North Coast,24.4,36.5,29.7
2018/2019,Mid North Coast,29.0,36.2,31.9
2019/2020,Mid North Coast,25.9,32.4,28.6
2020/2021,Mid North Coast,22.9,27.5,24.9
2021/2022,Mid North Coast,23.9,30.425,26.65
2022/2023,Mid North Coast,24.9,33.35,28.4
2023/2024,Mid North Coast,25.9,36.275000000000006,30.15
2014/2015,Murrumbidgee,26.9,39.2,31.9
2015/2016,Murrumbidgee,31.4,36.2,33.4
2016/2017,Murrumbidgee,28.2,31.9,29.6
2017/2018,Murrumbidgee,23.0,35.8,28.7
2018/2019,Murrumbidgee,27.9,38.2,32.5
2019/2020,Murrumbidgee,29.0,34.7,31.2
2020/2021,Murrumbidgee,24.8,34.3,29.1
2021/2022,Murrumbidgee,25.7,34.525,29.525000000000002
2022/2023,Murrumbidgee,26.6,34.75,29.950000000000003
2023/2024,Murrumbidgee,27.5,34.975,30.375
2014/2015,Nepean Blue Mountains,28.4,35.2,30.8
2015/2016,Nepean Blue Mountains,27.7,39.4,32.4
2016/2017,Nepean Blue Mountains,27.1,40.6,32.4
2017/2018,Nepean Blue Mountains,26.4,33.3,28.9
2018/2019,Nepean Blue Mountains,24.3,27.1,25.2
