financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population","Persons rate per 100,000 population"
2001/2002,Central Coast,235.4,348.2,281.1
2002/2003,Central Coast,228.1,334.0,270.9
2003/2004,Central Coast,219.0,377.1,283.0
2004/2005,Central Coast,251.2,390.6,308.7
2005/2006,Central Coast,237.8,368.5,292.8
2006/2007,Central Coast,254.3,362.3,298.6
2007/2008,Central Coast,274.0,360.6,309.5
2008/2009,Central Coast,275.5,340.9,300.8
2009/2010,Central Coast,263.1,313.1,282.2
2010/2011,Central Coast,284.7,299.5,287.6
2014/2015,Central Coast,277.0,315.9,292.1
2015/2016,Central Coast,301.9,288.7,293.2
2016/2017,Central Coast,312.5,303.7,306.9
2017/2018,Central Coast,298.9,327.5,309.7
2018/2019,Central Coast,307.8,286.2,295.8
2019/2020,Central Coast,273.4,249.5,261.0
2020/2021,Central Coast,204.3,200.6,200.9
2021/2022,Central Coast,173.6,171.3,171.2
2022/2023,Central Coast,196.26666666666665,234.93333333333334,210.56666666666666
2023/2024,Central Coast,218.93333333333334,298.56666666666666,249.93333333333334
2001/2002,Far West,241.6,362.2,289.3
2002/2003,Far West,421.1,550.0,467.6
2003/2004,Far West,275.5,600.9,404.2
2004/2005,Far West,258.2,480.7,344.3
2005/2006,Far West,325.1,578.4,433.1
2006/2007,Far West,311.2,519.4,395.8
2007/2008,Far West,302.8,389.2,343.3
2008/2009,Far West,348.4,453.8,383.0
2009/2010,Far West,300.5,435.5,355.3
2010/2011,Far West,284.3,588.0,420.6
2014/2015,Far West,436.0,536.3,476.4
2015/2016,Far West,362.6,582.4,461.0
2016/2017,Far West,364.2,592.3,470.5
2017/2018,Far West,450.9,542.7,486.0
2018/2019,Far West,408.0,564.4,479.9
2019/2020,Far West,413.9,455.7,425.6
2020/2021,Far West,242.2,476.2,351.0
2021/2022,Far West,191.5,394.4,290.6
2022/2023,Far West,197.93333333333334,369.56666666666666,279.7
2023/2024,Far West,204.36666666666667,344.7333333333333,268.8
