financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population","Persons rate per 100,000 population"
2001/2002,Central Coast,198.1,294.6,239.5
2002/2003,Central Coast,213.2,317.7,258.9
2003/2004,Central Coast,217.8,308.5,258.3
2004/2005,Central Coast,190.7,278.8,229.9
2005/2006,Central Coast,208.5,321.6,258.0
2006/2007,Central Coast,215.2,270.3,237.2
2007/2008,Central Coast,198.6,306.9,245.6
2008/2009,Central Coast,241.2,280.2,256.6
2009/2010,Central Coast,221.4,285.0,248.9
2010/2011,Central Coast,251.1,330.9,286.4
2014/2015,Central Coast,269.0,402.9,329.0
2015/2016,Central Coast,298.5,404.2,345.3
2016/2017,Central Coast,260.3,324.7,287.0
2017/2018,Central Coast,343.6,421.9,376.8
2018/2019,Central Coast,339.6,420.6,376.0
2019/2020,Central Coast,336.9,409.5,369.9
2020/2021,Central Coast,185.3,219.2,199.8
2021/2022,Central Coast,201.375,253.075,223.55
2022/2023,Central Coast,217.45,286.95,247.3
2023/2024,Central Coast,233.525,320.825,271.05
2001/2002,Hunter New England,249.6,354.7,294.8
2002/2003,Hunter New England,277.4,355.9,308.8
2003/2004,Hunter New England,273.1,362.9,311.3
2004/2005,Hunter New England,272.5,371.9,314.3
2005/2006,Hunter New England,238.6,326.1,277.7
2006/2007,Hunter New England,227.3,330.3,272.6
2007/2008,Hunter New England,265.7,330.7,292.0
2008/2009,Hunter New England,229.7,323.1,270.1
2009/2010,Hunter New England,248.2,316.6,277.5
2010/2011,Hunter New England,270.2,321.5,291.4
2014/2015,Hunter New England,317.4,391.0,349.0
2015/2016,Hunter New England,312.2,398.7,351.0
2016/2017,Hunter New England,344.5,395.7,364.6
2017/2018,Hunter New England,398.8,462.5,425.3
2018/2019,Hunter New England,341.7,420.0,376.5
2019/2020,Hunter New England,325.8,381.6,350.5
2020/2021,Hunter New England,193.2,257.9,222.2
2021/2022,Hunter New England,194.5,265.125,225.7
2022/2023,Hunter New England,195.8,272.35,229.2
2023/2024,Hunter New England,197.1,279.575,232.7
2001/2002,Illawarra Shoalhaven,198.4,286.8,236.2
2002/2003,Illawarra Shoalhaven,179.1,251.4,211.1
2003/2004,Illawarra Shoalhaven,214.2,252.2,230.0
2004/2005,Illawarra Shoalhaven,225.6,293.5,254.4
2005/2006,Illawarra Shoalhaven,221.3,280.3,247.1
2006/2007,Illawarra Shoalhaven,186.3,259.6,218.4
2007/2008,Illawarra Shoalhaven,196.6,282.5,234.5
2008/2009,Illawarra Shoalhaven,247.5,335.6,286.9
2009/2010,Illawarra Shoalhaven,264.3,328.7,290.7
2010/2011,Illawarra Shoalhaven,249.2,294.4,269.3
2014/2015,Illawarra Shoalhaven,313.6,387.5,346.8
2015/2016,Illawarra Shoalhaven,296.9,350.1,320.7
2016/2017,Illawarra Shoalhaven,280.5,349.8,310.9
2017/2018,Illawarra Shoalhaven,371.2,416.8,389.2
2018/2019,Illawarra Shoalhaven,339.7,401.5,367.4
2019/2020,Illawarra Shoalhaven,340.0,395.7,363.8
2020/2021,Illawarra Shoalhaven,192.9,258.3,222.7
2021/2022,Illawarra Shoalhaven,220.125,289.125,251.3
2022/2023,Illawarra Shoalhaven,247.35000000000002,319.95000000000005,279.9
2023/2024,Illawarra Shoalhaven,274.57500000000005,350.77500000000003,308.5
2001/2002,Mid North Coast,301.8,381.6,337.1
2002/2003,Mid North Coast,332.7,427.1,376.5
2003/2004,Mid North Coast,365.0,504.8,431.3
2004/2005,Mid North Coast,337.4,421.5,373.0
2005/2006,Mid North Coast,280.8,403.7,337.5
2006/2007,Mid North Coast,278.4,389.1,328.0
2007/2008,Mid North Coast,339.7,430.9,381.9
2008/2009,Mid North Coast,357.1,391.0,372.2
2009/2010,Mid North Coast,319.0,376.8,345.2
2010/2011,Mid North Coast,292.9,340.1,311.8
2014/2015,Mid North Coast,342.3,399.9,365.6
2015/2016,Mid North Coast,357.0,451.9,399.8
2016/2017,Mid North Coast,298.2,407.4,348.7
2017/2018,Mid North Coast,355.7,428.2,388.3
2018/2019,Mid North Coast,342.1,399.1,367.9
2019/2020,Mid North Coast,341.3,392.9,365.2
2020/2021,Mid North Coast,243.3,292.6,265.0
2021/2022,Mid North Coast,265.8,335.6,296.25
2022/2023,Mid North Coast,288.3,378.6,327.5
2023/2024,Mid North Coast,310.8,421.6,358.75
2001/2002,Murrumbidgee,333.3,464.6,390.0
2002/2003,Murrumbidgee,368.0,534.8,442.2
2003/2004,Murrumbidgee,401.5,475.2,429.4
2004/2005,Murrumbidgee,369.5,485.3,417.5
2005/2006,Murrumbidgee,357.2,509.7,431.3
2006/2007,Murrumbidgee,327.0,421.8,367.9
2007/2008,Murrumbidgee,400.6,484.8,436.3
2008/2009,Murrumbidgee,374.6,465.7,413.0
2009/2010,Murrumbidgee,352.8,446.1,395.2
2010/2011,Murrumbidgee,433.8,520.0,469.7
2014/2015,Murrumbidgee,403.3,562.2,476.8
2015/2016,Murrumbidgee,436.5,577.6,501.6
2016/2017,Murrumbidgee,470.3,536.3,499.3
2017/2018,Murrumbidgee,498.7,590.3,540.2
2018/2019,Murrumbidgee,487.7,574.7,526.1
2019/2020,Murrumbidgee,479.1,509.6,489.9
2020/2021,Murrumbidgee,262.2,377.6,316.8
2021/2022,Murrumbidgee,262.625,385.75,319.0
2022/2023,Murrumbidgee,263.04999999999995,393.9,321.20000000000005
2023/2024,Murrumbidgee,263.47499999999997,402.05,323.40000000000003
2001/2002,Nepean Blue Mountains,263.9,410.2,325.6
2002/2003,Nepean Blue Mountains,293.1,344.1,314.8
2003/2004,Nepean Blue Mountains,290.7,362.0,323.7
