"Respiratory disease hospitalisations by Disease type, Sex and LHD",,,,,,
Disease type,Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Influenza and pneumonia,Males,Sydney LHD,1-Feb,345,319.8,371.7
Influenza and pneumonia,Males,Sydney LHD,2-Mar,349.1,323.2,376.6
Influenza and pneumonia,Males,Sydney LHD,3-Apr,362.4,335.1,391.3
Influenza and pneumonia,Males,Sydney LHD,4-May,364.8,337.5,393.7
Influenza and pneumonia,Males,Sydney LHD,5-Jun,285.2,262.7,309
Influenza and pneumonia,Males,Sydney LHD,6-Jul,301.6,279.1,325.3
Influenza and pneumonia,Males,Sydney LHD,7-Aug,291.4,269.6,314.4
Influenza and pneumonia,Males,Sydney LHD,8-Sep,249.4,229.7,270.3
Influenza and pneumonia,Males,Sydney LHD,9-Oct,257.6,238,278.5
Influenza and pneumonia,Males,Sydney LHD,10-Nov,279.2,258.8,300.7
Influenza and pneumonia,Males,Sydney LHD,11-Dec,311.2,289.9,333.6
Influenza and pneumonia,Males,Sydney LHD,Dec-13,284.5,264.4,305.6
Influenza and pneumonia,Males,Sydney LHD,13/14,265.5,246.4,285.6
Influenza and pneumonia,Males,Sydney LHD,14/15,336,314.8,358.2
Influenza and pneumonia,Males,Sydney LHD,15/16,337.7,316.8,359.7
Influenza and pneumonia,Males,Sydney LHD,16/17,378.7,356.7,401.7
Influenza and pneumonia,Males,Sydney LHD,17/18,426.5,403.4,450.7
Influenza and pneumonia,Males,Sydney LHD,18/19,395.2,373.1,418.3
Influenza and pneumonia,Males,Sydney LHD,19/20,398.3,376.3,421.3
Influenza and pneumonia,Males,Sydney LHD,20/21,233.6,216.9,251.2
Influenza and pneumonia,Males,Sydney LHD,21/22,479.9,456.4,504.2
Influenza and pneumonia,Males,South Western Sydney LHD,1-Feb,343.3,321.9,365.7
Influenza and pneumonia,Males,South Western Sydney LHD,2-Mar,326.7,306.3,348.1
Influenza and pneumonia,Males,South Western Sydney LHD,3-Apr,342.7,322.2,364.3
Influenza and pneumonia,Males,South Western Sydney LHD,4-May,302.8,283.7,322.8
Influenza and pneumonia,Males,South Western Sydney LHD,5-Jun,255.1,237.9,273.3
Influenza and pneumonia,Males,South Western Sydney LHD,6-Jul,270.5,252.7,289.2
Influenza and pneumonia,Males,South Western Sydney LHD,7-Aug,301,282.9,320
Influenza and pneumonia,Males,South Western Sydney LHD,8-Sep,300.2,282.3,318.9
Influenza and pneumonia,Males,South Western Sydney LHD,9-Oct,280.4,263.7,297.9
Influenza and pneumonia,Males,South Western Sydney LHD,10-Nov,296.4,279.4,314.2
Influenza and pneumonia,Males,South Western Sydney LHD,11-Dec,332.4,314.6,351
Influenza and pneumonia,Males,South Western Sydney LHD,Dec-13,295.5,278.9,312.9
Influenza and pneumonia,Males,South Western Sydney LHD,13/14,291,274.8,307.8
Influenza and pneumonia,Males,South Western Sydney LHD,14/15,339.4,322.1,357.4
Influenza and pneumonia,Males,South Western Sydney LHD,15/16,361.1,343.6,379.2
Influenza and pneumonia,Males,South Western Sydney LHD,16/17,386.5,368.6,404.9
Influenza and pneumonia,Males,South Western Sydney LHD,17/18,435.8,417.2,455.1
Influenza and pneumonia,Males,South Western Sydney LHD,18/19,414.3,396.4,432.7
Influenza and pneumonia,Males,South Western Sydney LHD,19/20,384.8,367.9,402.4
