financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population"
2001/2002,Central Coast,211.5,204.6
2001/2002,Far West,320.7,321.1
2001/2002,Hunter New England,177.0,176.9
2001/2002,Illawarra Shoalhaven,103.6,121.4
2001/2002,Mid North Coast,179.7,199.1
2001/2002,Murrumbidgee,267.9,228.8
2001/2002,Nepean Blue Mountains,156.1,161.1
2001/2002,Northern NSW,222.6,226.6
2001/2002,Northern Sydney,110.2,119.9
2001/2002,South Eastern Sydney,146.1,167.6
2001/2002,South Western Sydney,158.5,162.4
2001/2002,Southern NSW,192.9,160.5
2001/2002,Sydney,148.8,150.9
2001/2002,Western NSW,309.5,260.5
2001/2002,Western Sydney,135.7,143.6
2002/2003,Central Coast,166.1,167.2
2002/2003,Far West,231.1,188.7
2002/2003,Hunter New England,169.6,152.4
2002/2003,Illawarra Shoalhaven,121.0,105.1
2002/2003,Mid North Coast,175.8,179.0
2002/2003,Murrumbidgee,231.0,187.4
2002/2003,Nepean Blue Mountains,140.8,134.7
2002/2003,Northern NSW,217.6,180.3
2002/2003,Northern Sydney,92.7,110.1
2002/2003,South Eastern Sydney,130.5,149.8
2002/2003,South Western Sydney,140.8,156.5
2002/2003,Southern NSW,143.9,125.3
2002/2003,Sydney,146.6,134.4
2002/2003,Western NSW,257.7,228.8
2002/2003,Western Sydney,137.4,116.6
2003/2004,Central Coast,156.2,154.1
2003/2004,Far West,203.6,221.4
2003/2004,Hunter New England,154.5,142.6
2003/2004,Illawarra Shoalhaven,121.2,109.9
2003/2004,Mid North Coast,183.1,144.1
2003/2004,Murrumbidgee,262.2,199.2
2003/2004,Nepean Blue Mountains,133.2,135.2
2003/2004,Northern NSW,217.8,169.6
2003/2004,Northern Sydney,91.7,121.9
2003/2004,South Eastern Sydney,123.9,136.2
2003/2004,South Western Sydney,138.8,139.6
2003/2004,Southern NSW,164.4,120.7
2003/2004,Sydney,134.5,144.8
2003/2004,Western NSW,276.2,229.8
2003/2004,Western Sydney,116.0,114.9
2004/2005,Central Coast,145.3,184.7
2004/2005,Far West,151.2,125.9
2004/2005,Hunter New England,164.6,146.6
2004/2005,Illawarra Shoalhaven,131.4,125.4
2004/2005,Mid North Coast,201.6,163.4
2004/2005,Murrumbidgee,231.6,219.0
2004/2005,Nepean Blue Mountains,168.0,175.5
2004/2005,Northern NSW,182.3,204.7
2004/2005,Northern Sydney,114.5,148.7
2004/2005,South Eastern Sydney,148.7,150.1
2004/2005,South Western Sydney,142.0,149.4
2004/2005,Southern NSW,171.4,110.8
2004/2005,Sydney,134.2,151.7
2004/2005,Western NSW,207.8,204.4
2004/2005,Western Sydney,123.0,104.4
2005/2006,Central Coast,141.5,173.0
2005/2006,Far West,149.3,206.1
2005/2006,Hunter New England,138.4,146.7
2005/2006,Illawarra Shoalhaven,126.2,122.0
2005/2006,Mid North Coast,178.6,123.2
2005/2006,Murrumbidgee,235.3,247.2
2005/2006,Nepean Blue Mountains,172.2,174.7
2005/2006,Northern NSW,203.2,183.8
2005/2006,Northern Sydney,102.7,128.8
2005/2006,South Eastern Sydney,152.1,148.8
2005/2006,South Western Sydney,138.1,179.8
2005/2006,Southern NSW,159.4,108.8
2005/2006,Sydney,125.7,150.7
2005/2006,Western NSW,278.2,229.2
2005/2006,Western Sydney,113.5,121.4
2006/2007,Central Coast,142.8,131.1
2006/2007,Far West,209.3,248.7
2006/2007,Hunter New England,165.6,154.6
2006/2007,Illawarra Shoalhaven,148.1,160.2
2006/2007,Mid North Coast,180.9,168.5
2006/2007,Murrumbidgee,210.8,185.1
2006/2007,Nepean Blue Mountains,180.8,198.7
2006/2007,Northern NSW,171.4,180.7
2006/2007,Northern Sydney,114.5,134.9
2006/2007,South Eastern Sydney,137.7,163.0
2006/2007,South Western Sydney,164.9,177.7
2006/2007,Southern NSW,145.1,119.6
2006/2007,Sydney,153.6,149.1
2006/2007,Western NSW,205.8,164.9
2006/2007,Western Sydney,132.9,152.3
2007/2008,Central Coast,155.8,118.8
2007/2008,Far West,122.4,184.4
2007/2008,Hunter New England,161.3,150.7
2007/2008,Illawarra Shoalhaven,147.9,176.2
2007/2008,Mid North Coast,178.8,142.3
2007/2008,Murrumbidgee,191.5,195.3
2007/2008,Nepean Blue Mountains,178.8,179.5
2007/2008,Northern NSW,184.1,201.8
2007/2008,Northern Sydney,104.9,143.1
2007/2008,South Eastern Sydney,153.6,155.6
2007/2008,South Western Sydney,161.1,170.5
2007/2008,Southern NSW,149.3,106.0
2007/2008,Sydney,141.0,142.7
2007/2008,Western NSW,205.6,186.7
2007/2008,Western Sydney,152.9,142.5
2008/2009,Central Coast,151.8,123.0
2008/2009,Far West,154.8,186.3
2008/2009,Hunter New England,153.7,148.4
2008/2009,Illawarra Shoalhaven,139.9,149.7
2008/2009,Mid North Coast,147.0,129.6
2008/2009,Murrumbidgee,207.2,210.7
2008/2009,Nepean Blue Mountains,176.7,193.9
2008/2009,Northern NSW,173.9,212.4
2008/2009,Northern Sydney,111.0,149.1
2008/2009,South Eastern Sydney,140.6,140.0
2008/2009,South Western Sydney,157.5,174.0
2008/2009,Southern NSW,158.2,119.3
2008/2009,Sydney,140.7,147.6
2008/2009,Western NSW,163.5,178.6
2008/2009,Western Sydney,164.6,170.7
2009/2010,Central Coast,161.5,143.3
2009/2010,Far West,67.2,234.8
2009/2010,Hunter New England,161.4,146.1
2009/2010,Illawarra Shoalhaven,144.3,153.9
2009/2010,Mid North Coast,129.0,145.5
2009/2010,Murrumbidgee,193.4,189.4
2009/2010,Nepean Blue Mountains,189.9,182.3
2009/2010,Northern NSW,192.8,181.8
2009/2010,Northern Sydney,109.8,162.7
