financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population"
2001/2002,Central Coast,198.1,294.6
2001/2002,Hunter New England,249.6,354.7
2001/2002,Illawarra Shoalhaven,198.4,286.8
2001/2002,Mid North Coast,301.8,381.6
2001/2002,Murrumbidgee,333.3,464.6
2001/2002,Nepean Blue Mountains,263.9,410.2
2001/2002,Northern NSW,288.3,375.9
2001/2002,Northern Sydney,186.8,248.5
2001/2002,South Eastern Sydney,210.7,282.0
2001/2002,South Western Sydney,218.9,343.3
2001/2002,Southern NSW,271.7,350.9
2001/2002,Sydney,222.3,345.0
2001/2002,Western NSW,438.9,569.8
2001/2002,Western Sydney,226.2,311.1
2002/2003,Central Coast,213.2,317.7
2002/2003,Hunter New England,277.4,355.9
2002/2003,Illawarra Shoalhaven,179.1,251.4
2002/2003,Mid North Coast,332.7,427.1
2002/2003,Murrumbidgee,368.0,534.8
2002/2003,Nepean Blue Mountains,293.1,344.1
2002/2003,Northern NSW,318.4,362.3
2002/2003,Northern Sydney,179.8,247.3
2002/2003,South Eastern Sydney,228.4,292.5
2002/2003,South Western Sydney,249.7,326.7
2002/2003,Southern NSW,299.9,376.0
2002/2003,Sydney,219.4,349.1
2002/2003,Western NSW,465.9,614.0
2002/2003,Western Sydney,213.3,299.1
2003/2004,Central Coast,217.8,308.5
2003/2004,Hunter New England,273.1,362.9
2003/2004,Illawarra Shoalhaven,214.2,252.2
2003/2004,Mid North Coast,365.0,504.8
2003/2004,Murrumbidgee,401.5,475.2
2003/2004,Nepean Blue Mountains,290.7,362.0
2003/2004,Northern NSW,257.0,346.5
2003/2004,Northern Sydney,204.1,251.5
2003/2004,South Eastern Sydney,224.7,301.1
2003/2004,South Western Sydney,252.7,342.7
2003/2004,Southern NSW,292.5,397.7
2003/2004,Sydney,221.1,362.4
2003/2004,Western NSW,478.0,658.9
2003/2004,Western Sydney,235.2,317.1
2004/2005,Central Coast,190.7,278.8
2004/2005,Hunter New England,272.5,371.9
2004/2005,Illawarra Shoalhaven,225.6,293.5
2004/2005,Mid North Coast,337.4,421.5
2004/2005,Murrumbidgee,369.5,485.3
2004/2005,Nepean Blue Mountains,276.0,364.9
2004/2005,Northern NSW,242.2,306.6
2004/2005,Northern Sydney,199.4,264.3
2004/2005,South Eastern Sydney,207.4,281.8
2004/2005,South Western Sydney,237.5,302.8
2004/2005,Southern NSW,275.5,371.6
2004/2005,Sydney,214.7,364.8
2004/2005,Western NSW,404.8,598.7
2004/2005,Western Sydney,224.3,283.7
2005/2006,Central Coast,208.5,321.6
2005/2006,Hunter New England,238.6,326.1
2005/2006,Illawarra Shoalhaven,221.3,280.3
2005/2006,Mid North Coast,280.8,403.7
2005/2006,Murrumbidgee,357.2,509.7
2005/2006,Nepean Blue Mountains,253.4,341.5
2005/2006,Northern NSW,251.2,328.9
2005/2006,Northern Sydney,191.7,242.9
2005/2006,South Eastern Sydney,188.8,270.1
