disease type,sex,lhd,financial year,"rate per 100,000 population"
Influenza and pneumonia,Males,Sydney,2001/2002,345
Influenza and pneumonia,Males,Sydney,2002/2003,349.1
Influenza and pneumonia,Males,Sydney,2003/2004,362.4
Influenza and pneumonia,Males,Sydney,2004/2005,364.8
Influenza and pneumonia,Males,Sydney,2005/2006,285.2
Influenza and pneumonia,Males,Sydney,2006/2007,301.6
Influenza and pneumonia,Males,Sydney,2007/2008,291.4
Influenza and pneumonia,Males,Sydney,2008/2009,249.4
Influenza and pneumonia,Males,Sydney,2009/2010,257.6
Influenza and pneumonia,Males,Sydney,2010/2011,279.2
Influenza and pneumonia,Males,Sydney,2011/2012,311.2
Influenza and pneumonia,Males,Sydney,2012/2013,284.5
Influenza and pneumonia,Males,Sydney,2013/2014,265.5
Influenza and pneumonia,Males,Sydney,2014/2015,336
Influenza and pneumonia,Males,Sydney,2015/2016,337.7
Influenza and pneumonia,Males,Sydney,2016/2017,378.7
Influenza and pneumonia,Males,Sydney,2017/2018,426.5
Influenza and pneumonia,Males,Sydney,2018/2019,395.2
Influenza and pneumonia,Males,Sydney,2019/2020,398.3
Influenza and pneumonia,Males,Sydney,2020/2021,233.6
Influenza and pneumonia,Males,Sydney,2021/2022,479.9
Influenza and pneumonia,Males,South Western Sydney,2001/2002,343.3
Influenza and pneumonia,Males,South Western Sydney,2002/2003,326.7
Influenza and pneumonia,Males,South Western Sydney,2003/2004,342.7
Influenza and pneumonia,Males,South Western Sydney,2004/2005,302.8
Influenza and pneumonia,Males,South Western Sydney,2005/2006,255.1
Influenza and pneumonia,Males,South Western Sydney,2006/2007,270.5
Influenza and pneumonia,Males,South Western Sydney,2007/2008,301
Influenza and pneumonia,Males,South Western Sydney,2008/2009,300.2
Influenza and pneumonia,Males,South Western Sydney,2009/2010,280.4
Influenza and pneumonia,Males,South Western Sydney,2010/2011,296.4
Influenza and pneumonia,Males,South Western Sydney,2011/2012,332.4
Influenza and pneumonia,Males,South Western Sydney,2012/2013,295.5
Influenza and pneumonia,Males,South Western Sydney,2013/2014,291
Influenza and pneumonia,Males,South Western Sydney,2014/2015,339.4
Influenza and pneumonia,Males,South Western Sydney,2015/2016,361.1
Influenza and pneumonia,Males,South Western Sydney,2016/2017,386.5
Influenza and pneumonia,Males,South Western Sydney,2017/2018,435.8
Influenza and pneumonia,Males,South Western Sydney,2018/2019,414.3
Influenza and pneumonia,Males,South Western Sydney,2019/2020,384.8
Influenza and pneumonia,Males,South Western Sydney,2020/2021,230.7
Influenza and pneumonia,Males,South Western Sydney,2021/2022,666.1
Influenza and pneumonia,Males,South Eastern Sydney,2001/2002,282
Influenza and pneumonia,Males,South Eastern Sydney,2002/2003,292.5
Influenza and pneumonia,Males,South Eastern Sydney,2003/2004,301.1
Influenza and pneumonia,Males,South Eastern Sydney,2004/2005,281.8
Influenza and pneumonia,Males,South Eastern Sydney,2005/2006,270.1
Influenza and pneumonia,Males,South Eastern Sydney,2006/2007,262.6
Influenza and pneumonia,Males,South Eastern Sydney,2007/2008,275.2
Influenza and pneumonia,Males,South Eastern Sydney,2008/2009,256.4
Influenza and pneumonia,Males,South Eastern Sydney,2009/2010,258.4
Influenza and pneumonia,Males,South Eastern Sydney,2010/2011,259.2
Influenza and pneumonia,Males,South Eastern Sydney,2011/2012,303.9
