date,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma edh [f] [rate per 100,000]","asthma edh [m] [rate per 100,000]"
2014-07,Hunter New England,0.2,1.22,1.14,1.5,15.6,0.12,45.3,32.3
2014-08,Hunter New England,0.2,0.72,0.94,1.9,14.875,0.1399999999999999,49.4,42.6
2014-09,Hunter New England,0.2,0.6,0.8800000000000001,1.9666666666666668,16.4,0.12,36.0,26.7
2014-10,Hunter New England,0.3,0.42,0.82,2.333333333333333,23.775,0.14,34.4,31.2
2014-11,Hunter New England,0.2,0.24,0.62,2.433333333333333,24.75,0.1399999999999999,24.7,25.9
2014-12,Hunter New England,0.2,0.22,0.58,2.1333333333333333,19.8,0.12,24.8,29.4
2015-01,Hunter New England,0.2,0.18,0.54,1.8333333333333333,17.45,0.1399999999999999,26.5,20.9
2015-03,Hunter New England,0.2199999999999999,0.44,0.78,1.9333333333333331,23.1,0.16,34.4,40.6
2015-04,Hunter New England,0.3,0.42,0.76,1.6,14.2,0.12,35.5,41.3
2015-05,Hunter New England,0.4,0.76,0.96,1.2,16.825,0.12,53.2,62.9
2015-07,Hunter New England,0.4,1.24,1.06,1.2666666666666666,14.125,0.12,48.3,45.3
2015-08,Hunter New England,0.4,0.82,1.04,1.3666666666666665,17.6,0.1,54.2,45.9
2015-09,Hunter New England,0.4,0.58,0.8800000000000001,1.866666666666667,15.4,0.12,36.4,31.0
2015-10,Hunter New England,0.5,0.42,0.8400000000000001,2.2333333333333334,21.35,0.14,33.8,33.9
2015-11,Hunter New England,0.5,0.26,0.64,2.266666666666667,20.175,0.14,33.7,37.5
2015-12,Hunter New England,0.5,0.26,0.5199999999999999,1.7666666666666666,19.975,0.1399999999999999,41.0,38.0
2016-02,Hunter New England,0.4,0.3399999999999999,0.5599999999999999,1.8333333333333333,21.375,0.18,35.0,43.8
2016-03,Hunter New England,0.1,0.52,0.6799999999999999,1.4333333333333331,18.2,0.18,34.3,36.2
2016-04,Hunter New England,0.2,0.78,0.9,1.5333333333333332,20.325,0.16,36.6,33.5
2016-05,Hunter New England,0.2,0.96,1.14,1.3333333333333333,20.075,0.14,41.6,48.1
2016-06,Hunter New England,0.2,1.06,0.96,1.2666666666666666,12.4,0.14,48.9,44.1
2016-07,Hunter New England,0.2,0.8400000000000001,0.98,1.2333333333333334,13.75,0.16,42.8,37.5
2016-08,Hunter New England,0.2,1.04,1.06,1.4,16.625,0.16,51.7,34.9
2016-09,Hunter New England,0.1,0.6,0.78,1.8,13.675,0.14,37.0,38.2
2016-10,Hunter New England,0.1,0.36,0.6599999999999999,2.066666666666667,16.775,0.1,42.1,48.5
2016-11,Hunter New England,0.1,0.36,0.64,2.2666666666666666,23.15,0.14,42.9,42.4
2016-12,Hunter New England,0.1,0.26,0.6,2.333333333333333,22.575,0.2,33.5,28.7
2017-01,Hunter New England,0.1,0.24,0.5,2.1333333333333333,21.975,0.2,26.4,17.7
2017-02,Hunter New England,0.2,0.3,0.62,2.233333333333333,21.5,0.22,32.4,40.6
2017-03,Hunter New England,0.2,0.36,0.58,1.7,17.15,0.22,34.3,43.3
2017-04,Hunter New England,0.2,0.76,0.8400000000000001,1.4333333333333331,17.025,0.16,52.5,52.1
2017-08,Hunter New England,0.2,0.82,1.02,1.8,18.675,0.14,40.1,28.8
2017-09,Hunter New England,0.2,0.64,1.0,2.1333333333333333,24.4,0.12,36.4,33.7
2017-10,Hunter New England,0.3,0.32,0.6799999999999999,2.466666666666667,18.75,0.1,29.6,32.3
2017-11,Hunter New England,0.2,0.36,0.54,1.8333333333333333,14.325,0.16,26.1,32.2
2017-12,Hunter New England,0.3,0.28,0.6,2.1666666666666665,19.95,0.16,32.5,31.9
2018-02,Hunter New England,0.3,0.44,0.52,1.7,20.475,0.2,34.1,43.0
2018-03,Hunter New England,0.3,0.5,0.6199999999999999,1.8333333333333333,22.175,0.18,36.6,41.7
2018-04,Hunter New England,0.3,0.6599999999999999,0.82,1.7,21.925,0.2,31.3,33.7
2018-07,Hunter New England,0.3,1.7,1.3199999999999998,1.2666666666666666,24.1,0.16,40.1,41.0
2018-08,Hunter New England,0.2,0.8800000000000001,1.08,1.7333333333333334,21.775,0.12,35.7,37.2
2018-09,Hunter New England,0.3,0.64,0.86,1.9666666666666668,19.575,0.14,38.1,30.3
2018-10,Hunter New England,0.2,0.38,0.64,2.1666666666666665,17.2,0.12,34.2,31.2
2018-11,Hunter New England,0.2,0.3,0.58,2.1333333333333333,28.675,0.16,41.8,30.1
2018-12,Hunter New England,0.3,0.32,0.5,1.9333333333333331,21.95,0.16,34.0,30.9
2019-02,Hunter New England,0.3,0.4599999999999999,0.52,1.7333333333333334,24.375,0.2,34.7,42.5
2019-03,Hunter New England,0.3,0.4599999999999999,0.58,1.8333333333333333,23.15,0.1399999999999999,40.9,34.4
2019-04,Hunter New England,0.2199999999999999,0.8800000000000001,0.76,1.4,18.475,0.16,41.3,40.0
2019-05,Hunter New England,0.2,1.42,1.02,1.2333333333333334,18.8,0.12,53.0,40.7
2019-07,Hunter New England,0.2,1.48,1.1,1.3333333333333333,17.825,0.16,42.1,44.6
2019-08,Hunter New England,0.2,1.14,1.02,1.6666666666666667,22.675,0.18,43.8,45.4
2019-09,Hunter New England,0.1,0.56,0.78,2.033333333333333,24.375,0.18,47.2,29.6
2020-02,Hunter New England,0.2199999999999999,0.36,0.44,1.9,20.0,0.12,31.4,34.1
2020-03,Hunter New England,0.2,0.4599999999999999,0.48,1.6666666666666667,16.65,0.12,50.2,37.0
2020-04,Hunter New England,0.2,0.7171621621621622,0.7359459459459459,1.4666666666666668,19.4,0.1858108108108108,23.3,13.2
2020-05,Hunter New England,0.2,1.22,0.76,1.2,14.25,0.18,18.6,20.5
2020-06,Hunter New England,0.2,1.2200000000000002,0.86,1.2333333333333334,14.05,0.16,46.3,52.4
2020-07,Hunter New England,0.3,1.3199999999999998,0.94,1.3333333333333333,13.9,0.22,33.7,24.9
2020-08,Hunter New England,0.2,0.9,0.8800000000000001,1.5666666666666669,17.575,0.16,31.6,27.4
2020-09,Hunter New England,0.2,0.58,0.6799999999999999,2.033333333333333,17.575000000000003,0.12,20.0,24.2
2020-10,Hunter New England,0.2,0.36,0.54,2.3666666666666667,15.825,0.16,28.4,25.3
2020-11,Hunter New England,0.2,0.36,0.48,2.1,21.5,0.18,29.5,32.4
2020-12,Hunter New England,0.2,0.2,0.3,1.9,17.325000000000003,0.12,26.5,31.5
2021-01,Hunter New England,0.2,0.36,0.32,1.7,16.725,0.16,21.0,14.4
2021-02,Hunter New England,0.2,0.26,0.3,1.4666666666666668,16.85,0.12,29.1,23.8
