financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma deaths [rate per 100,000]","asthma edp [rate per 100,000]"
2014/2015,Central Coast,0.1,0.2333333333333333,0.4666666666666666,1.7911900210025593,15.158333333333331,0.05,0.675,366.6
2015/2016,Central Coast,0.1083333333333333,0.2166666666666666,0.4583333333333333,1.6916666666666669,15.375,0.0583333333333333,0.725,380.9
2016/2017,Central Coast,0.1,0.2166666666666666,0.4916666666666667,1.775,15.358333333333334,0.0583333333333333,0.7,378.4
2017/2018,Central Coast,0.1083333333333333,0.175,0.4416666666666666,1.8611831241970025,16.816666666666666,0.075,0.675,368.2
2018/2019,Central Coast,0.1083333333333333,0.2166666666666666,0.4166666666666667,1.7333333333333334,17.75,0.0916666666666666,0.675,378.8
2019/2020,Central Coast,0.1431293783784996,0.2083333333333333,0.3583333333333333,1.9166666666666667,18.57275165690874,0.0666666666666666,0.6499999999999999,359.1
2020/2021,Central Coast,0.1333333333333333,0.2333333333333333,0.35,1.7166666666666668,14.075,0.0583333333333333,0.6,299.6
2021/2022,Central Coast,0.0051488886218629,0.1916666666666666,0.225,1.6666666666666667,12.658333333333331,0.0814516445192274,0.65625,270.5
2022/2023,Central Coast,0.0051488886218629,0.1916666666666666,0.225,1.6833333333333331,12.0,0.0583333333333333,0.7124999999999999,330.1
2023/2024,Central Coast,0.0228491929485406,0.1830819383655015,0.2587558061895388,1.7916666666666667,14.533333333333331,0.075,0.7687499999999999,510.3
2014/2015,Hunter New England,0.1199458229390632,0.4774398968359341,0.6375759910062889,2.158975234193854,21.95067981599007,0.1597595638872286,0.825,452.6
2015/2016,Hunter New England,0.1710555390678579,0.4736786664000638,0.6642024110340078,2.058007816581769,22.25952380952381,0.1583285135337609,1.025,469.9
2016/2017,Hunter New England,0.0955630273028608,0.4984599220650079,0.6585149419952286,2.1265459829920306,21.76071428571429,0.1882318157939641,1.05,503.0
2017/2018,Hunter New England,0.1346376779993974,0.5435718832802907,0.6682586630492765,2.205529701807569,24.0334720130882,0.1892196510058752,0.975,436.5
2018/2019,Hunter New England,0.1364819373753738,0.5560264826848705,0.6501873064255931,2.191191166371898,25.72189241216915,0.1855932244004523,0.875,446.4
2019/2020,Hunter New England,0.1197424774855931,0.5201158055810179,0.6281471321150829,2.3635376441178577,26.13616767258303,0.1769508121589781,0.8,441.2
2020/2021,Hunter New England,0.0902057380781621,0.5237466981241533,0.5354011442796035,1.964825406366791,19.755952380952383,0.1455237670273577,0.8,384.6
2021/2022,Hunter New England,0.0669361986751111,0.4833687170347426,0.5154204352533742,1.863955384662791,18.842531728568822,0.1387430790241157,0.7625000000000001,384.2
2022/2023,Hunter New England,0.0611678540495956,0.451607113285206,0.5014504509613554,1.913033066924752,18.207142857142856,0.1386260250043352,0.7250000000000001,415.6
2023/2024,Hunter New England,0.0704925908031222,0.5208674928113552,0.555903193359782,2.0654761904761902,21.335714285714285,0.1381714832129848,0.6875,406.9
2014/2015,Illawarra Shoalhaven,0.2083333333333333,0.3552270670891047,0.5909735561443975,1.9125,17.287499999999998,0.1,0.65,398.2
2015/2016,Illawarra Shoalhaven,0.2083333333333333,0.3625,0.6291666666666667,1.8683087024036045,18.758333333333333,0.1,0.7,426.6
2016/2017,Illawarra Shoalhaven,0.2,0.3416666666666666,0.5458333333333333,1.95,18.725,0.1,0.75,420.6
2017/2018,Illawarra Shoalhaven,0.175,0.3708333333333333,0.5375,2.0223979578271054,20.4625,0.1,0.725,395.8
2018/2019,Illawarra Shoalhaven,0.1916666666666666,0.3538060328112442,0.5706349347229379,1.9416666666666669,21.31693798737167,0.1,0.625,367.4
2019/2020,Illawarra Shoalhaven,0.2083333333333333,0.3041666666666667,0.5333333333333333,2.0125,22.03333333333333,0.1,0.55,311.0
2020/2021,Illawarra Shoalhaven,0.2,0.3374999999999999,0.45,1.8291666666666664,17.845833333333335,0.1,0.55,272.2
2021/2022,Illawarra Shoalhaven,0.1666666666666666,0.3041666666666667,0.3166666666666667,1.8041666666666665,15.05,0.1,0.6000000000000001,257.0
2022/2023,Illawarra Shoalhaven,0.175,0.2958333333333333,0.3666666666666667,1.8625,15.616666666666667,0.1,0.65,270.5
2023/2024,Illawarra Shoalhaven,0.1083333333333333,0.3999999999999999,0.65,1.820317970042006,20.1125,0.1,0.7,380.35
2014/2015,Mid North Coast,0.160322429827429,0.0858748990860514,0.260244219635097,1.8852401280939293,,0.0246826697893564,0.75,490.2
2015/2016,Mid North Coast,0.1834277166100658,0.1643176107201182,0.3194231401428044,1.9225827853585724,,0.098480652552068,0.55,505.0
2016/2017,Mid North Coast,0.1677647455864052,0.0989444370654187,0.2796014461096064,2.033003849116106,,0.0385250255417823,0.425,489.6
2017/2018,Mid North Coast,0.187219372880979,0.1254960123112449,0.246269537326237,1.760193893231193,,0.0391910526931327,0.525,449.1
2018/2019,Mid North Coast,0.1894617954360125,0.2103510947921267,0.2959799343275268,1.8474322353344956,,0.0730139298729685,0.725,454.9
2019/2020,Mid North Coast,0.1756551894209868,0.1335319071043306,0.3276153874887897,2.0819214676808726,,0.0371689883121614,0.85,454.3
2020/2021,Mid North Coast,0.1233801977994214,0.1450229535582019,0.3156710994706241,1.8169527248715365,,0.0,0.85,344.1
2021/2022,Mid North Coast,0.1155137060942441,0.1256927446456151,0.2545963154728062,1.6208333333333331,,0.003646165139071,0.88125,361.8
2022/2023,Mid North Coast,0.061719529160886,0.1258988884030027,0.2682301629908377,1.5473556145308438,,0.0,0.9125,390.8
2023/2024,Mid North Coast,0.0978825470080817,0.0809878452239268,0.2294556611403941,1.768525920992854,,0.0322189690679771,0.94375,514.05
2014/2015,Murrumbidgee,,0.1755156449784158,0.2864531960601835,1.955223617786847,20.71732413475906,0.05,0.975,637.3
2015/2016,Murrumbidgee,,0.1427098772566428,0.3019908728885088,1.899084235109396,25.8291727857399,0.0833333333333333,1.05,660.2
2016/2017,Murrumbidgee,,0.1709114680386465,0.3372117782887467,1.9337913420849813,24.077346601145184,0.05,1.2000000000000002,740.7
2017/2018,Murrumbidgee,,0.1651385131942303,0.3291483586715486,1.9480366224284869,30.798971016956504,0.075,1.3250000000000002,606.9
2018/2019,Murrumbidgee,,0.1954849411438435,0.3261162583960215,1.8871400378624963,29.250466997705697,0.0833333333333333,1.425,586.0
2019/2020,Murrumbidgee,,0.2347562436357426,0.3650281890364819,2.0930520936336983,27.416068004470848,0.0416666666666666,1.425,559.5
2020/2021,Murrumbidgee,,0.2012747038493113,0.3289700579383269,1.8017202410954087,29.48837935354505,0.0166666666666666,1.35,533.3
2021/2022,Murrumbidgee,,0.1539352629785041,0.2672191659642898,1.8040229833581984,23.696669131469434,0.0333333333333333,1.2625000000000002,523.5
2022/2023,Murrumbidgee,,0.1597433229462373,0.3083892209008635,1.8332641555066589,26.71661070175092,0.0416666666666666,1.175,707.9
2023/2024,Murrumbidgee,,0.1848186306015773,0.3845924002889538,1.9283204066363,27.808182012438504,0.075,1.0875,561.55
2014/2015,Nepean Blue Mountains,0.0853682582377817,0.2103916072702753,0.4406109849496617,1.994593226981648,15.152996380812162,0.0284457444723713,1.0,415.2
2015/2016,Nepean Blue Mountains,0.0728873519243367,0.2140042936484933,0.4349175691157685,1.979575933965467,16.133333333333333,0.0167664001928687,1.0,374.6
2016/2017,Nepean Blue Mountains,0.0997693253375548,0.2316615018557659,0.4255464193598635,1.9514180748065408,16.008651574551315,0.0547715276095746,1.15,404.2
2017/2018,Nepean Blue Mountains,0.1598515356983828,0.2327791340804701,0.4470386359875205,2.1391882843112726,18.526492217630416,0.0675632393008556,1.2,361.2
2018/2019,Nepean Blue Mountains,0.1381880935670701,0.2385295088157254,0.4339217030530178,2.081548903056343,19.052546887984583,0.0445706219148173,1.075,371.4
2019/2020,Nepean Blue Mountains,0.1852437180567943,0.2029567963124263,0.3830820494576292,2.2895362079962918,19.246128151447525,0.0275251842654743,0.775,321.6
2020/2021,Nepean Blue Mountains,0.1083964985811107,0.1981375322306494,0.3186616023855212,1.86352247409298,14.900147223395976,0.0289072878771342,0.55,252.2
2021/2022,Nepean Blue Mountains,0.1065716085032937,0.1706401226372792,0.2798653692046115,1.818205978106841,12.857321331873845,0.0287258335574242,0.61875,254.9
2022/2023,Nepean Blue Mountains,0.0387611159940826,0.1758124967711981,0.3341880331216254,1.872412761927984,12.35479436587378,0.0250353254724638,0.6875,277.7
2023/2024,Nepean Blue Mountains,0.0643886261010245,0.1902892856498841,0.4303136408563894,2.1003138790557263,15.626919791459905,0.022274508629972,0.75625,448.85
2014/2015,Northern Sydney,0.1270403878341675,0.3479100158550693,0.7774231101080593,1.7099144868065972,13.958333333333334,0.0284337355665654,0.55,254.2
2015/2016,Northern Sydney,0.1233191490386182,0.3439138768975918,0.7363403781149399,1.7021443438474335,15.6,0.0461636754621587,0.6499999999999999,239.7
2016/2017,Northern Sydney,0.1132573860215615,0.3958824470818849,0.754349541985026,1.7410649430257357,15.583333333333334,0.0554261765435161,0.625,231.0
2017/2018,Northern Sydney,0.1174436966354733,0.3465684102802419,0.7050039057708536,1.900933446795493,16.85833333333333,0.0642023180463208,0.45,207.9
2018/2019,Northern Sydney,0.1247901819063662,0.3943800043868485,0.796590489789288,1.84193509761149,17.804467791797226,0.0787792046407356,0.3,210.8
2019/2020,Northern Sydney,0.1515046416434035,0.3617259462366102,0.790532653212058,1.9039854463166184,18.07867787611817,0.0511490542063241,0.3,177.6
2020/2021,Northern Sydney,0.1615863119551559,0.3998543122946896,0.6682189279615449,1.693535649157088,14.694858694853538,0.0273589771718528,0.35,138.5
2021/2022,Northern Sydney,0.1778749958827964,0.345696853611455,0.5712747605145129,1.6861096472826604,12.78593803025615,0.0202101861826431,0.3874999999999999,126.0
2022/2023,Northern Sydney,0.025,0.5038994626179583,0.6445999278563771,1.7003278540149631,11.92303910768833,0.0482046922899958,0.425,155.9
2023/2024,Northern Sydney,0.0375,0.467736610646612,0.727352407772408,1.7236518872195166,14.848149921672237,0.0666212829732527,0.4625,225.9
2014/2015,South Eastern Sydney,0.2476225706957298,2.9836949880926364,1.422863153287438,1.3380543932524065,18.9,0.112179722928364,0.5,295.9
2015/2016,South Eastern Sydney,0.2603608340896711,3.0797308700945063,1.467131480703206,1.3105384625631342,18.191666666666663,0.1175275043926099,0.55,265.5
2016/2017,South Eastern Sydney,0.2565341227938688,2.8977913421151213,1.4346761032126245,1.384755324375561,18.375,0.1101219968473498,0.6499999999999999,261.0
2017/2018,South Eastern Sydney,0.277671896274675,2.75815575500696,1.448040511962799,1.4285173071141617,20.166666666666668,0.1231368459127535,0.675,226.8
2018/2019,South Eastern Sydney,0.3260362161896231,2.947545236365947,1.56961659504037,1.3641075794669748,21.125,0.1192539207157378,0.65,240.5
2019/2020,South Eastern Sydney,0.2961391273946779,2.5416666666666665,1.4833333333333334,1.4951346962429817,21.39583333333333,0.1078566317205432,0.6000000000000001,219.0
2020/2021,South Eastern Sydney,0.2558922516818787,2.45021977036854,1.331017425791939,1.39085773492464,17.458333333333332,0.0998115880567723,0.55,176.9
2021/2022,South Eastern Sydney,0.1601596236948797,2.100257976640234,1.1410720793663889,1.3913952823690847,15.308333333333332,0.0987115687336142,0.6000000000000001,170.5
2022/2023,South Eastern Sydney,0.1916666666666666,2.408333333333333,1.2791666666666666,1.3583333333333334,14.691666666666668,0.1,0.65,204.9
2023/2024,South Eastern Sydney,0.2416666666666666,2.9250000000000003,1.3110278370369608,1.2791666666666666,17.558333333333334,0.1046819560264101,0.7,279.95
2014/2015,South Western Sydney,0.2378099918017812,0.6062508463481429,0.6809514381538279,1.8207820082184003,16.35625,0.0382141307000786,0.75,355.0
2015/2016,South Western Sydney,0.2336691953767935,0.620532641365352,0.7404601501172303,1.7896288528116229,17.247916666666665,0.0423753228367935,0.875,352.9
2016/2017,South Western Sydney,0.2305910840462104,0.6184612669161064,0.7217657218018579,1.851354296205579,17.172916666666666,0.0482426520891976,1.025,328.9
2017/2018,South Western Sydney,0.2268424675660385,0.6473568451923719,0.8058900520707791,1.944652193772641,20.64375,0.0519218367647328,1.1,288.5
2018/2019,South Western Sydney,0.2010651234364227,0.6973454542097005,0.7994661749857594,1.9073747438212951,20.085416666666667,0.0580738560009937,1.025,311.1
2019/2020,South Western Sydney,0.1986673888293791,0.6349472896785444,0.7714376783807076,1.9597857208670224,20.50016933573685,0.0484844013339424,0.8500000000000001,255.8
2020/2021,South Western Sydney,0.1423910410370858,0.6551222983361523,0.5562991949209095,1.8712453605561,16.506249999999998,0.0342643662843513,0.8,217.3
2021/2022,South Western Sydney,0.1021367411835901,0.5893832244626266,0.4850553320735976,1.736121473260763,13.8375,0.0300106106684908,0.8250000000000001,213.1
2022/2023,South Western Sydney,0.1007303399416946,0.6427489701802699,0.5106091081096767,1.797856521393066,13.893045956921618,0.0370815312523902,0.8500000000000001,250.6
2023/2024,South Western Sydney,0.1161194178930334,0.6514773750929004,0.6562829332006416,1.8508685444465456,17.643893423918932,0.0466174820208417,0.875,334.2
2014/2015,Southern NSW,,0.2189165139726544,0.3599331214103749,2.1583556686898766,,,0.9,417.8
2015/2016,Southern NSW,,0.2133868944695589,0.3544366379302887,2.1269432218374904,,,0.875,441.9
2016/2017,Southern NSW,,0.2240676414777005,0.3888401459007684,2.148951429643016,,,0.8,467.2
2017/2018,Southern NSW,,0.1969609498454024,0.3636862320580289,2.3116235913760894,,,0.7,436.5
2018/2019,Southern NSW,,0.1989445969922525,0.3666980845123523,2.154204502643132,,,0.625,494.0
2019/2020,Southern NSW,,0.1804304933032408,0.3925435302882054,2.302080263986021,,,0.55,431.0
2020/2021,Southern NSW,,0.1999999999999999,0.3416666666666666,2.0416666666666665,,,0.5,354.1
2021/2022,Southern NSW,,0.1857391732558533,0.2397016552894644,1.949675293089784,,,0.5875,350.6
2022/2023,Southern NSW,,0.2083333333333333,0.2166666666666666,2.058333333333333,,,0.675,431.2
2023/2024,Southern NSW,,0.2333333333333333,0.3999999999999999,2.1416666666666666,,,0.7625,352.9
2014/2015,Sydney,0.1421586133789886,0.8465612116873759,0.9899788618854928,1.553116116259753,17.729166666666668,0.0353211771373494,0.85,274.6
2015/2016,Sydney,0.1746033457107642,0.9107371114137738,1.0037779574315306,1.4537110916517813,17.1125,0.0458333333333333,0.575,270.8
2016/2017,Sydney,0.1332832280888902,0.9036367570850224,1.056809497236488,1.4668048633918456,17.3625,0.0208333333333333,0.375,261.4
2017/2018,Sydney,0.0936225416053787,0.8831397743516476,1.0603989893778427,1.5137321056511104,19.00819354568609,0.0385066273080548,0.425,220.4
2018/2019,Sydney,0.12410349834371,0.8975033672289054,1.0095269087344845,1.5329863204648613,19.429166666666667,0.0458333333333333,0.525,239.9
2019/2020,Sydney,0.143766212796806,0.7518343957445824,0.9073486806972658,1.5239325116442977,20.30332085796241,0.0375,0.6000000000000001,201.8
2020/2021,Sydney,0.1355976486857602,0.743314531020729,0.873356732285131,1.598568613289858,16.495833333333334,0.0166666666666666,0.65,188.2
2021/2022,Sydney,0.1014160324058885,0.626840857528761,0.7796411911388818,1.498413491048061,13.995833333333332,0.0186573529663742,0.8375,160.3
2022/2023,Sydney,0.0975522362379585,0.6404878705781331,0.8270709754751286,1.547411274706022,13.575932787880538,0.0185076819730646,1.025,200.4
2023/2024,Sydney,0.125,0.7436132518974167,0.8780744651192189,1.4625519409963206,16.7,0.0315133670942833,1.2125,309.8
2014/2015,Western NSW,0.0037857852207086,0.1491654773597109,0.173631390937633,2.24270341900474,,,1.4,419.2
2015/2016,Western NSW,0.0047929665972257,0.0961662476250072,0.2227896246722744,2.2194485723317,,,1.25,565.8
2016/2017,Western NSW,0.0032960480622009,0.0604642392956178,0.2015450773912776,2.1870929785504565,,,1.2000000000000002,690.1
