financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm
2000/2001,Central Coast,0.14635340525138066,0.3996855910158123,0.6849419801212585,1.7027596305846033,13.841719087709684,0.05609906987299148
2001/2002,Central Coast,0.1308704886216944,0.39089502783356017,0.6530072587503698,1.7473139390618255,14.886807758835877,0.05867855455393026
2002/2003,Central Coast,0.16669748917768468,0.34949980586817464,0.6305783235840831,1.8386038258213198,18.957649375215524,0.055580985276197696
2003/2004,Central Coast,0.1874388230271196,0.38082608300077814,0.6632958762884866,1.8314827242343246,16.80617360265018,0.058341610048627396
2004/2005,Central Coast,0.10907026089605804,0.3589946987118133,0.5860307822592253,1.775887485391651,15.63361681669898,0.060331767534468006
2005/2006,Central Coast,0.126967122250724,0.3387543599215772,0.6172081244878419,1.7827206908023483,15.867102699732838,0.06078108919704895
2006/2007,Central Coast,0.12539794586663852,0.3215024103917076,0.5516686943363477,1.754098991381346,16.125548854406407,0.06037168465013892
2007/2008,Central Coast,0.05786755929672265,0.30327692933138733,0.4984822954691667,1.664407865388892,14.140563527095216,0.05983525103028132
2008/2009,Central Coast,0.1259946055400956,0.27551212045883355,0.5099008299340636,1.8140523223756844,16.786492191831694,0.07309780802554693
2009/2010,Central Coast,0.1391087833356032,0.25087451338887595,0.5536061050287413,1.8791824417664096,17.53962454569654,0.07414221120159124
2010/2011,Central Coast,0.10523559854411708,0.30153231338829756,0.5823901790648154,1.6829688492218613,13.580713421442448,0.07614954477804349
2011/2012,Central Coast,0.06598869518748335,0.30657151111461184,0.5641772914993147,1.5864179993050769,13.53260401134822,0.06497485436715901
2012/2013,Central Coast,0.08402503302887991,0.26896413714440476,0.5025662546761057,1.7190306091702519,16.438489621436158,0.07798030076811673
2013/2014,Central Coast,0.10000000000000002,0.2416666666666667,0.5166666666666667,1.75,15.933333333333335,0.09166666666666667
2014/2015,Central Coast,0.10000000000000002,0.2333333333333333,0.4666666666666666,1.7911900210025593,15.158333333333333,0.05000000000000001
2015/2016,Central Coast,0.10833333333333334,0.21666666666666667,0.4583333333333333,1.6916666666666667,15.375,0.05833333333333334
2016/2017,Central Coast,0.10000000000000002,0.21666666666666667,0.4916666666666667,1.7750000000000001,15.358333333333334,0.05833333333333334
2017/2018,Central Coast,0.10833333333333334,0.17500000000000002,0.44166666666666665,1.8611831241970023,16.816666666666666,0.075
2018/2019,Central Coast,0.10833333333333334,0.21666666666666667,0.4166666666666667,1.7333333333333334,17.75,0.09166666666666667
2019/2020,Central Coast,0.14312937837849962,0.20833333333333334,0.35833333333333334,1.9166666666666667,18.57275165690874,0.06666666666666667
2020/2021,Central Coast,0.13333333333333333,0.2333333333333333,0.35000000000000003,1.7166666666666668,14.075000000000001,0.05833333333333334
2021/2022,Central Coast,0.005148888621862968,0.19166666666666665,0.225,1.6666666666666667,12.658333333333333,0.08145164451922747
2022/2023,Central Coast,0.005148888621862968,0.19166666666666665,0.225,1.6833333333333333,12.0,0.05833333333333334
2023/2024,Central Coast,0.022849192948540653,0.1830819383655015,0.2587558061895388,1.7916666666666667,14.533333333333333,0.075
2000/2001,Hunter New England,0.13195249513621843,0.776774747207274,0.8313814164906376,2.097732185620277,20.604259786505093,0.1925647495583204
2001/2002,Hunter New England,0.13522197475188052,0.7857163914819414,0.8255651958245145,2.1793033578426857,21.485076406191013,0.1863737641569996
2002/2003,Hunter New England,0.1666908594775742,0.7684170804004861,0.8324932596455188,2.348370725089296,25.25649696599436,0.1913642409631484
2003/2004,Hunter New England,0.14142755662723364,0.7381400918193174,0.8008319069584974,2.2786538613942544,22.69481673004078,0.17559250765343112
2004/2005,Hunter New England,0.08810292193054313,0.7137249442007958,0.7565006640789566,2.234245431107086,22.370011428938184,0.1898371901353735
2005/2006,Hunter New England,0.10351974716644634,0.7592792032429839,0.7880766652439851,2.1556917219564427,21.66645895300957,0.16888958927529066
2006/2007,Hunter New England,0.11883671874502738,0.6700570633505736,0.750538555735668,2.160569578602061,22.511630883984484,0.17839780483552423
2007/2008,Hunter New England,0.11909082822856266,0.6244817319124866,0.6840884994497441,2.0477601824353693,20.571670932617657,0.17562249549407447
2008/2009,Hunter New England,0.1323384830014407,0.45869682897915715,0.6281500761798989,2.261488936553835,23.10611720110425,0.15466488864944178
2009/2010,Hunter New England,0.13614878034815395,0.5789019128841318,0.7054025295541231,2.308035834100986,23.994351572424993,0.18068583136272445
2010/2011,Hunter New England,0.06395720512679835,0.4955379623855282,0.6730999553880004,2.0657534346857997,19.104770080955678,0.17372457421584964
2011/2012,Hunter New England,0.07792946205380895,0.6579257060390177,0.7257693671083257,1.9287493118438481,19.563041737262733,0.18776224963677104
2012/2013,Hunter New England,0.08268302288446965,0.5611511982495142,0.6724765054924905,2.1190105607627494,22.48176986025699,0.1652358048756176
2013/2014,Hunter New England,0.09256234961716901,0.5784221754747269,0.696342374178859,2.17455717222214,22.605211927137603,0.17026260195405354
2014/2015,Hunter New England,0.11994582293906327,0.4774398968359341,0.6375759910062889,2.158975234193854,21.95067981599007,0.15975956388722864
2015/2016,Hunter New England,0.1710555390678579,0.4736786664000638,0.6642024110340078,2.0580078165817692,22.25952380952381,0.1583285135337609
2016/2017,Hunter New England,0.09556302730286083,0.49845992206500794,0.6585149419952286,2.1265459829920306,21.760714285714286,0.18823181579396417
2017/2018,Hunter New England,0.13463767799939744,0.5435718832802907,0.6682586630492765,2.2055297018075692,24.0334720130882,0.1892196510058752
2018/2019,Hunter New England,0.13648193737537387,0.5560264826848705,0.6501873064255931,2.191191166371898,25.72189241216915,0.1855932244004523
2019/2020,Hunter New England,0.1197424774855931,0.5201158055810179,0.6281471321150829,2.3635376441178577,26.13616767258303,0.1769508121589781
2020/2021,Hunter New England,0.09020573807816211,0.5237466981241533,0.5354011442796035,1.964825406366791,19.755952380952383,0.14552376702735778
