financial year,lhd,NO pphm,NO2 pphm,OZONE pphm,asthma deaths,asthma edp,asthma hospitalisations,asthma pic,copd deaths,copd hospitalisations,iap deaths,iap hospitalisations
2014/2015,Central Coast,0.2333333333333333,0.4666666666666666,1.7911900210025593,0.675,366.6,117.375,9562.5,33.0,292.1,10.2,329.0
2015/2016,Central Coast,0.2166666666666666,0.4583333333333333,1.6916666666666669,0.725,380.9,121.225,9200.0,33.1,293.2,10.1,345.3
2016/2017,Central Coast,0.2166666666666666,0.4916666666666667,1.775,0.7,378.4,118.225,8762.5,35.5,306.9,11.3,287.0
2017/2018,Central Coast,0.175,0.4416666666666666,1.8611831241970025,0.675,368.2,113.575,8100.0,36.4,309.7,11.3,376.8
2018/2019,Central Coast,0.2166666666666666,0.4166666666666667,1.7333333333333334,0.675,378.8,107.725,7700.0,35.4,295.8,10.1,376.0
2019/2020,Central Coast,0.2083333333333333,0.3583333333333333,1.9166666666666667,0.6499999999999999,359.1,100.375,8491.666666666666,31.7,261.0,9.0,369.9
2020/2021,Central Coast,0.2333333333333333,0.35,1.7166666666666668,0.6,299.6,62.025000000000006,9283.333333333334,28.3,200.9,6.1,199.8
2021/2022,Central Coast,0.1916666666666666,0.225,1.6666666666666667,0.65,270.5,64.225,10075.0,31.175,171.2,6.975,223.55
2022/2023,Central Coast,0.1916666666666666,0.225,1.6833333333333331,0.65,330.1,142.24166666666667,10866.666666666666,34.05,210.56666666666663,7.85,247.3
2023/2024,Central Coast,0.1830819383655015,0.2587558061895388,1.7916666666666667,0.65,510.3,220.25833333333333,11658.333333333332,36.925,249.9333333333333,8.725,271.05
2014/2015,Hunter New England,0.4774398968359341,0.6375759910062889,2.158975234193854,0.825,452.6,108.675,9562.5,28.8,254.7,9.6,349.0
2015/2016,Hunter New England,0.4736786664000638,0.6642024110340078,2.058007816581769,1.025,469.9,116.975,9962.5,29.2,259.9,8.4,351.0
2016/2017,Hunter New England,0.4984599220650079,0.6585149419952286,2.1265459829920306,1.05,503.0,134.75,10037.5,31.0,282.0,12.2,364.6
2017/2018,Hunter New England,0.5435718832802907,0.6682586630492765,2.205529701807569,0.975,436.5,119.15,9937.5,29.4,267.1,12.7,425.3
2018/2019,Hunter New England,0.5560264826848705,0.6501873064255931,2.191191166371898,0.875,446.4,122.475,9950.0,28.0,246.1,10.2,376.5
2019/2020,Hunter New England,0.5201158055810179,0.6281471321150829,2.3635376441178577,0.8,441.2,109.825,9991.666666666666,26.8,228.2,7.5,350.5
2020/2021,Hunter New England,0.5237466981241533,0.5354011442796035,1.964825406366791,0.8,384.6,81.3,10033.333333333334,25.2,161.6,5.1,222.2
2021/2022,Hunter New England,0.4833687170347426,0.5154204352533742,1.863955384662791,0.65,384.2,70.425,10075.0,26.175,160.1,5.8,225.7
2022/2023,Hunter New England,0.451607113285206,0.5014504509613554,1.913033066924752,0.65,415.6,95.08333333333331,10116.666666666666,27.15,186.63333333333333,6.5,229.2
2023/2024,Hunter New England,0.5208674928113552,0.555903193359782,2.0654761904761902,0.65,406.9,119.74166666666667,10158.333333333334,28.125,213.16666666666663,7.2,232.7
2014/2015,Illawarra Shoalhaven,0.3552270670891047,0.5909735561443975,1.9125,0.65,398.2,82.075,7250.0,29.1,254.8,7.9,346.8
2015/2016,Illawarra Shoalhaven,0.3625,0.6291666666666667,1.8683087024036045,0.7,426.6,107.475,6937.5,29.1,235.9,8.3,320.7
2016/2017,Illawarra Shoalhaven,0.3416666666666666,0.5458333333333333,1.95,0.75,420.6,110.05,6725.0,30.3,246.5,10.7,310.9
2017/2018,Illawarra Shoalhaven,0.3708333333333333,0.5375,2.0223979578271054,0.725,395.8,82.675,7062.5,27.4,256.2,10.7,389.2
2018/2019,Illawarra Shoalhaven,0.3538060328112442,0.5706349347229379,1.9416666666666669,0.625,367.4,83.425,7600.0,25.9,244.1,10.4,367.4
2019/2020,Illawarra Shoalhaven,0.3041666666666667,0.5333333333333333,2.0125,0.55,311.0,69.975,8129.166666666667,26.9,231.8,8.6,363.8
2020/2021,Illawarra Shoalhaven,0.3374999999999999,0.45,1.8291666666666664,0.55,272.2,51.775000000000006,8658.333333333334,26.8,161.2,5.5,222.7
2021/2022,Illawarra Shoalhaven,0.3041666666666667,0.3166666666666667,1.8041666666666665,0.65,257.0,53.6,9187.5,27.15,151.7,6.65,251.3
2022/2023,Illawarra Shoalhaven,0.2958333333333333,0.3666666666666667,1.8625,0.65,270.5,83.88333333333333,9716.666666666666,27.5,202.16666666666663,7.8,279.9
2023/2024,Illawarra Shoalhaven,0.3999999999999999,0.65,1.820317970042006,0.65,380.35,114.16666666666666,10245.833333333332,27.85,252.63333333333333,8.95,308.5
2014/2015,Mid North Coast,0.0858748990860514,0.260244219635097,1.8852401280939293,0.75,490.2,122.3,10800.0,28.2,295.4,10.1,365.6
2015/2016,Mid North Coast,0.1643176107201182,0.3194231401428044,1.9225827853585724,0.55,505.0,100.55,9075.0,27.4,319.2,8.7,399.8
2016/2017,Mid North Coast,0.0989444370654187,0.2796014461096064,2.033003849116106,0.425,489.6,147.2,7437.5,29.9,294.6,7.8,348.7
2017/2018,Mid North Coast,0.1254960123112449,0.246269537326237,1.760193893231193,0.525,449.1,132.375,7362.5,29.7,299.1,8.6,388.3
2018/2019,Mid North Coast,0.2103510947921267,0.2959799343275268,1.8474322353344956,0.725,454.9,120.275,8100.0,31.9,265.5,8.8,367.9
2019/2020,Mid North Coast,0.1335319071043306,0.3276153874887897,2.0819214676808726,0.85,454.3,104.725,8537.5,28.6,256.8,7.6,365.2
2020/2021,Mid North Coast,0.1450229535582019,0.3156710994706241,1.8169527248715365,0.85,344.1,73.1,8975.0,24.9,203.5,4.9,265.0
2021/2022,Mid North Coast,0.1256927446456151,0.2545963154728062,1.6208333333333331,0.65,361.8,70.0,9412.5,26.65,183.7,6.075,296.25
2022/2023,Mid North Coast,0.1258988884030027,0.2682301629908377,1.5473556145308438,0.65,390.8,129.69166666666666,9850.0,28.4,275.76666666666665,7.25,327.5
2023/2024,Mid North Coast,0.0809878452239268,0.2294556611403941,1.768525920992854,0.65,514.05,189.38333333333333,10287.5,30.15,367.8333333333333,8.425,358.75
2014/2015,Murrumbidgee,0.1755156449784158,0.2864531960601835,1.955223617786847,0.975,637.3,192.45,13112.5,31.9,412.0,9.6,476.8
2015/2016,Murrumbidgee,0.1427098772566428,0.3019908728885088,1.899084235109396,1.05,660.2,157.5,14187.5,33.4,390.3,10.4,501.6
2016/2017,Murrumbidgee,0.1709114680386465,0.3372117782887467,1.9337913420849813,1.2000000000000002,740.7,211.425,13875.0,29.6,407.7,11.9,499.3
2017/2018,Murrumbidgee,0.1651385131942303,0.3291483586715486,1.9480366224284869,1.3250000000000002,606.9,186.5,12325.0,28.7,401.4,10.0,540.2
2018/2019,Murrumbidgee,0.1954849411438435,0.3261162583960215,1.8871400378624963,1.425,586.0,166.875,11600.0,32.5,402.5,8.8,526.1
2019/2020,Murrumbidgee,0.2347562436357426,0.3650281890364819,2.0930520936336983,1.425,559.5,141.225,11595.833333333334,31.2,368.7,7.4,489.9
2020/2021,Murrumbidgee,0.2012747038493113,0.3289700579383269,1.8017202410954087,1.35,533.3,109.45,11591.666666666666,29.1,275.0,5.5,316.8
2021/2022,Murrumbidgee,0.1539352629785041,0.2672191659642898,1.8040229833581984,0.65,523.5,157.05,11587.5,29.525,245.5,6.775,319.0
2022/2023,Murrumbidgee,0.1597433229462373,0.3083892209008635,1.8332641555066589,0.65,707.9,146.18333333333334,11583.333333333334,29.950000000000003,255.13333333333333,8.05,321.20000000000005
2023/2024,Murrumbidgee,0.1848186306015773,0.3845924002889538,1.9283204066363,0.65,561.55,135.31666666666666,11579.166666666666,30.375,264.76666666666665,9.325,323.40000000000003
2014/2015,Nepean Blue Mountains,0.2103916072702753,0.4406109849496617,1.994593226981648,1.0,415.2,139.675,8775.0,30.8,260.9,10.6,351.1
2015/2016,Nepean Blue Mountains,0.2140042936484933,0.4349175691157685,1.979575933965467,1.0,374.6,125.325,9112.5,32.4,256.5,13.7,353.1
2016/2017,Nepean Blue Mountains,0.2316615018557659,0.4255464193598635,1.9514180748065408,1.15,404.2,126.925,9712.5,32.4,284.8,14.0,332.8
2017/2018,Nepean Blue Mountains,0.2327791340804701,0.4470386359875205,2.1391882843112726,1.2,361.2,134.15,10237.5,28.9,268.8,12.0,427.0
2018/2019,Nepean Blue Mountains,0.2385295088157254,0.4339217030530178,2.081548903056343,1.075,371.4,147.35,10550.0,25.2,235.1,10.9,392.3
2019/2020,Nepean Blue Mountains,0.2029567963124263,0.3830820494576292,2.2895362079962918,0.775,321.6,108.925,10279.166666666666,22.9,207.5,9.6,362.9
2020/2021,Nepean Blue Mountains,0.1981375322306494,0.3186616023855212,1.86352247409298,0.55,252.2,83.25,10008.333333333334,20.8,135.4,7.3,210.5
2021/2022,Nepean Blue Mountains,0.1706401226372792,0.2798653692046115,1.818205978106841,0.65,254.9,82.6,9737.5,21.4,138.9,7.649999999999999,240.075
2022/2023,Nepean Blue Mountains,0.1758124967711981,0.3341880331216254,1.872412761927984,0.65,277.7,117.15,9466.666666666666,22.0,166.9,8.0,269.65
2023/2024,Nepean Blue Mountains,0.1902892856498841,0.4303136408563894,2.1003138790557263,0.65,448.85,151.7,9195.833333333334,22.6,194.9,8.35,299.225
2014/2015,Northern Sydney,0.3479100158550693,0.7774231101080593,1.7099144868065972,0.55,254.2,90.25,9737.5,12.9,123.5,8.9,281.6
2015/2016,Northern Sydney,0.3439138768975918,0.7363403781149399,1.7021443438474335,0.6499999999999999,239.7,96.125,9150.0,13.1,125.2,9.2,300.3
2016/2017,Northern Sydney,0.3958824470818849,0.754349541985026,1.7410649430257357,0.625,231.0,105.575,9300.0,12.9,109.3,11.3,287.1
2017/2018,Northern Sydney,0.3465684102802419,0.7050039057708536,1.900933446795493,0.45,207.9,89.67500000000001,9362.5,11.5,108.1,11.2,339.3
2018/2019,Northern Sydney,0.3943800043868485,0.796590489789288,1.84193509761149,0.3,210.8,103.75,9300.0,10.5,102.9,9.3,325.5
2019/2020,Northern Sydney,0.3617259462366102,0.790532653212058,1.9039854463166184,0.3,177.6,88.75,9304.166666666666,9.7,85.5,8.0,310.2
2020/2021,Northern Sydney,0.3998543122946896,0.6682189279615449,1.693535649157088,0.35,138.5,67.15,9308.333333333334,9.4,61.2,5.9,156.3
2021/2022,Northern Sydney,0.345696853611455,0.5712747605145129,1.6861096472826604,0.65,126.0,58.225,9312.5,11.125,60.5,6.375,176.875
2022/2023,Northern Sydney,0.5038994626179583,0.6445999278563771,1.7003278540149631,0.65,155.9,74.95833333333333,9316.666666666666,12.85,105.26666666666668,6.85,197.45
