financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma edp [f],asthma edp [m],asthma hospitalisations [f],asthma hospitalisations [m],copd deaths [f],copd deaths [m],copd hospitalisations [f],copd hospitalisations [m],iap deaths [f],iap deaths [m],iap hospitalisations [f],iap hospitalisations [m]
2014/2015,Central Coast,0.1,0.2333333333333333,0.4666666666666666,1.7911900210025593,15.158333333333331,0.05,373.6,354.3,145.65,86.75,25.3,43.1,277.0,315.9,9.4,11.5,269.0,402.9
2015/2016,Central Coast,0.1083333333333333,0.2166666666666666,0.4583333333333333,1.6916666666666669,15.375,0.0583333333333333,405.8,350.7,147.75,91.275,28.2,40.0,301.9,288.7,9.9,10.2,298.5,404.2
2016/2017,Central Coast,0.1,0.2166666666666666,0.4916666666666667,1.775,15.358333333333334,0.0583333333333333,412.0,339.7,145.7,87.35,33.1,39.6,312.5,303.7,11.1,11.4,260.3,324.7
2017/2018,Central Coast,0.1083333333333333,0.175,0.4416666666666666,1.8611831241970025,16.816666666666666,0.075,386.7,344.0,133.575,89.9,33.9,40.6,298.9,327.5,9.7,13.3,343.6,421.9
2018/2019,Central Coast,0.1083333333333333,0.2166666666666666,0.4166666666666667,1.7333333333333334,17.75,0.0916666666666666,403.8,349.0,127.975,84.975,31.6,41.1,307.8,286.2,7.8,13.3,339.6,420.6
2019/2020,Central Coast,0.1431293783784996,0.2083333333333333,0.3583333333333333,1.9166666666666667,18.57275165690874,0.0666666666666666,393.8,319.8,124.45,72.675,29.6,34.8,273.4,249.5,7.2,11.2,336.9,409.5
2020/2021,Central Coast,0.1333333333333333,0.2333333333333333,0.35,1.7166666666666668,14.075,0.0583333333333333,308.3,286.1,76.125,46.225,27.9,29.3,204.3,200.6,4.8,7.5,185.3,219.2
2021/2022,Central Coast,0.0051488886218629,0.1916666666666666,0.225,1.6666666666666667,12.658333333333331,0.0814516445192274,287.7,251.0,68.6,59.0,27.875,36.75,173.6,171.3,5.675,8.45,201.375,253.075
2022/2023,Central Coast,0.0051488886218629,0.1916666666666666,0.225,1.6833333333333331,12.0,0.0583333333333333,348.8,308.1,154.23333333333332,121.125,27.85,44.2,196.26666666666665,234.9333333333333,6.550000000000001,9.4,217.45,286.95
2023/2024,Central Coast,0.0228491929485406,0.1830819383655015,0.2587558061895388,1.7916666666666667,14.533333333333331,0.075,560.35,455.55,239.86666666666665,183.25,27.825,51.650000000000006,218.9333333333333,298.56666666666666,7.425000000000001,10.35,233.525,320.825
2014/2015,Hunter New England,0.1199458229390632,0.4774398968359341,0.6375759910062889,2.158975234193854,21.95067981599007,0.1597595638872286,455.6,445.5,130.1,84.9,25.4,33.9,239.3,279.4,8.3,11.3,317.4,391.0
2015/2016,Hunter New England,0.1710555390678579,0.4736786664000638,0.6642024110340078,2.058007816581769,22.25952380952381,0.1583285135337609,475.9,459.5,136.25,95.8,25.3,35.0,235.0,293.3,8.3,8.6,312.2,398.7
2016/2017,Hunter New England,0.0955630273028608,0.4984599220650079,0.6585149419952286,2.1265459829920306,21.76071428571429,0.1882318157939641,505.5,495.8,158.9,106.8,25.4,38.9,256.4,316.8,11.8,12.5,344.5,395.7
