year-month,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma edp [f],asthma edp [m]
2014-07,Central Coast,0.1,0.5,0.6,1.7,10.6,0.0,29.8,21.8
2014-08,Central Coast,0.1,0.3,0.6,1.9,11.9,0.0,34.3,32.0
2014-09,Central Coast,0.1,0.2,0.6,2.0,12.5,0.0,28.4,19.9
2014-10,Central Coast,0.1,0.2,0.5,2.3,20.0,0.1,28.0,19.5
2014-11,Central Coast,0.1,0.0,0.3,2.4,20.8,0.1,28.0,21.7
2014-12,Central Coast,0.1,0.0,0.3,2.1,19.3,0.1,18.0,33.4
2015-01,Central Coast,0.1,0.0,0.2,1.8,17.4,0.1,19.0,21.7
2015-02,Central Coast,0.1,0.2,0.3,1.4,15.6,0.1,37.6,33.6
2015-03,Central Coast,0.1,0.1,0.4,1.8,19.5,0.0,41.5,34.6
2015-04,Central Coast,0.1,0.3,0.5,1.6,12.3,0.0,39.0,29.7
2015-05,Central Coast,0.1,0.4,0.6,1.4,12.4,0.0,42.7,43.8
2015-06,Central Coast,0.1,0.6,0.7,1.0942802520307142,9.6,0.1,26.8,41.6
2015-07,Central Coast,0.1,0.4,0.6,1.5,9.2,0.0,37.5,27.4
2015-08,Central Coast,0.1,0.2,0.6,1.6,12.7,0.0,39.6,37.1
2015-09,Central Coast,0.1,0.1,0.5,2.0,12.7,0.0,42.5,25.9
2015-10,Central Coast,0.1,0.1,0.5,2.2,20.3,0.1,21.3,29.4
2015-11,Central Coast,0.1,0.1,0.4,2.1,18.3,0.1,27.0,28.6
2015-12,Central Coast,0.1,0.1,0.3,1.7,18.2,0.1,39.5,32.5
2016-01,Central Coast,0.1,0.1,0.3,1.7,18.2,0.1,25.7,14.9
2016-02,Central Coast,0.1,0.1,0.3,1.8,19.7,0.1,30.6,26.1
2016-03,Central Coast,0.1,0.3,0.3,1.4,15.3,0.1,29.0,20.7
2016-04,Central Coast,0.1,0.3,0.5,1.5,16.1,0.1,33.4,32.2
2016-05,Central Coast,0.2,0.3,0.6,1.4,15.6,0.0,39.2,40.5
2016-06,Central Coast,0.1,0.5,0.6,1.4,8.2,0.0,39.9,34.6
2016-07,Central Coast,0.1,0.4,0.5,1.5,8.9,0.0,25.2,29.2
2016-08,Central Coast,0.1,0.3,0.6,1.6,11.1,0.1,48.6,27.3
2016-09,Central Coast,0.1,0.2,0.6,1.8,11.9,0.1,35.5,33.7
2016-10,Central Coast,0.1,0.1,0.4,2.0,14.4,0.0,34.3,23.6
2016-11,Central Coast,0.1,0.1,0.4,2.2,20.3,0.1,19.3,21.0
2016-12,Central Coast,0.1,0.1,0.4,2.3,22.2,0.1,27.9,19.9
2017-01,Central Coast,0.1,0.1,0.3,2.0,22.7,0.1,19.4,14.8
2017-02,Central Coast,0.1,0.1,0.4,2.2,19.1,0.1,28.3,34.5
2017-03,Central Coast,0.1,0.2,0.4,1.6,17.2,0.1,30.6,32.6
2017-04,Central Coast,0.1,0.2,0.5,1.5,13.2,0.0,45.9,33.0
2017-05,Central Coast,0.1,0.4,0.7,1.3,12.9,0.0,62.1,38.8
2017-06,Central Coast,0.1,0.4,0.7,1.3,10.4,0.0,34.3,31.2
2017-07,Central Coast,0.1,0.4,0.6,1.6,11.0,0.0,29.7,28.9
2017-08,Central Coast,0.1,0.2,0.6,2.0,13.7,0.0,39.9,29.5
2017-09,Central Coast,0.1,0.2,0.6,2.3,21.7,0.1,35.1,19.4
2017-10,Central Coast,0.1,0.1,0.4,2.4,18.7,0.1,24.7,24.0
2017-11,Central Coast,0.1,0.1,0.3,1.9,12.3,0.1,33.5,36.2
2017-12,Central Coast,0.1,0.1,0.3,2.1,19.7,0.1,34.6,25.5
2018-01,Central Coast,0.2,0.1,0.3,1.8,20.9,0.1,21.6,16.6
2018-02,Central Coast,0.1,0.1,0.3,1.6,18.3,0.1,28.5,32.7
2018-03,Central Coast,0.1,0.1,0.3,1.9,21.5,0.1,34.0,21.9
2018-04,Central Coast,0.1,0.1,0.4,1.8,19.7,0.1,25.6,34.7
2018-05,Central Coast,0.1,0.3,0.6,1.4341974903640269,14.6,0.1,41.0,38.1
2018-06,Central Coast,0.1,0.3,0.6,1.5,9.7,0.0,38.1,36.6
2018-07,Central Coast,0.1,0.5,0.7,1.5,16.9,0.1,39.5,28.6
2018-08,Central Coast,0.1,0.3,0.7,1.9,16.4,0.1,31.9,24.6
2018-09,Central Coast,0.1,0.2,0.5,2.0,15.4,0.1,27.5,25.0
2018-10,Central Coast,0.1,0.1,0.4,2.1,16.1,0.1,30.3,16.0
2018-11,Central Coast,0.1,0.1,0.3,2.0,25.9,0.1,30.3,22.7
2018-12,Central Coast,0.1,0.1,0.2,1.9,20.9,0.1,26.7,28.1
2019-01,Central Coast,0.1,0.1,0.3,1.9,24.5,0.1,23.7,24.4
2019-02,Central Coast,0.1,0.2,0.2,1.7,18.5,0.1,35.7,44.9
2019-03,Central Coast,0.1,0.1,0.3,1.7,19.7,0.1,31.0,31.1
2019-04,Central Coast,0.1,0.2,0.4,1.4,15.3,0.1,34.1,27.2
2019-05,Central Coast,0.2,0.4,0.5,1.3,13.9,0.1,39.8,37.7
2019-06,Central Coast,0.1,0.3,0.5,1.4,9.5,0.0,53.2,38.7
2019-07,Central Coast,0.1,0.4,0.5,1.6,11.1,0.0,36.6,30.3
2019-08,Central Coast,0.1,0.2,0.4,2.0,14.8,0.0,39.6,17.2
2019-09,Central Coast,0.1,0.3,0.4,2.0,16.8,0.1,31.1,20.0
2019-10,Central Coast,0.1,0.1,0.4,2.2,24.5,0.1,24.1,22.8
2019-11,Central Coast,0.1,0.1,0.3,2.4,28.69100662763496,0.1,45.1,25.6
2019-12,Central Coast,0.2,0.1,0.3,2.5,28.69100662763496,0.1,43.5,36.9
2020-01,Central Coast,0.2175525405419952,0.1,0.2,2.5,28.69100662763496,0.1,21.0,18.8
2020-02,Central Coast,0.2,0.2,0.2,1.9,19.1,0.1,29.2,35.7
2020-03,Central Coast,0.1,0.2,0.3,1.6,15.7,0.0,45.7,49.0
2020-04,Central Coast,0.2,0.2,0.4,1.6,16.4,0.1,24.8,8.4
2020-05,Central Coast,0.1,0.3,0.4,1.4,9.4,0.0,18.9,15.5
2020-06,Central Coast,0.2,0.3,0.5,1.3,9.0,0.1,34.4,39.9
2020-07,Central Coast,0.1,0.6,0.6,1.5,9.5,0.0,23.7,22.7
2020-08,Central Coast,0.2,0.2,0.5,1.9,10.2,0.0,32.3,23.4
2020-09,Central Coast,0.2,0.2,0.4,2.0,15.2,0.1,20.4,20.8
2020-10,Central Coast,0.1,0.2,0.3,2.3,13.3,0.1,18.4,19.9
2020-11,Central Coast,0.1,0.1,0.3,2.1,19.8,0.1,27.4,29.0
2020-12,Central Coast,0.1,0.0,0.1,1.9,16.9,0.1,24.8,12.3
2021-01,Central Coast,0.1,0.1,0.2,1.7,18.8,0.1,22.8,12.9
2021-02,Central Coast,0.1,0.1,0.2,1.5,16.4,0.1,17.8,24.7
2021-03,Central Coast,0.1,0.2,0.3,1.7,15.6,0.1,26.0,31.0
2021-04,Central Coast,0.2,0.3,0.4,1.4,14.1,0.0,28.2,28.2
2021-05,Central Coast,0.2,0.3,0.4,1.3,10.8,0.0,26.6,31.3
2021-06,Central Coast,0.1,0.5,0.5,1.3,8.3,0.0,40.2,30.3
2021-07,Central Coast,0.0051488886218629,0.4,0.4,1.5,10.0,0.1,23.1,23.6
2021-08,Central Coast,0.0051488886218629,0.2,0.4,1.8,12.4,0.1,15.4,7.0
2021-09,Central Coast,0.0051488886218629,0.2,0.3,2.1,12.5,0.1,11.1,7.5
2021-10,Central Coast,0.0051488886218629,0.1,0.2,2.2,14.8,0.1,14.1,11.3
2021-11,Central Coast,0.0051488886218629,0.1,0.1,1.9,13.2,0.1,20.4,14.3
2021-12,Central Coast,0.0051488886218629,0.1,0.1,1.9,14.9,0.0586964770680766,13.2,10.4
2022-01,Central Coast,0.0051488886218629,0.1,0.0,1.4,17.1,0.1187232571626528,18.5,6.7
2022-02,Central Coast,0.0051488886218629,0.2,0.1,1.6,16.3,0.1,13.2,15.4
2022-03,Central Coast,0.0051488886218629,0.1,0.1,1.5,12.3,0.0,28.3,26.6
2022-04,Central Coast,0.0051488886218629,0.3,0.3,1.3,10.6,0.1,37.8,40.2
2022-05,Central Coast,0.0051488886218629,0.3,0.4,1.2,9.5,0.1,46.4,57.4
2022-06,Central Coast,0.0051488886218629,0.2,0.3,1.6,8.3,0.0,45.8,30.1
2022-07,Central Coast,0.0051488886218629,0.3,0.4,1.9,8.8,0.0,35.7,22.5
2022-08,Central Coast,0.0051488886218629,0.3,0.4,1.7,8.7,0.1,39.4,37.9
2022-09,Central Coast,0.0051488886218629,0.2,0.3,1.9,10.6,0.1,31.8,35.5
2022-10,Central Coast,0.0051488886218629,0.1,0.2,2.0,10.6,0.1,27.3,26.0
2022-11,Central Coast,0.0051488886218629,0.1,0.1,1.8,13.2,0.0,24.0,18.3
2022-12,Central Coast,0.0051488886218629,0.1,0.1,1.7,14.4,0.1,22.6,18.5
2023-01,Central Coast,0.0051488886218629,0.1,0.0,1.5,13.7,0.1,18.3,13.8
2023-02,Central Coast,0.0051488886218629,0.2,0.1,1.7,16.8,0.1,22.8,31.1
2023-03,Central Coast,0.0051488886218629,0.1,0.2,1.8,15.9,0.1,25.3,29.5
2023-04,Central Coast,0.0051488886218629,0.2,0.2,1.4,11.0,0.0,26.1,20.7
2023-05,Central Coast,0.0051488886218629,0.3,0.4,1.4,10.6,0.0,42.0,31.3
2023-06,Central Coast,0.0051488886218629,0.3,0.3,1.4,9.7,0.0,33.3,23.2
2023-07,Central Coast,0.2175525405419952,0.4,0.4,1.5,9.9,0.1,34.22307692307692,23.9
2023-08,Central Coast,0.0051488886218629,0.3,0.4,1.6,11.4,0.1,35.146153846153844,24.6
2023-09,Central Coast,0.0051488886218629,0.2,0.4,2.1,15.5,0.1,36.06923076923077,25.3
2023-10,Central Coast,0.0051488886218629,0.1,0.2,2.3,17.2,0.1,36.99230769230769,26.0
2023-11,Central Coast,0.0051488886218629,0.1,0.2,2.1,15.1,0.1,37.91538461538461,26.7
2023-12,Central Coast,0.0051488886218629,0.1,0.1,2.3,19.8,0.1,38.83846153846154,27.4
2024-01,Central Coast,0.0051488886218629,0.0969832603860179,0.1050696742744656,1.8,18.8,0.1,39.76153846153846,28.1
2024-02,Central Coast,0.0051488886218629,0.2,0.1,1.7,18.8,0.1,40.68461538461538,28.8
2024-03,Central Coast,0.0051488886218629,0.2,0.1,1.5,16.5,0.1,41.607692307692304,29.5
2024-04,Central Coast,0.0051488886218629,0.1,0.2,1.6,12.4,0.0,42.53076923076923,30.2
2024-05,Central Coast,0.0051488886218629,0.2,0.4,1.4,10.9,0.0,43.45384615384615,30.9
2024-06,Central Coast,0.0051488886218629,0.2,0.5,1.6,8.1,0.0,44.37692307692308,31.6
2014-07,Hunter New England,0.0793127849294025,0.923901885461245,0.9309974398170984,1.8991468607060429,18.510077588843,0.1748764042434652,45.3,32.3
2014-08,Hunter New England,0.1052702411923819,0.5757584162003688,0.7452674677320008,2.16806112053609,16.5103561598769,0.132253767442218,49.4,42.6
2014-09,Hunter New England,0.1057073012538565,0.466161254494353,0.7067707367499225,2.327298267483685,19.0087195076052,0.1523559334544159,36.0,26.7
2014-10,Hunter New England,0.1951551299180099,0.341438163683961,0.6405712146900183,2.820695743792148,27.950433106984335,0.1577341849703383,34.4,31.2
2014-11,Hunter New England,0.1256452212232064,0.1867636452501307,0.4659461375487996,2.9048896610519166,29.0,0.1531314607060752,24.7,25.9
2014-12,Hunter New England,0.1169583470982661,0.1723022265458241,0.4388604436214125,2.538268928329347,24.928571428571427,0.1604311171177262,24.8,29.4
2015-01,Hunter New England,0.0888011246291123,0.1548415358493845,0.3824138515452606,2.149240192032654,23.357142857142858,0.164164786258139,26.5,20.9
2015-02,Hunter New England,0.0666666666666666,0.2717012715280014,0.4119703447191279,1.8231059378767984,22.857142857142858,0.168744910761281,34.4,37.5
2015-03,Hunter New England,0.0935086679128695,0.3355781005028237,0.5676281330379073,2.334301577801757,27.814285714285717,0.1560822299169339,34.4,40.6
2015-04,Hunter New England,0.1292340900832717,0.3354070422632464,0.5679049434195803,1.8935936533248297,16.542857142857144,0.1361907034309044,35.5,41.3
2015-05,Hunter New England,0.170137185270249,0.6241782244920558,0.8004201664345686,1.6719467525740377,19.32857142857143,0.1613216568053936,53.2,62.9
2015-06,Hunter New England,0.1629531150914663,1.341246995759814,0.9921610127597692,1.3771541148169415,17.6,0.1998276115398526,56.3,53.5
2015-07,Hunter New England,0.1404917163494607,0.9467956191586614,0.9008239595303325,1.6767931419166728,15.642857142857142,0.1710508746733497,48.3,45.3
2015-08,Hunter New England,0.1930782132169851,0.6323785823472218,0.8491698326074383,1.83560986289128,19.4,0.1313300517293253,54.2,45.9
2015-09,Hunter New England,0.180584216241748,0.4437203273085159,0.686870997330209,2.184376400054243,17.842857142857145,0.1427215671403398,36.4,31.0
2015-10,Hunter New England,0.232836270594622,0.3133460949847488,0.6821067177450373,2.606240844683888,27.514285714285712,0.1328486621985062,33.8,33.9
2015-11,Hunter New England,0.2119495269385459,0.210707979904714,0.5175728646486766,2.5685804773649,25.0,0.141185544737603,33.7,37.5
2015-12,Hunter New England,0.2211475823668602,0.2016305103288109,0.4289275994271338,2.12096407516799,25.74285714285714,0.1477999666637975,41.0,38.0
2016-01,Hunter New England,0.2026620222373929,0.1938045771446939,0.4305495806696407,2.1535569019352923,23.957142857142856,0.1517964676028601,31.1,21.2
2016-02,Hunter New England,0.1908164613633477,0.241299217180602,0.4356682694872487,2.1486190564837497,26.542857142857144,0.1579275875310515,35.0,43.8
2016-03,Hunter New England,0.0739170526682082,0.3666499397256308,0.5230215967852898,1.876743400572136,23.942857142857143,0.1906565607707023,34.3,36.2
2016-04,Hunter New England,0.1396778863727954,0.5615976324181181,0.6993708999319144,2.0018460868394885,23.9,0.1756766578247093,36.6,33.5
2016-05,Hunter New England,0.1922944133065966,0.7749961812166077,1.0063084950111454,1.8316313310903616,23.314285714285717,0.1851890232198006,41.6,48.1
2016-06,Hunter New England,0.0732111071577314,0.7972173350824393,0.8100381192340268,1.6911322199812275,14.314285714285717,0.1717591983130852,48.9,44.1
2016-07,Hunter New England,0.0868544409174499,0.6695010558880096,0.8433480607511407,1.7481250238529158,15.357142857142858,0.1893129956280478,42.8,37.5
2016-08,Hunter New England,0.1052593464732499,0.7684218161242778,0.8683626172412904,1.9063422869700053,19.6,0.1993275577103075,51.7,34.9
2016-09,Hunter New England,0.0753012686181198,0.4452123570665729,0.647500697234996,2.0535663543505884,16.9,0.1558058742362613,37.0,38.2
2016-10,Hunter New England,0.068532187043688,0.3174304350592497,0.5558391942274643,2.367400925078276,19.857142857142858,0.1321317939502759,42.1,48.5
2016-11,Hunter New England,0.1084002011417002,0.2767271822903098,0.5214547283187937,2.6475571117769947,28.15714285714285,0.1565619221367789,42.9,42.4
2016-12,Hunter New England,0.1297825810526915,0.2007629976628674,0.4803179010942461,2.6965818104433543,28.32857142857143,0.199364297293583,33.5,28.7
2017-01,Hunter New England,0.1208763293733505,0.1642968483199984,0.413921312280905,2.4298066590355085,27.714285714285715,0.1903023276411373,26.4,17.7
2017-02,Hunter New England,0.0887237498494897,0.2185882906405275,0.499710444383922,2.690926369933711,26.314285714285717,0.2277325443135889,32.4,40.6
2017-03,Hunter New England,0.073616382189324,0.2500445834815709,0.4694235829850765,2.0211658999741955,21.842857142857145,0.1972875443807115,34.3,43.3
2017-04,Hunter New England,0.0737958133115577,0.6059120087817006,0.6780347752701985,1.828247932941273,20.11428571428572,0.20716051421408,52.5,52.1
2017-05,Hunter New England,0.1149332030049285,1.030822930444798,0.9472582609623188,1.5792485606293891,19.914285714285715,0.1947882362041645,61.6,62.2
2017-06,Hunter New England,0.1006808246587797,1.033798559020213,0.977007729192391,1.549582860918158,17.02857142857143,0.2090061818186327,47.5,49.4
2017-07,Hunter New England,0.1506347481072235,1.1705787551246156,1.1271620719510025,1.8345362236919824,20.485714285714288,0.2058831667332263,49.6,42.6
2017-08,Hunter New England,0.1187282509141897,0.6373026394557407,0.865683472142213,2.280499219551543,20.857142857142858,0.1829151087669868,40.1,28.8
2017-09,Hunter New England,0.1483564291343837,0.5242786044104236,0.8586666077272437,2.63197117744058,28.828571428571426,0.1532427480282189,36.4,33.7
2017-10,Hunter New England,0.1339013026772321,0.2362524502070958,0.5433662780512464,2.727665386978636,24.228571428571428,0.1375267691872807,29.6,32.3
2017-11,Hunter New England,0.0706181220077439,0.2800561075419754,0.4195764590741772,2.135726350779723,19.5,0.1767864041592945,26.1,32.2
2017-12,Hunter New England,0.1541604610071351,0.1998354393302264,0.4476243279874148,2.5106058041498014,26.885714285714283,0.1871684694092528,32.5,31.9
2018-01,Hunter New England,0.1760555381602064,0.2342740438575774,0.3638693597713958,2.247547880395474,26.071428571428573,0.2273349936382012,26.3,20.4
2018-02,Hunter New England,0.1287565032751527,0.3075029161332832,0.4074973033072882,2.076607429735302,26.457142857142856,0.1967231722734412,34.1,43.0
2018-03,Hunter New England,0.163458708460334,0.3262361778771424,0.479915844915552,2.19820986972787,27.5,0.1614069122068801,36.6,41.7
2018-04,Hunter New England,0.159134629156305,0.4501936243735753,0.6425874011011772,2.187407553297436,25.842857142857145,0.2054301376214213,31.3,33.7
2018-05,Hunter New England,0.1111736769406303,1.1863424273703966,0.9670583687748032,1.8693201494321587,24.915949871344115,0.2364831431100053,46.0,51.7
2018-06,Hunter New England,0.1006737661522322,0.9700094136814362,0.8960964617878032,1.7662593765103256,16.82857142857143,0.1997347869362928,41.7,44.9
