financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm
2000/2001,Central Coast,0.1625938448909149,0.40013998728955463,0.6874536394766126,1.6887739418660506,13.964746386640686,0.05584496065486876
2001/2002,Central Coast,0.1445352425281599,0.39152544490277563,0.6506197719044619,1.7380423235301687,14.862781832548157,0.0583197099497808
2002/2003,Central Coast,0.17962804605489455,0.3530855838770905,0.6243679848073141,1.8330757495574863,18.799345422162514,0.0557577048665106
2003/2004,Central Coast,0.20325480603961735,0.3824936801343113,0.6694272399997305,1.8157845907737844,16.81361857090015,0.05897494155688857
2004/2005,Central Coast,0.13079265419357622,0.3618772530880072,0.5916204528570338,1.7664235569471787,15.645315608051881,0.060403738528521905
2005/2006,Central Coast,0.1443147854616965,0.34125929146250167,0.6198368484329665,1.7700231220637221,16.00307486792624,0.06077965855112025
2006/2007,Central Coast,0.1438477989987605,0.3268959556805252,0.5558677079442527,1.745816428048532,16.011906141355762,0.061059353172124416
2007/2008,Central Coast,0.06612296809530747,0.3093388385465485,0.5053636468933252,1.6556072248765086,14.1697522306988,0.059813149811572285
2008/2009,Central Coast,0.12830445271717547,0.2790443404679027,0.5176541060817722,1.8021584746331687,16.64326005635742,0.0738097375769674
2009/2010,Central Coast,0.1242234784053603,0.24798120600056459,0.5462008024748896,1.88522289883434,17.261341320409443,0.07388934355543758
2010/2011,Central Coast,0.08273859599336865,0.29888520945566244,0.5674782130182373,1.6709183173173738,13.370700776852784,0.07661657505790077
2011/2012,Central Coast,0.05168605441708532,0.3083742790521911,0.5528260356413437,1.5769834199606765,13.381272069134384,0.0657833441298069
2012/2013,Central Coast,0.08295952826919589,0.26843834326503013,0.5005338101791231,1.7187108045285946,16.38061093462715,0.0783181258245159
2013/2014,Central Coast,0.10000000000000002,0.2416666666666667,0.5166666666666667,1.75,15.933333333333335,0.09166666666666667
2014/2015,Central Coast,0.10000000000000002,0.2333333333333333,0.4666666666666666,1.7906463666965309,15.158333333333333,0.05000000000000001
2015/2016,Central Coast,0.10833333333333334,0.21666666666666667,0.4583333333333333,1.6916666666666667,15.375,0.05833333333333334
