Risk group,Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Older adults (65+ years),Males,Sydney LHD,2011-2012,192.2,158.8,230.4
Older adults (65+ years),Males,Sydney LHD,2012-2013,199.8,166.3,237.9
Older adults (65+ years),Males,Sydney LHD,2013-2014,227.2,192.1,266.8
Older adults (65+ years),Males,Sydney LHD,2014-2015,212,178.8,249.6
Older adults (65+ years),Males,Sydney LHD,2015-2016,164.4,135.7,197.3
Older adults (65+ years),Males,Sydney LHD,2016-2017,178.3,148.8,212.1
Older adults (65+ years),Males,Sydney LHD,2017-2018,196.5,165.8,231.2
Older adults (65+ years),Males,Sydney LHD,2018-2019,168.4,140.5,200.3
Older adults (65+ years),Males,Sydney LHD,2019-2020,137.2,112.5,165.7
Older adults (65+ years),Males,Sydney LHD,2020-2021,143.1,118.3,171.7
Older adults (65+ years),Males,South Western Sydney LHD,2011-2012,211,181.2,244.3
Older adults (65+ years),Males,South Western Sydney LHD,2012-2013,227.9,197.5,261.7
Older adults (65+ years),Males,South Western Sydney LHD,2013-2014,237.8,207.4,271.5
Older adults (65+ years),Males,South Western Sydney LHD,2014-2015,215.8,187.3,247.2
Older adults (65+ years),Males,South Western Sydney LHD,2015-2016,214.4,186.6,245
Older adults (65+ years),Males,South Western Sydney LHD,2016-2017,243,214.1,274.6
Older adults (65+ years),Males,South Western Sydney LHD,2017-2018,209.4,183.3,238.3
Older adults (65+ years),Males,South Western Sydney LHD,2018-2019,172.5,149.2,198.3
Older adults (65+ years),Males,South Western Sydney LHD,2019-2020,178.2,155,203.9
Older adults (65+ years),Males,South Western Sydney LHD,2020-2021,170.9,148.7,195.5
Older adults (65+ years),Males,South Eastern Sydney LHD,2011-2012,138.3,116.6,162.7
Older adults (65+ years),Males,South Eastern Sydney LHD,2012-2013,159.1,136.1,184.8
Older adults (65+ years),Males,South Eastern Sydney LHD,2013-2014,165.2,142,191
Older adults (65+ years),Males,South Eastern Sydney LHD,2014-2015,149.5,128,173.6
Older adults (65+ years),Males,South Eastern Sydney LHD,2015-2016,135,115,157.5
Older adults (65+ years),Males,South Eastern Sydney LHD,2016-2017,141.7,121.3,164.6
Older adults (65+ years),Males,South Eastern Sydney LHD,2017-2018,130,110.7,151.7
Older adults (65+ years),Males,South Eastern Sydney LHD,2018-2019,104.9,87.9,124.3
Older adults (65+ years),Males,South Eastern Sydney LHD,2019-2020,124.1,105.7,144.7
Older adults (65+ years),Males,South Eastern Sydney LHD,2020-2021,125,106.9,145.3
Older adults (65+ years),Males,Illawarra Shoalhaven LHD,2011-2012,250.8,212.9,293.5
Older adults (65+ years),Males,Illawarra Shoalhaven LHD,2012-2013,240.6,204,281.9
Older adults (65+ years),Males,Illawarra Shoalhaven LHD,2013-2014,257.2,219.9,298.9
Older adults (65+ years),Males,Illawarra Shoalhaven LHD,2014-2015,247.9,211.9,288.3
Older adults (65+ years),Males,Illawarra Shoalhaven LHD,2015-2016,245.8,210.5,285.4
Older adults (65+ years),Males,Illawarra Shoalhaven LHD,2016-2017,250.7,215.4,290.1
Older adults (65+ years),Males,Illawarra Shoalhaven LHD,2017-2018,226.2,193,263.4
Older adults (65+ years),Males,Illawarra Shoalhaven LHD,2018-2019,199.7,169.1,234.2
Older adults (65+ years),Males,Illawarra Shoalhaven LHD,2019-2020,207.7,177,242.1
Older adults (65+ years),Males,Illawarra Shoalhaven LHD,2020-2021,214.1,183.3,248.5
Older adults (65+ years),Males,Western Sydney LHD,2011-2012,194.4,163,230
Older adults (65+ years),Males,Western Sydney LHD,2012-2013,201.2,169.9,236.4
Older adults (65+ years),Males,Western Sydney LHD,2013-2014,231.4,198.4,268.1
Older adults (65+ years),Males,Western Sydney LHD,2014-2015,237.3,204.6,273.8
Older adults (65+ years),Males,Western Sydney LHD,2015-2016,220.8,190,255.1
Older adults (65+ years),Males,Western Sydney LHD,2016-2017,212.3,182.8,245.2
Older adults (65+ years),Males,Western Sydney LHD,2017-2018,170.6,144.6,199.7
Older adults (65+ years),Males,Western Sydney LHD,2018-2019,165.9,140.9,194
Older adults (65+ years),Males,Western Sydney LHD,2019-2020,178.4,153.1,206.7
Older adults (65+ years),Males,Western Sydney LHD,2020-2021,149.3,126.6,174.7
Older adults (65+ years),Males,Nepean Blue Mountains LHD,2011-2012,217.6,168.7,275.8
Older adults (65+ years),Males,Nepean Blue Mountains LHD,2012-2013,229.3,180.2,287.4
Older adults (65+ years),Males,Nepean Blue Mountains LHD,2013-2014,246,196.2,304.3
Older adults (65+ years),Males,Nepean Blue Mountains LHD,2014-2015,261,211.3,318.8
Older adults (65+ years),Males,Nepean Blue Mountains LHD,2015-2016,284.3,233,343.3
Older adults (65+ years),Males,Nepean Blue Mountains LHD,2016-2017,295.3,243.3,354.8
Older adults (65+ years),Males,Nepean Blue Mountains LHD,2017-2018,240.6,195,293.3
Older adults (65+ years),Males,Nepean Blue Mountains LHD,2018-2019,196.6,156.3,243.9
Older adults (65+ years),Males,Nepean Blue Mountains LHD,2019-2020,175.7,138.4,219.6
Older adults (65+ years),Males,Nepean Blue Mountains LHD,2020-2021,152.8,119.1,192.9
Older adults (65+ years),Males,Northern Sydney LHD,2011-2012,129.8,110,152.2
Older adults (65+ years),Males,Northern Sydney LHD,2012-2013,131,111.4,153.1
Older adults (65+ years),Males,Northern Sydney LHD,2013-2014,114.2,96.2,134.7
Older adults (65+ years),Males,Northern Sydney LHD,2014-2015,108.5,91.3,128.1
Older adults (65+ years),Males,Northern Sydney LHD,2015-2016,106.1,89.2,125.4
Older adults (65+ years),Males,Northern Sydney LHD,2016-2017,106.5,89.7,125.5
Older adults (65+ years),Males,Northern Sydney LHD,2017-2018,93.1,77.8,110.7
Older adults (65+ years),Males,Northern Sydney LHD,2018-2019,85,70.5,101.6
Older adults (65+ years),Males,Northern Sydney LHD,2019-2020,84.6,70.4,101
Older adults (65+ years),Males,Northern Sydney LHD,2020-2021,88.8,74.3,105.3
Older adults (65+ years),Males,Central Coast LHD,2011-2012,239.9,200.8,284.4
Older adults (65+ years),Males,Central Coast LHD,2012-2013,261.3,221,306.9
Older adults (65+ years),Males,Central Coast LHD,2013-2014,297.3,254.5,345.2
Older adults (65+ years),Males,Central Coast LHD,2014-2015,306.2,263.2,354.2
Older adults (65+ years),Males,Central Coast LHD,2015-2016,273.4,233.6,318
Older adults (65+ years),Males,Central Coast LHD,2016-2017,279.9,240,324.6
Older adults (65+ years),Males,Central Coast LHD,2017-2018,289.2,248.8,334.1
Older adults (65+ years),Males,Central Coast LHD,2018-2019,287.5,247.7,331.9
Older adults (65+ years),Males,Central Coast LHD,2019-2020,238.5,202.7,278.8
Older adults (65+ years),Males,Central Coast LHD,2020-2021,203.7,171.2,240.5
Older adults (65+ years),Males,Hunter New England LHD,2011-2012,255.2,228.6,284
Older adults (65+ years),Males,Hunter New England LHD,2012-2013,255.8,229.5,284.2
Older adults (65+ years),Males,Hunter New England LHD,2013-2014,249.1,223.6,276.7
Older adults (65+ years),Males,Hunter New England LHD,2014-2015,244.7,219.8,271.6
Older adults (65+ years),Males,Hunter New England LHD,2015-2016,247.4,222.5,274.3
Older adults (65+ years),Males,Hunter New England LHD,2016-2017,280.8,254.5,308.9
Older adults (65+ years),Males,Hunter New England LHD,2017-2018,270.5,245.2,297.7
Older adults (65+ years),Males,Hunter New England LHD,2018-2019,232.5,209.5,257.4
Older adults (65+ years),Males,Hunter New England LHD,2019-2020,212.2,190.6,235.5
Older adults (65+ years),Males,Hunter New England LHD,2020-2021,203.6,183,225.9
Older adults (65+ years),Males,Northern NSW LHD,2011-2012,221,182.6,265
Older adults (65+ years),Males,Northern NSW LHD,2012-2013,215.7,178.2,258.7
Older adults (65+ years),Males,Northern NSW LHD,2013-2014,189.9,155.3,229.8
Older adults (65+ years),Males,Northern NSW LHD,2014-2015,202.5,167.3,242.9
Older adults (65+ years),Males,Northern NSW LHD,2015-2016,223.3,186.9,264.8
Older adults (65+ years),Males,Northern NSW LHD,2016-2017,202.9,169,241.7
Older adults (65+ years),Males,Northern NSW LHD,2017-2018,198.7,165.3,236.7
Older adults (65+ years),Males,Northern NSW LHD,2018-2019,208.1,174.4,246.3
Older adults (65+ years),Males,Northern NSW LHD,2019-2020,220.3,186.3,258.7
Older adults (65+ years),Males,Northern NSW LHD,2020-2021,181.9,151.6,216.6
Older adults (65+ years),Males,Mid North Coast LHD,2011-2012,288.3,238.5,345.4
Older adults (65+ years),Males,Mid North Coast LHD,2012-2013,295.9,246,353
Older adults (65+ years),Males,Mid North Coast LHD,2013-2014,281.8,233.9,336.6
Older adults (65+ years),Males,Mid North Coast LHD,2014-2015,240.3,197,290.2
Older adults (65+ years),Males,Mid North Coast LHD,2015-2016,254.7,210.7,305.1
Older adults (65+ years),Males,Mid North Coast LHD,2016-2017,277.9,232.4,329.6
Older adults (65+ years),Males,Mid North Coast LHD,2017-2018,254.3,211.6,303.1
Older adults (65+ years),Males,Mid North Coast LHD,2018-2019,255.3,213.2,303.2
Older adults (65+ years),Males,Mid North Coast LHD,2019-2020,214.6,176.8,258.1
Older adults (65+ years),Males,Mid North Coast LHD,2020-2021,173.2,139.9,212
Older adults (65+ years),Males,Southern NSW LHD,2011-2012,258.2,202.8,323.8
Older adults (65+ years),Males,Southern NSW LHD,2012-2013,237.1,185.7,298
Older adults (65+ years),Males,Southern NSW LHD,2013-2014,218.1,169.9,275.5
Older adults (65+ years),Males,Southern NSW LHD,2014-2015,244.8,194.1,304.4
Older adults (65+ years),Males,Southern NSW LHD,2015-2016,241.1,191.4,299.5
Older adults (65+ years),Males,Southern NSW LHD,2016-2017,257.1,206.4,316.3
Older adults (65+ years),Males,Southern NSW LHD,2017-2018,278.5,226.8,338.4
Older adults (65+ years),Males,Southern NSW LHD,2018-2019,277.1,226.3,335.6
Older adults (65+ years),Males,Southern NSW LHD,2019-2020,254.9,207.2,310.3
Older adults (65+ years),Males,Southern NSW LHD,2020-2021,230.4,186.1,281.9
Older adults (65+ years),Males,Murrumbidgee LHD,2011-2012,264.1,214.3,322
Older adults (65+ years),Males,Murrumbidgee LHD,2012-2013,249.4,202.1,304.3
Older adults (65+ years),Males,Murrumbidgee LHD,2013-2014,268.9,220.5,324.7
Older adults (65+ years),Males,Murrumbidgee LHD,2014-2015,294.9,244.6,352.5
