financial year,lhd,"Female rate per 100,000 population","Male rate per 100,000 population","Persons rate per 100,000 population"
2014/2015,Central Coast,373.6,354.3,366.6
2015/2016,Central Coast,405.8,350.7,380.9
2016/2017,Central Coast,412,339.7,378.4
2017/2018,Central Coast,386.7,344,368.2
2018/2019,Central Coast,403.8,349,378.8
2019/2020,Central Coast,393.8,319.8,359.1
2020/2021,Central Coast,308.3,286.1,299.6
2021/2022,Central Coast,287.7,251,270.5
2022/2023,Central Coast,348.8,308.1,330.1
2023/2024,Central Coast,560.35,455.55,510.3
2014/2015,Far West,771.9,603,690.5
2015/2016,Far West,805.8,840.8,824.8
2016/2017,Far West,897.8,857.9,881
2017/2018,Far West,788.2,572.8,684.1
2018/2019,Far West,884.7,787.1,840.8
2019/2020,Far West,692.3,459.6,582.6
2020/2021,Far West,592.1,350.1,473.6
2021/2022,Far West,689.7,349.1,522.7
2022/2023,Far West,963.7,632.8,800
2023/2024,Far West,709.65,539.15,626.3
2014/2015,Hunter New England,455.6,445.5,452.6
2015/2016,Hunter New England,475.9,459.5,469.9
2016/2017,Hunter New England,505.5,495.8,503
2017/2018,Hunter New England,430.7,437.2,436.5
2018/2019,Hunter New England,465.9,423.3,446.4
2019/2020,Hunter New England,470.1,407.8,441.2
2020/2021,Hunter New England,400.2,366,384.6
2021/2022,Hunter New England,398,367.1,384.2
2022/2023,Hunter New England,410.6,416.7,415.6
2023/2024,Hunter New England,410.35,400.15,406.9
2014/2015,Illawarra Shoalhaven,410.1,383.6,398.2
2015/2016,Illawarra Shoalhaven,458.7,392.5,426.6
2016/2017,Illawarra Shoalhaven,456.8,381.6,420.6
2017/2018,Illawarra Shoalhaven,389.9,397.7,395.8
2018/2019,Illawarra Shoalhaven,392.5,338.5,367.4
2019/2020,Illawarra Shoalhaven,339.5,280.4,311
2020/2021,Illawarra Shoalhaven,294.3,247.6,272.2
2021/2022,Illawarra Shoalhaven,264.7,246.5,257
2022/2023,Illawarra Shoalhaven,268.9,269.5,270.5
2023/2024,Illawarra Shoalhaven,382.25,374.15,380.35
2014/2015,Mid North Coast,495.6,478.8,490.2
2015/2016,Mid North Coast,487.5,517.4,505
2016/2017,Mid North Coast,462.2,511.6,489.6
2017/2018,Mid North Coast,422.3,471.1,449.1
2018/2019,Mid North Coast,477.4,429.7,454.9
2019/2020,Mid North Coast,493.9,409.8,454.3
2020/2021,Mid North Coast,360.6,324.7,344.1
2021/2022,Mid North Coast,384.8,334.9,361.8
2022/2023,Mid North Coast,447.9,330.1,390.8
2023/2024,Mid North Coast,550.35,474.45,514.05
2014/2015,Murrumbidgee,652.8,618.8,637.3
2015/2016,Murrumbidgee,668.1,651,660.2
2016/2017,Murrumbidgee,749.9,729.6,740.7
2017/2018,Murrumbidgee,653.7,557.8,606.9
